show,title,href,id,show_abbrev,show_c
Amanpour,Crisis in the Caribbean. Aired 2-2:30p ET,/TRANSCRIPTS/0709/12/ampr.01.html,51677,ampr,amanpour
Amanpour,Interview With Michael Eric Dyson; Interview With Operation Warp Speed Chief Adviser Dr. Moncef Slaoui. Aired 2-3p ET,/TRANSCRIPTS/2012/04/ampr.01.html,51678,ampr,amanpour
Amanpour,Interview With New York City Mayor Bill de Blasio; America's Role in the World?. Aired 2-3p ET,/TRANSCRIPTS/2012/03/ampr.01.html,51679,ampr,amanpour
Amanpour,Britain Approves COVID-19 Vaccine; Interview With Riz Ahmed. Aired 2-3p ET,/TRANSCRIPTS/2012/02/ampr.01.html,51680,ampr,amanpour
Amanpour,Finance and Race; Crackdown in Egypt; Interview With Mariana van Zeller. Aired 2-3p ET,/TRANSCRIPTS/2012/01/ampr.01.html,51681,ampr,amanpour
Amanpour,Interview With Wendell Pierce; Interview With NATO Secretary-General Jens Stoltenberg; Iran Buries Top Nuclear Scientist. Aired 2-3p ET,/TRANSCRIPTS/2011/30/ampr.01.html,51682,ampr,amanpour
Amanpour,"Interview with David Dimbleby; Climate Change Fight; Christiane Amanpour talks to David Dimbleby, Joseph Henrich and Bernadine Evaristo. Aired 11p-12a ET",/TRANSCRIPTS/2011/27/ampr.01.html,51683,ampr,amanpour
Amanpour,"French President Macros Announces New Lockdown as Country Battles Second Wave of Coronavirus; 60 Minutes Interview that President Trump Cut Short; Nearly Half a Million Tested Positive for COVID in U.S.; Third Time Lucky for Joe Biden?; Evan Osnos, Author, ""Joe Biden: The Life, the Run and What Matters Now, is Interviewed About Joe Biden; ""Men Who Hate Women,"" a Book About Everyday Sexism; Laura Bates, Founder, Everyday Sexism Project, is Interviewed About Sexism and Misogyny. Aired 2-3p ET",/TRANSCRIPTS/2011/26/ampr.01.html,51684,ampr,amanpour
Amanpour,Interview With Sister Helen Prejean; Interview With Venezuelan Activist Leopoldo Lopez; The Nurse Fighting COVID-19 from Hot Spot To Hot Spot. Aired 1-2p ET,/TRANSCRIPTS/2011/25/ampr.01.html,51685,ampr,amanpour
Amanpour,Interview With London Mayor Sadiq Khan and Mexico City Mayor Claudia Sheinbaum; Interview With Former U.S. Ambassador to the E.U. Anthony Gardner and Former British Foreign Secretary David Miliband. Aired 2-3p ET,/TRANSCRIPTS/2011/24/ampr.03.html,51686,ampr,amanpour
