show,title,href,id,show_abbrev,show_c
Anderson Cooper 360,"White House Exodus Begins, Source: Trump's Refusal to Accept Defeat Unnerves Some Staffers; New COVID Model Projects Almost 539,000 U.S. Deaths By April; New Details In DOJ's Presidential Pardon Investigation; GOP's Biggest Threat In GA Runoffs; Doubt Cast By Pres. Trump; Sources: Trump Calls GOP GA Gov Kemp A ""Moron"" And ""Nut Job"" During Recent Phone Call; Distrust Of Covid-19 Vaccine In Some U.S. Minority Communities. Aired on 8-9p ET",/TRANSCRIPTS/2012/04/acd.01.html,1,acd,anderson_cooper_360
Anderson Cooper 360,"Sources Say Donald Trump and William Barr had Contentious Meeting on Tuesday after A.G. Dismissed Widespread Voter Fraud in Interview; U.S. COVID-19 Deaths Today Surpass 2,600 and New 100,000 Plus High in Hospitalizations, Cases Top 14 Million; U.S. Covid Deaths Today Surpasses 2,600; New 100+k High In Hospitalizations; Cases Top 14 Million; Woodward & Bernstein On Pres. Trump's Final Days. Aired 8- 9p ET",/TRANSCRIPTS/2012/03/acd.01.html,2,acd,anderson_cooper_360
Anderson Cooper 360,"U.S. Approaches Single-Day High In COVID-19 Deaths; Sources Say Expect Flurry Of Pardons Before Trump Leaves Office; Interview With Sen. Bernie Sanders (I-VT); ""Washington Post:"" Trump Livid At Barr For Election Comments; Source Suggests He Could Fire Attorney General; Ivanka Trump Sits For Deposition Involving Accusations Of Misuse Of Inaugural Funds. Aired 8-9p ET",/TRANSCRIPTS/2012/02/acd.01.html,3,acd,anderson_cooper_360
Anderson Cooper 360,"A.G. Barr Says There Is No Evidence Of Widespread Fraud In Election; Barr Appoints Special Counsel For 2016 Investigation; NYT Reports Trump Has Discussed Pardons For His Three Children, Giuliani And Kushner; CDC Recommendations On Who Gets COVID Vaccine First; Trump Supporters In Georgia Hold Onto Hope; CNN Heroes: Giving Tuesday. Aired 8-9p ET",/TRANSCRIPTS/2012/01/acd.01.html,4,acd,anderson_cooper_360
Anderson Cooper 360,Dr. Scott Atlas Resigns; Wisconsin And Arizona States Certify Biden Election Victories; Moderna Seeking Emergency Use Authorization For Its COVID-19 Vaccine; Trump Campaign Lawyer Calls For Death Of Fired Official Who Called Elections Secure?; NY Times: Justice Department Examined Sen. Perdue's Stock Trades; Trump Feuds With Georgia's GOP Governor Weeks Ahead Of Two Senate Runoff Elections. Aired 8-9p ET,/TRANSCRIPTS/2011/30/acd.01.html,5,acd,anderson_cooper_360
Anderson Cooper 360,"Trump Pardons Former National Security Adviser Michael Flynn; 2020 Thanksgiving Message By The President And The President-Elect; Nearly 90,000 Hospitalized In U.S. Due To Coronavirus, A New Record; Senate Runoffs In Georgia Will Decide Control Of The U.S. Senate; Long Lines Form At Food Banks Around The Country Ahead Of The Holidays. Aired 8-9p ET",/TRANSCRIPTS/2011/25/acd.01.html,6,acd,anderson_cooper_360
Anderson Cooper 360,"Trump Makes Two Brief Appearances, Takes No Questions; Biden Says His Cabinet Picks Will Make Us Proud As Americans; U.S. COVID-19 Hospitalizations Top 88,000, A New Record; White House Coronavirus Task Force Is Considering Shortening The Recommended Quarantine Time For COVID-19. Aired 8-9p ET",/TRANSCRIPTS/2011/24/acd.01.html,7,acd,anderson_cooper_360
Anderson Cooper 360,"G.S.A. Says Biden Transition Team can Formally Begin; Millions of Travelers Ignore CDC's Guidance Ahead Of Holiday; CDC: Equity Should be a Consideration In Distributing Coronavirus Vaccine; Did ""Dark Money"" Upend Some Local Races In Florida? Aired 8-9p ET",/TRANSCRIPTS/2011/23/acd.01.html,8,acd,anderson_cooper_360
Anderson Cooper 360,"Trump Tries to Reverse Election, Meet with Michigan Lawyers; Donald Trump, Jr. Tests Positive for COVID-19; Senior G.O.P. Lawmakers Grow Anxious over Trump's Effort to Overturn Election Results; New IHME Projection: More Than 470,000 Americans Will Die From Covid-19 By March; 177,780 New Cases In U.S. Today And 1,700+ Deaths. Aired 8-9p ET",/TRANSCRIPTS/2011/20/acd.01.html,9,acd,anderson_cooper_360
Anderson Cooper 360,"Georgia Confirms Biden Victory after Statewide Audit; Source Says Trump Knows He Lost, but Stalling Transition to Get Revenge on Democrats Aired 8-9p ET",/TRANSCRIPTS/2011/19/acd.01.html,10,acd,anderson_cooper_360
Anderson Cooper 360,"U.S. Surpasses a Quarter of a Million COVID-19 Deaths; ""Time"" Magazine Reports Giuliani Trying to Cast Doubt on Election so G.O.P. Led State Legislature Pick Up Trump, Not Biden. Aired 8-9p ET",/TRANSCRIPTS/2011/18/acd.01.html,11,acd,anderson_cooper_360
Anderson Cooper 360,"Wayne County, Michigan Canvassing Board Deadlocks On Certifying Election; GA Election Official: Recount To Affirm Biden Win Tomorrow; 87-Year-Old GOP Sen. Chuck Grassley Tests Positive For Covid-19. Aired 8-9p ET",/TRANSCRIPTS/2011/17/acd.01.html,12,acd,anderson_cooper_360
Anderson Cooper 360,"U.S. Tops 247,000 Deaths And 11 Million Coronavirus Cases; Donald Trump Aims To Undermine Joe Biden's Legitimacy Even As Legal Challenges Fizzle; Trump Has Shown Little Indication He Plans To Back Off His False Claim That He Won The Election; NY Times: Advisers Dissuaded Trump From A Strike Against Iran, Warning It Could Escalate A Broader Conflict. Aired 8-9p ET",/TRANSCRIPTS/2011/16/acd.01.html,13,acd,anderson_cooper_360
