show,title,href,id,show_abbrev,show_c
At This Hour,"Dr. Birx: I Wish U.S. Lockdown Had Looked Like Italy; New Study Finds Possible Coronavirus Spread on Airplane; Study Suggests COVID-19 Can Spread Via Dust Particles like Flu; UNC, Chapel Hill, Halts In- Person Classes after Virus Outbreak; Dr. Mimi Chapman, UNC, Chapel Hill, Faculty Chair, Discusses Virus Outbreak on Campus; Trump Blasts Michelle Obama: ""She's In Over Her Head""; Valarie Jarrett, Former Senior Adviser to Barack Obama, Discusses Trump's Reaction to Michelle Obama's Convention Speech & Julian Castro Warning Democrats of ""Potential Slide of Latino Support""; Austin Beutner, L.A. County Unified School District Superintendent, discusses L.A. Schools to Test All Students, Staff Before In-Person Classes. Aired 11-11:30a ET",/TRANSCRIPTS/2008/18/ath.01.html,6530,ath,at_this_hour
At This Hour,"Austin Beutner, L.A. County Unified School District Superintendent Discusses L.A. Schools To Test All Students, Staff Before In-Person Classes; Dr. Thomas Inglesby, Johns Hopkins Center For Health Security Director, Discusses Reopening L.A. County Schools' Coronavirus Testing Plan, Schools Reopening Without Testing; Dr. Mitchell Elkind, American Heart Association President, Discusses Cardiac Problems Associated With COVID-19; Trump En Route To Iowa To See Storm Damage; Updates On Coronavirus Responses Around The World. Aired 11:30a-12p ET",/TRANSCRIPTS/2008/18/ath.02.html,6531,ath,at_this_hour
At This Hour,"Trump: ""Looking Into"" Unproven Therapeutic for Coronavirus; Trump Speaks Amid Furor Over Postal Service; Study: Minorities Disproportionately Hospitalized for COVID-19; Video Shows Packed Private Party Near Georgia College Campus; UNC Has Four COVID Outbreaks Less Than a Week After Classes Resume; CDC: COVID Infection Rate has Increased ""Steadily"" in Children Under 17; Another Georgia School Suspends Classes Due to Rising COVID Cases; Pelosi Calls for House to Return from Recess for Postal Service Vote; WH Chief of Staff: Mail Sorting Machines Won't be Removed; Two Dem Congressmen Call for FBI Investigation into USPS Chief and Board of Governors; Trump: Absentee Ballots ""Great,"" Universal Mail-In Voting ""Dangerous""; States Consider Legal Action Against WH Over USPS, Mail-In Voting. Aired 11-11:30a ET.",/TRANSCRIPTS/2008/17/ath.01.html,6532,ath,at_this_hour
At This Hour,"Virtual Democratic National Convention Kicks Off Today; Mayor Robert Garcia (D-Long Beach) Discusses Coronavirus & Being 1 of 17 Giving Key Addresses at Democratic National Convention; Jimbo Jackson, Fort Braden School Principal, Discusses Concerns over Sending Kids Back to Class; Slow Recruiting of Blacks, Latinos for Trials Could Delay Vaccine. Aired 11:30a-12p ET",/TRANSCRIPTS/2008/17/ath.02.html,6533,ath,at_this_hour
At This Hour,NY Governor Cuomo Gives Update On Coronavirus Response. Aired 11-11:30a ET,/TRANSCRIPTS/2003/24/ath.01.html,6534,ath,at_this_hour
At This Hour,NY Governor Cuomo Gives Updates On Coronavirus Response; NYC Governor: Numbers Of Ill To Spike Higher & Sooner Than Thought. Aired 11:30a-12p ET,/TRANSCRIPTS/2003/24/ath.02.html,6535,ath,at_this_hour
At This Hour,Gov. Andrew Cuomo Holds Another Press Conference For New York Issuing An Emergency Order. Aired 11-11:30a ET,/TRANSCRIPTS/2003/23/ath.01.html,6536,ath,at_this_hour
At This Hour,"NY Governor Cuomo Gives Update on Coronavirus Response; Cuomo Orders All Hospitals to Increase Capacity by 50 Percent; Surgeon General Warns Upcoming Week Will Be ""Very Bad"" as Trump Hints at Rolling Back Social Distancing . Aired 11:30a-12p ET",/TRANSCRIPTS/2003/23/ath.02.html,6537,ath,at_this_hour
At This Hour,"Soon, NY Governor Cuomo to Speak on Coronavirus Response; California Governor Newsom Issues Statewide Lockdown; David Benton, CEO, National Council of State Boards of Nursing, Discusses Medical Supplies Running Out; NY Governor Cuomo Gives New Conference on Coronavirus Response. Aired 11-11:30a ET",/TRANSCRIPTS/2003/20/ath.01.html,6538,ath,at_this_hour
At This Hour,"NY Governor Cuomo Holds News Conference on Coronavirus Response; Dr. Ashish Jah, Harvard University's Global Health Institute Director, Discusses Drastic Measures Taken by NY & California; Trump & Coronavirus Task Force Hold News Conference. Aired 11:30a-12p ET",/TRANSCRIPTS/2003/20/ath.02.html,6539,ath,at_this_hour
At This Hour,"NY Governor Cuomo Holds Press Briefing on Coronavirus Response: Trump Teases Exciting Developments from FDA; Cuomo Says NY Likely to See ""Tens of Thousands"" of Cases as Tests Increase; Dr. Sanjay Gupta Answers Questions on Rising Coronavirus Cases; Sen. Maggie Hassan (D- NH) Discusses Coronavirus, Emergency Stimulus Package, Lack of Medical Equipment. Aired 11-11:30a ET",/TRANSCRIPTS/2003/19/ath.01.html,6540,ath,at_this_hour
At This Hour,"Sen. Maggie Hassan (D-NH) Discusses Coronavirus, Emergency Stimulus Package, Lack of Medical Equipment; Trump & Coronavirus Task Force Hold News Conference. Aired 11:30a-12p ET",/TRANSCRIPTS/2003/19/ath.02.html,6541,ath,at_this_hour
At This Hour,"Health Officials Urge Americans to Act as if They're Infected; Nearly 8 Million Ordered to Shelter-in-Place in Northern California; NYC Mayor to Discuss Possible Shelter-in-Place Order with Governor; Trump Tweeted He'll Discuss Important News Today from FDA; Trump: U.S./Canada Border will Close to Non-Essential Travel; White House Pushing $1 Trillion Coronavirus Relief Package; Scott Steiner, Phoebe Putney Public Health System's President & CEO, Discusses Shortages of Personal Protective Equipment & Lack of Testing; Moody's Analytics' Chief Economist, Mark Zandi, Discusses Wild Swings in Stock Market & Mnuchin's Warning of 20 Percent Unemployment Rate Without Action; NYC Governor Cuomo Gives New Conference on Coronavirus. Aired 11-11:30a ET",/TRANSCRIPTS/2003/18/ath.01.html,6542,ath,at_this_hour
At This Hour,NYC Governor Cuomo Gives News Conference on Coronavirus. Aired 11:30a-12p ET,/TRANSCRIPTS/2003/18/ath.02.html,6543,ath,at_this_hour
