show,title,href,id,show_abbrev,show_c
CNN 10,Unmanned Mission to the Moon; Pros and Cons of Vertical Farming; A Dive into the World`s Deepest Pool. Aired 4-4:10a ET,/TRANSCRIPTS/2012/04/sn.01.html,40529,sn,cnn_10
CNN 10,Record-Breaking Heat In Australia Risks Bush Fires; COVID-19 Puts Hamper On Fishermen; Boater Rescued By Shipping Boat; Discussion On The Poinsettia Plant. Aired 4-4:10a ET,/TRANSCRIPTS/2012/03/sn.01.html,40530,sn,cnn_10
CNN 10,Challenging Call For American Medical Advisors; Use Of Facial Recognition Technology For Humans And Bears; Mysterious Monolith. Aired 4- 4:10a ET,/TRANSCRIPTS/2012/02/sn.01.html,40531,sn,cnn_10
CNN 10,Tensions Flare After An Iranian Nuclear Scientist Is Killed; Europeans Prepare For A Different Christmas Season; Airline Requires COVID Tests To Fly. Aired 4-4:10a ET,/TRANSCRIPTS/2012/01/sn.01.html,40532,sn,cnn_10
CNN 10,Mixed Bag Of Indicators For Shopping And The U.S. Economy; Female First For College Football; Animal Highway; Electoral Coin Flip. Aired 4- 4:10a ET,/TRANSCRIPTS/2011/30/sn.01.html,40533,sn,cnn_10
CNN 10,Thanksgiving Closures And Retailer Concerns; Vaccine Logistics; QR Code Controversy; Discussion On A Shipwreck. Aired 4-4:10a ET,/TRANSCRIPTS/2011/24/sn.11.html,40534,sn,cnn_10
CNN 10,Holiday Travel Amid Coronavirus; Most Expensive Object Ever Built; Graduate Students` Innovations. Aired 4-4:10a ET,/TRANSCRIPTS/2011/23/sn.01.html,40535,sn,cnn_10
CNN 10,Headlines From Nicaragua to New York; Look At the U.S. Presidential Cabinet; Report on Benefits of Kelp Farming. Aired 4-4:10a ET,/TRANSCRIPTS/2011/20/sn.01.html,40536,sn,cnn_10
CNN 10,Special Edition Focuses on the Prospect of Driverless Cars and How Do Their Developers and Supporters See a Future Without Human Drivers,/TRANSCRIPTS/2011/19/sn.01.html,40537,sn,cnn_10
CNN 10,Planned U.S. Troop Withdrawals; Seasonal Affective Disorder; A Discovery Of Antiquities; A New Tool That Could Help Prevent Overfishing. Aired 4-4:10a ET,/TRANSCRIPTS/2011/18/sn.01.html,40538,sn,cnn_10
CNN 10,An Announcement from a U.S. Drug Company; Category 5 Hurricane in Central America; The History and Future of Ice Cream,/TRANSCRIPTS/2011/17/sn.01.html,40539,sn,cnn_10
CNN 10,Projected Balance Of Power In The U.S. Senate; Controversial Traffic Project Near Ancient Monument; New Mission To The ISS. Aired 4-4:10a ET,/TRANSCRIPTS/2011/16/sn.01.html,40540,sn,cnn_10
CNN 10,Logistical Challenges of Distributing A Vaccine; Potential Impact of Corona Virus on Black Friday; The Advent of a Robotic Dolphin,/TRANSCRIPTS/2011/13/sn.01.html,40541,sn,cnn_10
CNN 10,Hospitalization Record; A New Antibody Therapy; Discussing Ocean Exploration; A Building on the Move,/TRANSCRIPTS/2011/12/sn.01.html,40542,sn,cnn_10
CNN 10,Weather and Politics First Two Topics; Test Ride Aboard Hyperloop Vehicle; Exploring Pet Adoption in COVID Era. Aired 4-4:10a ET,/TRANSCRIPTS/2011/11/sn.01.html,40543,sn,cnn_10
CNN 10,U.S. Drugmaker Says Its Vaccine Shows Promise; Storm Leaves Behind Destruction in Central America; Native American Tribe Promotes Prescribed Burning,/TRANSCRIPTS/2011/10/sn.01.html,40544,sn,cnn_10
CNN 10,U.S. Media Has Projected A Winner In The 2020 Presidential Election; CNN Hero Uses His Organization To Provide Free Adventure To Health Care Workers. Aired 4-4:10a ET,/TRANSCRIPTS/2011/09/sn.01.html,40545,sn,cnn_10
CNN 10,Two U.S. Candidates Discuss the Vote; Study Into Teens` Screen Time; Company Aims to Improve Bees` Nutrition; Baby Rhino Makes His Debut. Aired 4-4:10a ET,/TRANSCRIPTS/2011/06/sn.01.html,40546,sn,cnn_10
CNN 10,Latest U.S. Presidential Election Results; The Hearing Ability Of Certain Spiders; Two Towns With A Puzzling Fit. Aired 4-4:10a ET,/TRANSCRIPTS/2011/05/sn.01.html,40547,sn,cnn_10
CNN 10,The U.S. Presidential Election; Hurricane Eta`s Landfall in Nicaragua; The Reopening of Machu Picchu,/TRANSCRIPTS/2011/04/sn.01.html,40548,sn,cnn_10
CNN 10,Some Possible Complications With The Voting Process In America; The Weather`s Impact On Turnout; The Sounds Of Space. Aired 4-4:10a ET,/TRANSCRIPTS/2011/03/sn.01.html,40549,sn,cnn_10
CNN 10,"English Lawmakers Debate Another National Lockdown; A Deadly Earthquake Strikes Turkey And Greece; A ""Morning Daylight"" Advantage To Falling Back. Aired 4-4:10a ET",/TRANSCRIPTS/2011/02/sn.01.html,40550,sn,cnn_10
CNN 10,U.S. Economic Measure Sets A Record for Growth; Firefighting Robot Aims to Save Lives; Nigeria`s First Female Mechanic Helps Others. Aired 4- 4:10a ET,/TRANSCRIPTS/2010/30/sn.01.html,40551,sn,cnn_10
CNN 10,Storms In Vietnam And The United States; International Travel In The Era Of Coronavirus; Newly Discovered Reef The Size Of A Skyscraper. Aired 4-4:10a ET,/TRANSCRIPTS/2010/29/sn.01.html,40552,sn,cnn_10
CNN 10,History Of Voting In America; New Theories About Water On The Moon; Ways You Can Verify News You Read Online. Aired 4-4:10a ET,/TRANSCRIPTS/2010/28/sn.01.html,40553,sn,cnn_10
CNN 10,Checking In On Polling And Early Voting In The U.S.; News On The Confirmation Of The U.S. Supreme Court Nominee; Space Exploration; Bygone Era. Aired 4-4:10a ET,/TRANSCRIPTS/2010/27/sn.01.html,40554,sn,cnn_10
CNN 10,Destroying A Nest of Murder Hornets; Providing RVs To Wildfire Victims; Changing Plans For Halloween. Aired 4-4:10a ET,/TRANSCRIPTS/2010/26/sn.01.html,40555,sn,cnn_10
CNN 10,Discussion on the Second And Final Debate For The President With The Election Days Away.,/TRANSCRIPTS/2010/23/sn.01.html,40556,sn,cnn_10
CNN 10,"Flooding Claims Lives And Homes In Vietnam; U.S. Candidates Prepare For A ""Muted"" Debate; An American Company Works On A Type Of Biodegradable Material. Aired 4-4:10a ET",/TRANSCRIPTS/2010/22/sn.01.html,40557,sn,cnn_10
CNN 10,U.S. Government Files Lawsuit Against Google; New Technology Helps Ocean Researchers. Aired 4-4:10a ET,/TRANSCRIPTS/2010/21/sn.01.html,40558,sn,cnn_10
CNN 10,Explanation of the Electoral College; Reports on Corona Virus Cases in Europe; Three Space Headlines,/TRANSCRIPTS/2010/20/sn.01.html,40559,sn,cnn_10
CNN 10,A Flare-Up Of Violence Between Armenia And Azerbaijan; The Work Of A CNN Hero To Bring Music To Senior Citizens. Aired 4-4:10a ET,/TRANSCRIPTS/2010/19/sn.01.html,40560,sn,cnn_10
CNN 10,Coronavirus Cases Rise in Most U.S. States; A La Nina Forms in the Pacific; Thousands More Satellites are Headed for Space. Aired 4-4:10a ET,/TRANSCRIPTS/2010/16/sn.01.html,40561,sn,cnn_10
CNN 10,Balance of Power in Congress; Science Behind Cloud Seeding; New Space Research; Possible Slip `N Slide Record,/TRANSCRIPTS/2010/15/sn.01.html,40562,sn,cnn_10
CNN 10,Facebook Makes A Policy Change Related To Holocaust Content; CNN Election Trackers Explain How They Project Results; U.S. Scientists Trace Murder Hornets. Aired 4-4:10a ET,/TRANSCRIPTS/2010/14/sn.01.html,40563,sn,cnn_10
CNN 10,Corona Virus Headlines from Several Countries; Early Voting in America; Virtual Tour of Dubai; Record Setting T. Rex,/TRANSCRIPTS/2010/13/sn.01.html,40564,sn,cnn_10
CNN 10,Senate Hearings For Supreme Court Nominee Start Monday; Presidential Debate For This Week Canceled; U.S. Landfall Of Hurricane Delta; Military Parade In East Asia; CNN Hero`s Quarantine With 54 Children In Nepal. Aired 4-4:10a ET,/TRANSCRIPTS/2010/12/sn.01.html,40565,sn,cnn_10
