show,title,href,id,show_abbrev,show_c
CNN Newsroom,"Trump Holds Superspreader Rally in Georgia; Trump's Continuing Lies Could Hurt Georgia Senators; Biden Asks Congress for $900 Billion Relief Package; Millions in California Face New Stay-at-Home Orders; Portugal to Ease Restrictions for Christmas; Countries Prepare for Vaccine Rollouts; The Struggle of COVID-19 Long Haulers; Frontline Health Care Workers Suffer, Too; MLB Clubs Sue Insurance Firms for Lost Revenue; English Premier League Fans Return to Stands. Aired 2-3a ET",/TRANSCRIPTS/2012/06/cnr.19.html,8697,cnr,cnn_newsroom
CNN Newsroom,"Millions in California Face New Stay-at-Home Orders; Trump Holds Superspreader Rally in Georgia; Countries Prepare for Vaccine Rollouts; Hungary Opens Borders to Recovered COVID-19 Travelers; U.S. Adds over 1 Million New COVID-19 Cases in Five Days; Frontline Health Care Workers Suffer, Too; E.U.-U.K. Trade Deal Negotiations Resume; Nor'easter Triggers Bomb Cyclone. Aired 3-4a ET",/TRANSCRIPTS/2012/06/cnr.20.html,8698,cnr,cnn_newsroom
CNN Newsroom,"U.S. Hospitals Fear Deadliest Season Yet; Bahrain Approves Pfizer Vaccine; Georgia's Special Election; Trump's Continuing Lies; Thousands of Refugees Have Fled to Sudan from Ethiopia; Biden Acknowledges ""Grim"" Jobs Report; Bangladesh Forces Hundreds of Rohingya to Island. Aired 2-2:45a ET",/TRANSCRIPTS/2012/05/cnr.19.html,8699,cnr,cnn_newsroom
CNN Newsroom,"Trump Team Has No Vaccination Plan; U.S. Hospitals Fear Deadliest Season Yet; Scotland, Wales Begin Vaccinations on Tuesday; Georgia's Special Election; Trump's Continuing Lies; E.U.-U.K. Trade Deal Negotiations Paused; Monoliths Sparking Questions. Aired 3-3:30a ET",/TRANSCRIPTS/2012/05/cnr.20.html,8700,cnr,cnn_newsroom
CNN Newsroom,New Wave of Coronavirus Cases Leading to Increased Deaths in U.S.; Regions in California Instituting Lockdowns to Reduce Coronavirus Spread; Tenants Across U.S. Facing Eviction Due to Job Loss and Economic Slowdown Related to Coronavirus Spread; President Trump To Campaign in Georgia for Senate Candidates in Runoff Elections; Barack Obama and Joe Biden Campaign in Georgia for Senate Candidates in Runoff Elections. Aired 10-11a ET,/TRANSCRIPTS/2012/05/cnr.01.html,8701,cnr,cnn_newsroom
CNN Newsroom,"U.S. Hospitals Fear Deadliest Season Yet; U.S. Stimulus Talks; Trump's Continuing Lies; Vaccination Centers Open across Moscow; Scotland, Wales Begin Vaccinations on Tuesday; Vaccine Hesitancy Could Be Biggest Challenge; Georgia's Special Election; Bahrain Approves Pfizer Vaccine; E.U.-U.K. Trade Deal Negotiations Paused; Holiday Spirit Reigns Despite COVID-19. Aired 4-5a ET",/TRANSCRIPTS/2012/05/cnr.21.html,8702,cnr,cnn_newsroom
CNN Newsroom,"U.S. Hospitals Fear Deadliest Season Yet; Trump's Continuing Lies; Biden Team Blocked From Meeting Pentagon Intel Officials; Scotland, Wales Begin Vaccinations On Tuesday; Vaccination Centers Open Across Moscow; Vaccine Hesitancy Could Be Biggest Challenge; Georgia's Special Election; E.U.-U.K. Trade Deal Negotiations Paused. Aired 5-6a ET",/TRANSCRIPTS/2012/05/cnr.22.html,8703,cnr,cnn_newsroom
CNN Newsroom,Southern California Regions Could Face Stay-At-Home Orders; COVID-19 Leading Cause Of Death In U.S. This Week; Lawmakers Strike Optimistic Tone About Stimulus Negotiations; Trump To Hold Rally In Georgia; States Warn First Shipments Of COVID-19 Vaccine Will Fall Short; Normal Side Effects To Expect With COVID-19 Vaccines; NBA Player Loses Seven Family Members To COVID-19. Aired 11a-12p ET,/TRANSCRIPTS/2012/05/cnr.02.html,8704,cnr,cnn_newsroom
CNN Newsroom,President Trump To Campaign In Georgia For Senate Candidates In Runoff Elections; President Trump Pushes Georgia Governor Brian Kemp To Persuade Georgia Legislators To Overturn Presidential Election Results; New Wave Of Coronavirus Cases Leading To Increased Deaths In U.S.; Coronavirus Pandemic Causing Widening Education Gap Affecting Low-Income Students And Students Of Color; Interview With Former Senate Majority Leader Harry Reid (D-NV); Judge Orders Trump Administration to Rollback Its Restrictions on DACA. Aired 2-3p ET,/TRANSCRIPTS/2012/05/cnr.05.html,8705,cnr,cnn_newsroom
CNN Newsroom,"More Americans Suffering And Dying Of COVID-19 Than Ever Before; Dr. Fauci: Parts Of U.S. Could Postpone Elective Surgeries As Hospitals Face Overwhelming Amount Of COVID-19 Patients; Bipartisan $908B Stimulus Deals Gains Support On Capitol Hill; Source: Trump Administration Blocked Biden Transition Team From Meeting With Pentagon Intelligence Agencies; Black, Latino Leaders Raise Concerns About Diversity In Biden Cabinet; PA Airport Acting As Receiving Area For COVID-19 Vaccines. Aired 12-1p ET",/TRANSCRIPTS/2012/05/cnr.03.html,8706,cnr,cnn_newsroom
CNN Newsroom,"Bipartisan $908B Stimulus Deal Gains Support On Capitol Hill; More Americans Suffering And Dying Of COVID-19 Than Even Before; Record 100,667 Americans Hospitalized, Concerns About Capacity; Former Sen. Barbara Boxer (D-CA) Discusses Fight Over Harris Senate Seat; Trump Supporters In Georgia Hold Onto Hope; Update On Coronavirus Responses Around The World. Aired 1-2p ET",/TRANSCRIPTS/2012/05/cnr.04.html,8707,cnr,cnn_newsroom
CNN Newsroom,Trump Called Georgia's GOP Governor To Pressure Him To Get State's Election Results Overturned; Southern California Region Could Face Stay-at-Home Order if ICU Capacity Stays Below 15 Percent in the Region; Sources Say White House Has Held Multiple Pardon Meetings Since Election; Democrat Officials Ignore Their Own Advice on COVID Safety Measures; How Airlines Are Preparing to Transport the Coronavirus Vaccine. Aired 3-4p ET,/TRANSCRIPTS/2012/05/cnr.06.html,8708,cnr,cnn_newsroom
CNN Newsroom,"New Model Predicts 500,000-Plus Dead From Coronavirus By April; Trump Called Georgia's GOP Governor To Pressure Him To Get State's Election Results Overturned; Ten Million Californians Facing Stay-At- Home Order Tomorrow Night; CNN ""Presidential Brief"": Members Of Biden Transition Team Unable To Meet With Pentagon Intelligence Agencies; Trump Nominee For Senior Pentagon Position Spread Debunked Conspiracy Theories & Suggests Trump Should Declare Martial Law. Aired 4-5p ET",/TRANSCRIPTS/2012/05/cnr.07.html,8709,cnr,cnn_newsroom
CNN Newsroom,"Trump Called Georgia's GOP Governor To Pressure Him To Get State's Election Results Overturned; Distrust Of COVID-19 Vaccine In Some U.S. Minority Communities; Answering Viewers' Legal Questions in CNN's ""Cross Exam""; Federal Judge Rules Trump Administration Must Reinstate DACA Program; Biden Wants to Stop Construction of Trump's Border Wall. Aired 5-6p ET",/TRANSCRIPTS/2012/05/cnr.08.html,8710,cnr,cnn_newsroom
CNN Newsroom,U.S. COVID Cases Breaks Record; Joe Biden to Mandate Use of Mask; Former Presidents to Take COVID vaccine on Camera; U.K. Prepares to Vaccinate Citizens; Iran Passed a Bill After Fakhrizadeh's Assassination; Israelis and Jews Warned of Iran's Retaliatory Attack; Australia and China in War of Words; Trump Meeting with Attorney General Contentious; Trump Repeats False Baseless Claims of Election Fraud; Biden and Harris Weigh in on Trump's Power to Pardon; U.K. has Four Weeks to Secure Trade Deal with E.U.; U.K. Fisherman Caught in Net of E.U. Politics; Warner Brothers Movies to Stream as They Drop in Theaters; Curious Koala Becomes A Christmas Tree Ornament. Aired 3- 3:45a ET,/TRANSCRIPTS/2012/04/cnr.20.html,8711,cnr,cnn_newsroom
CNN Newsroom,"U.S. Tops 14M Cases as Deaths, Hospitalizations Soar; Biden: 'I'd Be Happy' to Get a Vaccine Once It's Approved; Biden, Harris Promise an Independent Justice Department; Sources: Trump Meeting with Attorney General 'Contentious'; Iran Foreign Minister: Lifting Sanctions Can Undo Uranium Enrichment Law; Officials Ignore Their Own Advice on COVID Measures; India's Transport Union Supporting Protesting Farmers; English Fishermen Caught in Net of U.K. Politics; Woodward & Bernstein Weigh in on Trump's Final Days in Office. Aired 12-12:45a ET",/TRANSCRIPTS/2012/04/cnr.17.html,8712,cnr,cnn_newsroom
CNN Newsroom,"U.S. Posts New Records of COVID Cases and Deaths; Biden Will Ask for 100 Days of Mask Wearing; Trump Feuds with Attorney General Bill Barr Over Election; White House Holds Events, Holiday Parties Despite Pandemic; Two Georgia Runoff Races Will Determine Control of Senate; U.K. Exceed 60K Total Deaths as First Vaccine Doses Arrive. Aired 4-4:30a ET",/TRANSCRIPTS/2012/04/cnr.21.html,8713,cnr,cnn_newsroom
CNN Newsroom,"IHME Says, COVID-19 Leading Cause of Death in the U.S. This Week; Biden Responds to Pressure to Make Cabinet More Diverse; Economic Recovery Stalls as Pressure Builds to Pass New Stimulus Deal. Aired 10-10:30a ET",/TRANSCRIPTS/2012/04/cnr.03.html,8714,cnr,cnn_newsroom
CNN Newsroom,"CNN Exclusive: Clips From Tapper's Interview Of Biden And Harris; The United States As A World Leader, Let's Take A Step Back; Is Don Jr. The New Face Of The Base And Does Ivanka Has Political Designs?; Every 30 Seconds, Another American Loses Their Life To COVID; Fauci Welcomed As Biden's Medical Chief; COVID Pushes U.S. Family-Owned Businesses to Go Under; Biden: I have Asked DR. Fauci to Part of My COVID Team; Thousands of Farmers Protesting at New Delhi Borders; Tensions Heating Up Between China and Australia; Uncensored Sites Find New Followers. Aired 1-2a ET",/TRANSCRIPTS/2012/04/cnr.18.html,8715,cnr,cnn_newsroom
CNN Newsroom,"U.S. Economy Adds Just 245,000 Jobs in November as Jobs Engine Stalls; FDA Official Says, Pfizer, Moderna Coronavirus Vaccines Should Be Authorized Within a Week After Advisory Meetings. Aired 11:30-12p ET",/TRANSCRIPTS/2012/04/cnr.06.html,8716,cnr,cnn_newsroom
CNN Newsroom,"Biden: $900 Billion Stimulus is Good Start But Not Enough; Some Officials: Do As I Say, Not As I Do; Georgia's Secretary of State Relies on Faith Amid GOP Attacks; U.S. Intel Chief Warning China Looking to Dominate World; What's Next for Don Jr, Ivanka and Eric. Aired 4:30-5a ET",/TRANSCRIPTS/2012/04/cnr.22.html,8717,cnr,cnn_newsroom
CNN Newsroom,California on the Brink of Regional Stay-at-Home Orders to Fight Virus Surge; Biden to Ask Americans to Wear a Mask for First 100 Days; Joe Biden: I'm Not Going to Get Involved in DOJ Investigations; Public School Enrollment Falling Nationwide During Pandemic. Aired 9- 9:30a ET,/TRANSCRIPTS/2012/04/cnr.01.html,8718,cnr,cnn_newsroom
CNN Newsroom,Public School Enrollment Falls; Economic Recovery Stalls; Election Officials Face Death Threats. Aired 9:30-10a,/TRANSCRIPTS/2012/04/cnr.02.html,8719,cnr,cnn_newsroom
