show,title,href,id,show_abbrev,show_c
CNN Right Now,"Trump Campaign Drops Arizona Lawsuit Acknowledging It's Moot; Biden Closes in on 306 Electoral Votes, Which Trump Used to Tout; Trump Team's Pattern of Using Paper Stacks to Make Claims; Jeffrey Sonnenfeld, Professor, Yale School of Management, Discusses His Meeting with CEOs as Trump's Refusal to Concede Fuels Concerns about Economy. Aired 1:30-2p ET",/TRANSCRIPTS/2011/13/crn.02.html,13695,crn,cnn_right_now
CNN Right Now,Dozens of Secret Service Agents in COVID-19 Quarantine or Isolation; Interview with Former Louisville Director of Elections James Young; Interview with New York City Councilmember Mark Levine. Aired 2-2:30p ET,/TRANSCRIPTS/2011/13/crn.03.html,13696,crn,cnn_right_now
CNN Right Now,"CNN Projects Biden Takes Georgia, Trump Wins North Carolina; The Shady & Controversial Pasts of Trump's New Pentagon Team; Sen. Tammy Duckworth (D-IL) Discusses Trump Destabilizing the Military, CIA Director Iced Out of Intel Meeting with Trump; New GOP Senator Gets It Wrong on 3 Branches of Government & WWII. Aired 2:30-3p ET",/TRANSCRIPTS/2011/13/crn.04.html,13697,crn,cnn_right_now
CNN Right Now,"Trump Disappears as COVID Ravages Nation, Election Loss Gets Bigger; U.S. Shatters More Records with New Infections, Hospitalizations. Aired 1-1:30p ET",/TRANSCRIPTS/2011/13/crn.01.html,13698,crn,cnn_right_now
CNN Right Now,Trump Attacks Philly's GOP Election Official for Saying No Fraud; GOP Escalates Enabling of Trump's Denial of Election Loss; Georgia Announce Recount By Hand; Trump Projected to Win Alaska; Biden's Popular Vote Lead over Trump Passes 5 Million; Parents Lost Only Child to COVID-19 & Have Message for Other Parents. Aired 1:30-2p ET,/TRANSCRIPTS/2011/11/crn.02.html,13699,crn,cnn_right_now
CNN Right Now,"Trump's Refusal to Start Transition Comes as COVID Ravages U.S.; U.S. Sees Record Cases, Hospitalizations, 1,400 Deaths in One Day; Trump Attacks Philly's GOP Election Official for Saying No Fraud. Aired 1-1:30p ET",/TRANSCRIPTS/2011/11/crn.01.html,13700,crn,cnn_right_now
CNN Right Now,"Sources: No Sign of Trump Planning to Concede, Allies Pessimistic; Biden's Potential Picks for Key Cabinet Positions; Trump Campaign Falsely Identifies Military Spouses as Fraudulent Voters in Nevada. Aired 2:30-3p ET",/TRANSCRIPTS/2011/11/crn.04.html,13701,crn,cnn_right_now
CNN Right Now,President Trump Continues Refusal to Concede to Joe Biden; Interview with Principal Investigator of Pfizer COVID-19 Vaccine Trial Site; Georgia to Recount Votes by Hand. Aired 2-2:30p ET,/TRANSCRIPTS/2011/11/crn.03.html,13702,crn,cnn_right_now
CNN Right Now,Key Battleground States Still Counting Votes; Trump Administration Refuses to Begin Presidential Transition; Right-Wing Media Enabling Trump & GOP's Election Denialism; Pompeo: Smooth Transition to Second Trump Administration. Aired 1:30-2p ET,/TRANSCRIPTS/2011/10/crn.02.html,13703,crn,cnn_right_now
CNN Right Now,"Soon, Biden to Speak on Health Care as Supreme Court Hears Arguments on ACA; Kamala Harris & Joe Biden Speaks on Health Care. Aired 2:30-3p ET",/TRANSCRIPTS/2011/10/crn.04.html,13704,crn,cnn_right_now
CNN Right Now,"Biden Weighs Legal Options as Trump Threatens Transfer of Power; DOJ Official in Charge of Voter Fraud Quits after Barr Memo; Biden Task Force Adviser Says, U.S. About to Enter COVID Hell. Aired 1-1:30p ET",/TRANSCRIPTS/2011/10/crn.01.html,13705,crn,cnn_right_now
CNN Right Now,"Mike Pompeo: There Will Be Smooth Transition To Second Trump Administration; Biden Weighs Legal Option As Trump Threatens Transfer Of Power; Supreme Court Signals Bulk Of Obamacare May Survive Challenge; McConnell, Top Republicans Back Trump's Refusal To Concede; Biden Speaks As Supreme Court Considers Fate Of Obamacare. Aired 2- 2:30p ET",/TRANSCRIPTS/2011/10/crn.03.html,13706,crn,cnn_right_now
CNN Right Now,"Trump Fires Defense Secretary Esper Effective Immediately; Biden Lays Out COVID Plan after Announcing Advisory Board; Pfizer Says, Early Analysis Shows Trial Vaccine More Than 90 Percent Effective. Aired 1-1:30p ET",/TRANSCRIPTS/2011/09/crn.01.html,13707,crn,cnn_right_now
CNN Right Now,Trump Fires Defense Secretary Mark Esper; Trump & GOP Felt Differently about Calling Elections in the Past; Margins Show Biden Had Bigger Win Than Initially Thought; Balance of Power in Senate Hinges on 2 Georgia Runoffs. Aired 1:30-2p ET,/TRANSCRIPTS/2011/09/crn.02.html,13708,crn,cnn_right_now
CNN Right Now,"Pfizer: Early Analysis Shows Trial Vaccine More than 90% Effective; Ben Carson Tests Positive for COVID-19; Leon Panetta, Former Defense Secretary & Former CIA Director, Discusses Trump Firing Defense Secretary Mark Esper; Attorney Daryl Bristow Discusses Trump's Election Fraud Claims; CDC Study: One in 11 COVID-19 Patients Readmitted to the Hospital. Aired 2:30-3p ET",/TRANSCRIPTS/2011/09/crn.04.html,13709,crn,cnn_right_now
CNN Right Now,Trump Fires Defense Secretary Esper; Pfizer CEO Says Vaccine is More Than 90 Percent Effective; Housing Secretary Ben Carson Tests Positive for Coronavirus. Aired 14-14:30p ET,/TRANSCRIPTS/2011/09/crn.03.html,13710,crn,cnn_right_now
CNN Right Now,U.S. & Mexico to Limit Non-Essential Travel Across Border; Trump: Not Currently Considering a Nationwide Lockdown; Trump Puts Defense Production Act Into Effect; Pompeo: All Non-Essential International Travel Should Be Avoided. Aired 1-1:30p ET,/TRANSCRIPTS/2003/20/crn.01.html,13711,crn,cnn_right_now
CNN Right Now,"Trump Attacks Media over Valid Question; Trump Causes Confusion over Defense Production Act; Primary Care Physician, Dr. Asaf Bitton, Discusses No Nationwide Lockdown. Fauci Disagrees with Trump's Optimism over Malaria Drug to Treat Coronavirus. Aired 1:30-2p ET",/TRANSCRIPTS/2003/20/crn.02.html,13712,crn,cnn_right_now
CNN Right Now,"Coronavirus Rattles U.S. Economy; Young People Are Not Immune from Coronavirus; E.R. Dr. Rob Davidson, director, Committee to Protect Medicare PAC, Answers Viewer's Questions on Coronavirus; The Situation on Coronavirus Across the Globe. Aired 2:30-3p ET",/TRANSCRIPTS/2003/20/crn.04.html,13713,crn,cnn_right_now
CNN Right Now,"Trump Invokes Defense Production Act; Hospitals Sound Alarm, Say Shortage Of Supply Is Dire; California And New York Have Shut Down All Non-Essential Businesses. Aired 2-2:30p ET",/TRANSCRIPTS/2003/20/crn.03.html,13714,crn,cnn_right_now
CNN Right Now,"FDA Chief Says, Vaccine Trial Expected To Take 12 Months; U.S Coronavirus Cases Top 10,900, Death Toll Rises To 163; Officials Warn Young People, This Is Not A Vacation. Aired 1-1:30p ET",/TRANSCRIPTS/2003/19/crn.01.html,13715,crn,cnn_right_now
CNN Right Now,Netflix to Reduce Quality in Europe for Never 30 Days; Stimulus Plan Aims to Pump $300 Billion into Small Businesses; Trump Speaks to Governors at FEMA Headquarters; Life Under Lockdown in Milan. Aired 2:30-3p ET,/TRANSCRIPTS/2003/19/crn.04.html,13716,crn,cnn_right_now
CNN Right Now,"University of Texas' Annika Olson Discusses Officials Warning Young People ""This Is Not a Vacation""; Coronavirus Updates from Around the World;  Italy Surpasses China in Coronavirus Cases; Yolette Bonnet, CEO of FoundCare, Discusses Florida Drive-Thru Testing Center Running Short of Test Kits & No Longer Taking Appointments; U.S. Businesses on Verge of Changing Forever Amid Outbreak. Aired 1:30-2p ET",/TRANSCRIPTS/2003/19/crn.02.html,13717,crn,cnn_right_now
CNN Right Now,"Virus Cases Soar In The U.S., Hospital Struggling To Keep Up; Trump Repeatedly Attacks Media In Middle Of Pandemic. Aired 2-2:30p ET",/TRANSCRIPTS/2003/19/crn.03.html,13718,crn,cnn_right_now
CNN Right Now,"Trump Speaks As Coronavirus Cases In U.S. Surpass 7,000; U.S- Canadian Border Closed Amid Coronavirus Crisis; U.S Coronavirus Cases Hit All 50 States. Aired 1-1:30p ET",/TRANSCRIPTS/2003/18/crn.01.html,13719,crn,cnn_right_now
CNN Right Now,"Trump Sending Two Naval Hospital Ships To NYC Harbor And West Coast; Pentagon Concerned By New Data Showing Young People Getting Coronavirus In Serious Way; NY Mayor Considers Shelter-In-Place Orders For Entire City; Sloan Kettering's Dr. Kent Sepkowitz Discusses Trump Asking FDA To Reduce Red Tape To Speed Tests, Consequences Of Americans Not Isolating Even If Not At Risk, What We Can Learn From South Korea; Trump Using Defense Production Act To Address Medical Needs; Rep. Dan Kildee (D-MI) Discusses Mnuchin Warning Of 20 Percent Unemployment Rate Without Stimulus Package; Countries Around World Take Drastic Measures To Stop Coronavirus Spread; U.K.'s Johnson On School Closures: ""We've Got To Do It Now"". Aired 1:30-2p ET",/TRANSCRIPTS/2003/18/crn.02.html,13720,crn,cnn_right_now
