show,title,href,id,show_abbrev,show_c
CNN Special Reports,Fight for the White House: Joe Biden's Long Journey. Aired 9- 10p ET,/TRANSCRIPTS/2011/28/csr.01.html,14386,csr,cnn_special_reports
CNN Special Reports,Fight For The White House: Joe Biden's Long Journey. Aired 10- 11p ET,/TRANSCRIPTS/2011/28/csr.02.html,14387,csr,cnn_special_reports
CNN Special Reports,Fight for the White House: Joe Biden's Long Journey. Aired 4- 4:30p ET,/TRANSCRIPTS/2011/26/csr.01.html,14388,csr,cnn_special_reports
CNN Special Reports,Fight for the White House: Joe Biden's Long Journey. Aired 4:30-5p ET,/TRANSCRIPTS/2011/26/csr.02.html,14389,csr,cnn_special_reports
CNN Special Reports,Fight For The White House: Joe Biden's Long Journey. Aired 5-6p ET,/TRANSCRIPTS/2011/26/csr.03.html,14390,csr,cnn_special_reports
CNN Special Reports,Fight For The White House: Joe Biden's Long Journey. Aired 10- 11p ET,/TRANSCRIPTS/2011/14/csr.01.html,14391,csr,cnn_special_reports
CNN Special Reports,Fight For The White House: Joe Biden's Long Journey. Aired 11p- 12a ET,/TRANSCRIPTS/2011/14/csr.02.html,14392,csr,cnn_special_reports
CNN Special Reports,Fight for the White House:  Donald Trump's Presidency. Aired 1- 2a ET,/TRANSCRIPTS/2011/01/csr.01.html,14393,csr,cnn_special_reports
CNN Special Reports,Fight for the White House:  Donald Trump's Presidency. Aired 2- 3a ET,/TRANSCRIPTS/2011/01/csr.02.html,14394,csr,cnn_special_reports
CNN Special Reports,Divided We Stand: Inside America's Anger. Aired 10-11p ET,/TRANSCRIPTS/2010/24/csr.01.html,14395,csr,cnn_special_reports
CNN Special Reports,"CNN: Special Report: The Insiders, A Warning from Former Trump Officials. Aired 9-10p ET",/TRANSCRIPTS/2010/18/csr.01.html,14396,csr,cnn_special_reports
CNN Special Reports,CNN Special Report: How The World Sees America. Aired 9-10p ET,/TRANSCRIPTS/2010/17/csr.01.html,14397,csr,cnn_special_reports
CNN Special Reports,CNN Special Report: How The World Sees America. Aired 9-10p ET,/TRANSCRIPTS/2010/11/csr.01.html,14398,csr,cnn_special_reports
CNN Special Reports,CNN Special Report: Bush Versus Gore. Aired 11:30p-12:30a ET,/TRANSCRIPTS/2010/10/csr.09.html,14399,csr,cnn_special_reports
CNN Special Reports,Special Report: Donald Trump's Conspiracy Theories. Aired 10- 11a ET,/TRANSCRIPTS/2009/06/csr.01.html,14400,csr,cnn_special_reports
CNN Special Reports,The Pandemic And The President. Aired 11p-12a ET,/TRANSCRIPTS/2009/05/csr.02.html,14401,csr,cnn_special_reports
CNN Special Reports,The Pandemic and The President. Aired 10-11p ET,/TRANSCRIPTS/2009/05/csr.01.html,14402,csr,cnn_special_reports
CNN Special Reports,United Shades Of America. Aired 9-10p ET,/TRANSCRIPTS/2008/30/csr.01.html,14403,csr,cnn_special_reports
CNN Special Reports,CNN Special Report: United Shades of America: The Homeless Crisis in LA. Aired 10-11p ET,/TRANSCRIPTS/2008/30/csr.02.html,14404,csr,cnn_special_reports
CNN Special Reports,After Truth: Disinformation And The Cost Of Fake News. Aired 10-11p ET,/TRANSCRIPTS/2008/29/csr.01.html,14405,csr,cnn_special_reports
CNN Special Reports,After Truth: Disinformation And The Cost Of Fake News. Aired 11p-12a ET,/TRANSCRIPTS/2008/29/csr.02.html,14406,csr,cnn_special_reports
CNN Special Reports,CNN Special Report: United Shades of America: Venezuelans in Florida. Aired 10-11p ET,/TRANSCRIPTS/2008/23/csr.01.html,14407,csr,cnn_special_reports
CNN Special Reports,Special Report: Donald Trump's Conspiracy Theories. Aired 11p- 12a ET,/TRANSCRIPTS/2008/23/csr.02.html,14408,csr,cnn_special_reports
CNN Special Reports,Women Represented: The 100-Year Battle For Equality. Aired 10- 11:30p ET,/TRANSCRIPTS/2008/22/csr.01.html,14409,csr,cnn_special_reports
CNN Special Reports,"CNN Special Report, Count On Controversy: Inside The Electoral College; Colorado's 2016 Faithless Elector Controversy; President Trump's Brother, Robert Passes Away. Aired 10-11p ET",/TRANSCRIPTS/2008/15/csr.01.html,14410,csr,cnn_special_reports
CNN Special Reports,The Road To Change: America's Climate Crisis. Aired 10-11:30p ET,/TRANSCRIPTS/2008/08/csr.01.html,14411,csr,cnn_special_reports
CNN Special Reports,"Unconscious Bias, Facing the Realities of Racism. Aired 8-9p ET",/TRANSCRIPTS/2007/26/csr.01.html,14412,csr,cnn_special_reports
CNN Special Reports,CNN Special Report: Donald Trump's Conspiracy Theories. Aired 11p-12a ET,/TRANSCRIPTS/2007/24/csr.01.html,14413,csr,cnn_special_reports
CNN Special Reports,Special Report: Donald Trump's Conspiracy Theories. Aired 9-10p ET,/TRANSCRIPTS/2007/20/csr.01.html,14414,csr,cnn_special_reports
CNN Special Reports,The President And The Pandemic. Aired 10-11p ET,/TRANSCRIPTS/2007/18/csr.01.html,14415,csr,cnn_special_reports
CNN Special Reports,The Pandemic and the President. Aired 11p-12a ET,/TRANSCRIPTS/2007/18/csr.02.html,14416,csr,cnn_special_reports
