show,title,href,id,show_abbrev,show_c
CNN Tonight,Mike Flynn Wants Trump to Declare Martial Law; Pentagon Nominee Call Trump's Loss a Coup; Biden Offers an Olive Branch to GOP; Dr. Anthony Fauci Remains in His Post; COVID Death Becomes Political; Biden Asked Americans to Use Mask for 100 Days; Black Panther Actress Under Fire Over Tweet; U.S. Expects to See More COVID Cases Ahead. Aired 10-11p ET,/TRANSCRIPTS/2012/04/cnnt.01.html,14802,cnnt,cnn_tonight
CNN Tonight,Virus is the Number One Cause of Death in the U.S. this Week; Pentagon Blocked Biden's Intel Transition Team; GOP Worries as Trump Election Lies Could Suppress Vote in Senate Races; Stimulus Bill Being Urged by President-Elect Biden. Aired 11p-12a ET,/TRANSCRIPTS/2012/04/cnnt.02.html,14803,cnnt,cnn_tonight
CNN Tonight,Trump's Voter Fraud Claims Not Going Anywhere; Joe Biden Will Take COVID Vaccine with Expert's Approval; DOJ Will Not be Run by Joe Biden Alone; U.S. Seeing More Dark Days Ahead; GOP Members Congratulates Joe Biden; Biden Need to Reach Out to Trump Voters. Aired 10-11p ET,/TRANSCRIPTS/2012/03/cnnt.01.html,14804,cnnt,cnn_tonight
CNN Tonight,"Biden Will Ask Americans to Wear Masks for his First 100 Days in Office; 200,000 Plus New COVID-19 Cases Today; Biden on Department of Justice Won't be Influenced by Politics; California Issues Stay-At- Home Order Linked to ICU Capacity; Biden Vows his Administration will Look Like the Country; White House Holds Holiday Parties as the Pandemic Surges Across the Country. Aired 11p-12a ET",/TRANSCRIPTS/2012/03/cnnt.02.html,14805,cnnt,cnn_tonight
CNN Tonight,Trump's Lawyer Calls A Governor To Be Locked Up; Sidney Powell Back To Team Trump; A.G. Bill Barr Could Be Fired By Trump; Republicans Still Don't Acknowledge Biden's Win; Health Care Worker's Whole Family Contracted The Virus. Aired 10-11p ET,/TRANSCRIPTS/2012/02/cnnt.01.html,14806,cnnt,cnn_tonight
CNN Tonight,"Trump Is Frustrated After Barr Says No Election Fraud, But Aides Don't Want Him Fired; Source Says To Expect Flurry Of Pardons Before President Trump Leaves Office; U.S. Sees Record Number Of COVID-19 Deaths And 100,000-Plus Hospitalizations; Biden Holds Virtual Roundtable With Workers And Small Business Owners Impacted By The Pandemic; Former Presidents Volunteer To Get The Coronavirus Vaccine Publicly To Prove Its Safety; Democratic Officials Face Criticism For Not Following Their Own Coronavirus Advice; Obama Warns Dems Against Snappy Slogan. Aired 11p-12a ET",/TRANSCRIPTS/2012/02/cnnt.02.html,14807,cnnt,cnn_tonight
CNN Tonight,GOP Members Want Trump To Move On; Bill Barr Admits No Massive Voter Fraud; Controversy Swirling Over Presidential Pardons; Trump Jokes About Running In 2024; Joe Scarborough Skeptical Of Trump's Second Term; Joe Biden To Rebuild The Economy; It's Not Going To Be An Easy Ride For Biden. Aired 10-11p ET,/TRANSCRIPTS/2012/01/cnnt.01.html,14808,cnnt,cnn_tonight
CNN Tonight,"DOJ Investigating Potential Presidential Pardon Bribery Scheme; Trump Associates, Including Giuliani, Seeking Pardons; A.G. Barr: No Evidence Of Widespread Fraud In Election; Interview With Gov. Michelle Lujan Grisham (D-NM); Who Will Get Coronavirus Vaccines First?; CDC To Decrease COVID-19 Quarantine Time; White House Holding Multiple Holiday Events During COVID-19 Surge; President Trump Sues To Reverse Biden Win In Wisconsin. Aired 11p-12a ET",/TRANSCRIPTS/2012/01/cnnt.02.html,14809,cnnt,cnn_tonight
CNN Tonight,GOP Not Acknowledging Biden's Win; Dr. Scott Atlas Resigns; Trump's Attorney Suggests Killing Chris Krebs?; Joe Biden Offers An Olive Branch To Republicans; COVID-19 Vaccine Coming Out To The Public; Moderna's Participant Felt OK With The COVID Vaccine Shot. Aired 10-11p ET,/TRANSCRIPTS/2011/30/cnnt.01.html,14810,cnnt,cnn_tonight
CNN Tonight,Dr. Scott Atlas Resigns From White House Coronavirus Task Force Post; Arizona And Wisconsin Certify Biden's Victory; Operation Warp Speed Official Says All Americans Who Want The Vaccine Will Have It By End Of June; Trump Raises More Than $150 Million Since Election; Moderna Applies For FDA Authorization For Its COVID-19 Vaccine; Biden Moves Quickly To Build A Diverse Administration. Aired 11p-12a ET,/TRANSCRIPTS/2011/30/cnnt.02.html,14811,cnnt,cnn_tonight
