show,title,href,id,show_abbrev,show_c
Connect the World,CNN Speaks to Joe Biden and Kamala Harris; Biden's Bottom Line on Iran and China; One Month Since Fighting Began in Ethiopia. Aired 10-11a ET,/TRANSCRIPTS/2012/04/ctw.01.html,52702,ctw,connect_the_world
Connect the World,U.S. State Leaders Try To Avoid Shutdowns In Case Counts Soar; Virus Spreads At Unprecedented Pace In U.S.; World Health Organization Envoy On COVID-19 Speaks To CNN; UK Fishermen Caught In Net Of EU Politics; Bahrain Approves Emergency Use For Pfizer/BioNTech Coronavirus Vaccine; Warner Brothers To Debut Films In Theaters & HBO Max On Same Day. Aired 11a-12p ET,/TRANSCRIPTS/2012/04/ctw.02.html,52703,ctw,connect_the_world
Connect the World,"Iran Passes Law to Ramp Up Nuclear Enrichment; U.S. Hits Worst Coronavirus Death Toll; U.S. Braces for Possible Retaliation from Iran, Scales Down Embassy; Colorado Family Restaurant on Brink of Shutting Down; Evolving Landscape Presents New Challenges to Biden. Aired 10-11a ET",/TRANSCRIPTS/2012/03/ctw.01.html,52704,ctw,connect_the_world
Connect the World,Understanding COVID-19 Vaccines & Potential Side Effects; Iran Passes Law To Ramp Up Nuclear Enrichment; Iran Posing New Challenge To Biden Administration; China Sentences Democracy Protesters To Prison; United Nations Calls For More Inclusive Post-COVID World; South Korea Holds College Entrance Exams Despite Rising Cases. Aired 11a-12p ET,/TRANSCRIPTS/2012/03/ctw.02.html,52705,ctw,connect_the_world
Connect the World,U.K. Is First Western Nation to Approve Emergency Use of Coronavirus Vaccine; China Preparing for Large-Scale Vaccine Distribution; Cold Shipping COVID-19 Vaccines; U.S. Justice Department Investigating Potential Presidential Pardon Bribery; Fauci Honored for Work on HIV/AIDS. Aired 10- 11a ET,/TRANSCRIPTS/2012/02/ctw.01.html,52706,ctw,connect_the_world
Connect the World,BioNTech CEO Speaks Exclusively To CNN; Frontline Healthcare Workers Open Up About Struggles; GA Election Official To Trump: Stop Inspiring Violence; Israel Moves Towards Fourth Election In Two Years; Top Adviser On UK's Vaccine Committee Speaks To CNN; U.K. Approves Both Pfizer-BioNTech Vaccine For Emergency Use. Aired 11a-12p ET,/TRANSCRIPTS/2012/02/ctw.02.html,52707,ctw,connect_the_world
Connect the World,Chinese Documents Show Early Mishandling of COVID-19; Inside a German Vaccination Center; Abu Dhabi Launches Collaborative Effort for Vaccine Distribution; World Bank Warns of Prolonged Lebanese Depression; Turkey Announces Stricter COVID-19 Measures; Biden's All-Out Push for Stimulus Bill; Janet Yellen to Be First Woman as U.S. Treasury Secretary; Possible Negligence in Maradona's Death; F1's Lewis Hamilton Contracts COVID-19. Aired 10-11a ET,/TRANSCRIPTS/2012/01/ctw.01.html,52708,ctw,connect_the_world
Connect the World,Filippo Grandi: Refugees Need Reassurance Before They Will Return Home; U.N. High Commissioner For Refugees On CNN; Awaiting U.S. Decisions On Vaccine Approval And Distribution; Internal Chinese Documents Showed More Coronavirus Cases Than Were Publicly Revealed; Soon: Biden To Formally Introduce Economic Team; Irish Family Shares Video Diary Of Life Under Lockdown. Aired 11a-12p ET,/TRANSCRIPTS/2012/01/ctw.02.html,52709,ctw,connect_the_world
Connect the World,Lavish State Funeral For Top Nuclear Scientist; Iran: Weapons Used In Attack Made In Israel; Moderna: COVID-19 Vaccine 94.1 Percent Effective; U.S. President-Elect Joe Biden Unveils Economic Team; Family: Saudi Family Activist Sent To Terrorism Court; Cuban Officials Report Increase In Smugglers Headed To U.S. Aired 11a-12p ET,/TRANSCRIPTS/2011/30/ctw.02.html,52710,ctw,connect_the_world
Connect the World,Moderna: COVID-19 Vaccine 94.1 Percent Effective; Iran: Weapons Used In Attack Made In Israel; Lavish State Funeral For Top Nuclear Scientist. Aired 10-11a ET,/TRANSCRIPTS/2011/30/ctw.01.html,52711,ctw,connect_the_world
