show,title,href,id,show_abbrev,show_c
Cuomo Prime Time,"Trump's Newly-Pardoned Former National Security Adviser Calls For Martial Law And Redo Of Election; CDC Director: Next Three Months Will Be The ""Most Difficult"" In Nation's Public Health History; Mary Trump On Her Uncle Post-Presidency. Aired 9-10p ET",/TRANSCRIPTS/2012/02/CPT.01.html,15824,CPT,cuomo_prime_time
Cuomo Prime Time,"CDC Panel: Health Care Workers & Nursing Home Residents Should Get COVID-19 Vaccine First; Biden To Struggling Americans: ""Help Is On The Way""; Justice Department Investigating Presidential Pardon Bribery Scheme. Aired 9-10p ET",/TRANSCRIPTS/2012/01/CPT.01.html,15825,CPT,cuomo_prime_time
Cuomo Prime Time,"Ousted Cybersecurity Head Insists Election Was Secure; Women To Play Key Roles In Biden White House With More Names In Mix; Dr. Scott Atlas Resigns From Trump WH, COVID-19 Task Force. Aired 9-10p ET",/TRANSCRIPTS/2011/30/CPT.01.html,15826,CPT,cuomo_prime_time
Cuomo Prime Time,"Thanksgiving Eve Marks Deadliest Day of Pandemic Since May; Trump Pushes Conspiracy Theories By Speakerphone in PA; Joe Biden Urges Unity in Thanksgiving Speech; Joe Biden: In America, We Have Full, Fair and Free Elections and Then Honor the Results; Trump Pardons Former National Security Advisor Michael Flynn. Aired 9-10p ET",/TRANSCRIPTS/2011/25/CPT.01.html,15827,CPT,cuomo_prime_time
Cuomo Prime Time,"Biden Says ""America Is Back, Ready To Lead The World"" As He Introduces Key Cabinet Picks; Rubio Mocks Joe Biden For ""Ivy League""- Educated Cabinet Picks; U.S. COVID-19 Hospitalizations At Highest Level Since Pandemic Began. Aired 9-10p ET",/TRANSCRIPTS/2011/24/CPT.01.html,15828,CPT,cuomo_prime_time
Cuomo Prime Time,"GSA Tells Joe Biden That Transition Can Formally Begin; Giuliani Admits He's ""Exaggerating A Bit"" On Fraud Claims; Millions Of Americans Traveling For Thanksgiving Despite CDC Warnings. Aired 9-10p ET",/TRANSCRIPTS/2011/23/CPT.01.html,15829,CPT,cuomo_prime_time
Cuomo Prime Time,"President Trump Falsely Claims Again ""I Won"" Election; Michigan State Lawmakers After Trump Meeting: Haven't Been Made Aware Of Any Info That Would Change Election Outcome; Dr. Birx: Symptomatic Testing And Contact Tracing Is Only ""Half The Equation"" To Stopping COVID-19 Spread. Aired 9-10p ET",/TRANSCRIPTS/2011/20/CPT.01.html,15830,CPT,cuomo_prime_time
Cuomo Prime Time,"Georgia Confirms Biden Victory, Finds No Widespread Fraud After Statewide Audit; Trump Campaign Lawyer Rudy Giuliani Baselessly Alleges ""Centralized"" Voter Fraud; Dr. Fauci: ""Each And Every Family Unit Should Do A Risk-Benefit Determination About The Holidays"" Amid COVID-19. Aired 9-10p ET",/TRANSCRIPTS/2011/19/CPT.01.html,15831,CPT,cuomo_prime_time
Cuomo Prime Time,"Biden: ""We Should Be Further Along"" In Transition Process; HHS Secretary Says His Agency Won't Work With Biden Team Until Trump's GSA Determines He Won Election; Biden Faces GOP Opposition And Fractured Democratic Party. Aired 9-10p ET",/TRANSCRIPTS/2011/18/CPT.01.html,15832,CPT,cuomo_prime_time
Cuomo Prime Time,"Trump Fires Top Cybersecurity Official For Debunking His Voter Fraud Claims; Wayne County, Michigan Votes To Certify Election Results After Republicans Earlier Blocked Certification; Rudy Giuliani Takes Over In Court, Pushes Conspiracy Theories. Aired 9-10p ET",/TRANSCRIPTS/2011/17/CPT.01.html,15833,CPT,cuomo_prime_time
Cuomo Prime Time,Biden: More People May Die If Trump Keeps Obstructing Transition; Biden: Trump's Non-Cooperation Will Set Back Incoming Admin's Ability To Rapidly Distribute A COVID-19 Vaccine; Trump Grows More Erratic As His Presidency Nears End. Aired 9-10p ET,/TRANSCRIPTS/2011/16/CPT.01.html,15834,CPT,cuomo_prime_time
Cuomo Prime Time,"Trump's DHS: ""No Evidence That Any Voting System Deleted Or Lost Votes""; Mary Trump Speaks Out About Her Uncle, President Trump; Georgia Launches Hand Recount Despite No Evidence Of Fraud. Aired 9- 10p ET",/TRANSCRIPTS/2011/12/CPT.01.html,15835,CPT,cuomo_prime_time
Cuomo Prime Time,"Biden Names Ron Klain As His White House Chief Of Staff; State Department Blocks Biden From Seeing World Leaders' Messages; U.S. COVID-19 Cases Top 140,000, Record High For Daily Count. Aired 9-10p ET",/TRANSCRIPTS/2011/11/CPT.01.html,15836,CPT,cuomo_prime_time
Cuomo Prime Time,"Biden: It's An ""Embarrassment"" Trump Won't Concede, But Transition Is ""Well Underway""; Transition Delay Threatens National Security And Public Safety; Study: COVID-19 Patients At Higher Risk Of Being Diagnosed With A Psychiatric Disorder. Aired 9-10p ET",/TRANSCRIPTS/2011/10/CPT.01.html,15837,CPT,cuomo_prime_time
Cuomo Prime Time,President-Elect Joe Biden Urges Mask-Wearing To Conquer COVID- 19; Trump Team Turns Up No Proof Of Voter Fraud In 2020 Election; Esper's Firing Raises Concerns For National Security Leaders. Aired 9- 10p ET,/TRANSCRIPTS/2011/09/CPT.01.html,15838,CPT,cuomo_prime_time
Cuomo Prime Time,"Twitter Flags President Trump's ""Violence"" Tweet On Election Eve; Biden Makes Final Push In Key Battleground Of Pennsylvania; Federal Judge Rejects GOP Attempt To Invalidate Nearly 127,000 Votes Cast In Houston Area. Aired 9-10p ET",/TRANSCRIPTS/2011/02/CPT.01.html,15839,CPT,cuomo_prime_time
