show,title,href,id,show_abbrev,show_c
Early Start,"More U.S. Coronavirus Deaths, Hospitalizations, and Cases Than Ever Before; First Joint Interview With President-Elect Biden And V.P.-Elect Harris; GOP Braces For Georgia Trump Rally Ahead Of January Runoffs. Aired 5:30-6a ET",/TRANSCRIPTS/2012/04/es.03.html,16422,es,early_start
Early Start,"More U.S. Deaths, Hospitalizations & Cases Than Ever Before; First Joint Interview with President-Elect Biden and VP-Elect Harris; Trump won't Say If He's Lost Confidence in A.G. Barr. Aired 5-5:30a ET",/TRANSCRIPTS/2012/04/es.02.html,16423,es,early_start
Early Start,"Deaths, Hospitalizations Hit New Highs As U.S. Waits for Vaccine; Biden Calls on Congress to Pass ""Robust"" Relief Package; Trump Frustrated Barr Did Not Back Bogus Election Fraud Claims; Steelers Beat Ravens in Rare Wednesday Afternoon Game. Aired 5-5:30a ET",/TRANSCRIPTS/2012/03/es.02.html,16424,es,early_start
Early Start,"Deaths And Hospitalizations Hit New Highs As U.S. Waits For Vaccine; Biden Calls On Congress To Pass ""Robust"" Relief Package; Pfizer Vaccine To Be Distributed Across United Kingdom Next Week. Aired 5:30-6a ET",/TRANSCRIPTS/2012/03/es.03.html,16425,es,early_start
Early Start,"U.K. Becomes 1st Western Country to Approve Coronavirus Vaccine; First Shipments of Pfizer Vaccine in U.S. to be Delivered December 15; CNN: Trump Associates, Including Giuliani, Asking for Pardons; Biden Introduces Economic Team, Says ""Help in on the Way""; NBA Coach Worried About Playing Outside the Bubble. Aired 5-5:30a ET",/TRANSCRIPTS/2012/02/es.02.html,16426,es,early_start
Early Start,Europe Becomes First Western Country To Approve Coronavirus Vaccine; First Shipments Of Pfizer Vaccine In U.S. To Be Delivered December 15; A.G. Barr: No Evidence Of Widespread Election Fraud. Aired 5:30-6a ET,/TRANSCRIPTS/2012/02/es.03.html,16427,es,early_start
Early Start,CDC Panel Meets Today to Decide Who Gets Vaccine First; Officials Warn Pandemic Will Worsen Before Vaccine is Ready; Trump's Controversial COVID Adviser Dr. Scott Atlas Resigns; Biden Focused on Building Diverse Cabinet and Staff; 50 Million Americans Could Face Food Insecurity by Year's End. Aired 5-5:30a ET,/TRANSCRIPTS/2012/01/es.02.html,16428,es,early_start
Early Start,CDC Panel Meets Today To Decide Who Gets Coronavirus Vaccine First; Enthusiasm Grows For Biden's Treasury Secretary Pick Janet Yellen; Germany Setting Up Mass Vaccination Centers. Aired 5:30-6a ET,/TRANSCRIPTS/2012/01/es.03.html,16429,es,early_start
Early Start,Coronavirus Hospitalizations Reach New Record High In U.S.; Biden To Receive First Daily Intelligence Briefings Today; Iran Vows To Retaliate Following Killing Of Top Nuclear Scientists. Aired 5:30- 6a ET,/TRANSCRIPTS/2011/30/es.03.html,16430,es,early_start
Early Start,Coronavirus Hospitalizations Reach New Record Highs in the U.S.; Biden Fractures His Foot with a Little Less Than 2 Months to Inauguration; Trump Vows to Continue Pushing Election Rigging Claims. Aired 5-5:30a ET,/TRANSCRIPTS/2011/30/es.02.html,16431,es,early_start
Early Start,"90,000+ Americans in Hospital, 17th Straight Day with New Record; Trump Speaks to Reporters for First Time Since Election Day; Bidens Thank Front-Line Workers for Their Sacrifice; National Retail Federation Predicts Strong Holiday Sales; Europe Shudders as U.S. Witnesses New Surge of Infections; Lamar Jackson Tests Positive for COVID-19. Aired 5-5:30a ET",/TRANSCRIPTS/2011/27/es.02.html,16432,es,early_start
Early Start,"90,000+ Americans Hospitalized, 17th Straight Day With New Record; Trump: ""Certainly I Will"" Leave The White House If Biden Is Certified; College Students Forced To Return Home When Campuses Close. Aired 5:30-6a ET",/TRANSCRIPTS/2011/27/es.03.html,16433,es,early_start
