show,title,href,id,show_abbrev,show_c
Erin Burnett OutFront,"Source: Trump Calls Georgia's GOP Gov. A ""Moron"" & ""Nutjob""; Some Republicans Fear He Will Hurt Them in Runoff Races; White House Exodus Begins Even Though Trump Continues to Baselessly Claim Victory; Sources: Presidential Pardon Bribery Investigation Involves Kushner Lawyer & GOP Lobbyist; White House Purges Pentagon Advisory Panel, Appoints Trump Loyalists Corey Lewandowski, David Bossie to Defense Business Board. Aired 7-8p ET",/TRANSCRIPTS/2012/04/ebo.01.html,17500,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Biden Says He will Ask Americans to Wear Masks for 100 Days as an American is Dying of Coronavirus Every 30 Seconds; Gov. Roy Cooper (D) North Carolina Discusses About the Record Number of Hospitalizations and New Cases in His State; New York Attorney General Says Investigation into Trump Organization Will Continue, Which Isn't Protected by a Trump Pardon; Giuliani Visits Georgia in Desperate Bid to Overturn Election Results; U.S. Census: 26 Million American Adults Not Getting Enough Food. Aired 7-8p ET",/TRANSCRIPTS/2012/03/ebo.01.html,17501,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Trump In Denial As G.A. Says Recount Results Show Same Outcome; Trump Ally Attacks Georgia's Republican Governor: Lock Him Up; One-On- One With Republican Who Called Out Trump In Emotional Plea; Ivanka Trump Deposed In Inauguration Lawsuit; President Weighing Pre-Emptive Pardons For His Children, Kushner; Source Close To White House Expects A ""Flurry"" Of Trump Pardons; U.S. Reports Record 100,000-Plus Coronavirus Hospitalizations. Aired 7-8p ET",/TRANSCRIPTS/2012/02/ebo.01.html,17502,ebo,erin_burnett_out_front
Erin Burnett OutFront,"In Major Blow to Trump, A.G. Barr Says There's No Evidence Of Fraud That Would Change Election Outcome; DOJ Investigating Potential Presidential Pardon Bribery Scheme; Source: Trump Associates Appealing To Trump For Pardons; U.S. Reports More Than 2,300 Coronavirus Deaths So Far Today; First Shipments Of Pfizer Vaccines To Be Delivered In Two Weeks; Biden Unveils Economic Team; Georgia's GOP Election Chief: Trump Inciting Potential Violence. Aired 7-8p ET",/TRANSCRIPTS/2012/01/ebo.01.html,17503,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Wisconsin Certifies Biden's Win After Recount That Trump Campaign Requested And Paid $3 Million For; McConnell Silent On Biden's Victory; Senators Thune, Blunt Say They're Waiting For Electoral College To Certify; Trump's Coronavirus Adviser Dr. Scott Atlas Has Resigned; More Than 267,000 Coronavirus Deaths In The U.S.; FDA Schedules Dec. 17 Meeting On Moderna Vaccine; Congress Stalls On Additional Relief As COVID Cases Surge. Aired 7-8p ET",/TRANSCRIPTS/2011/30/ebo.01.html,17504,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Appeals Court Rejects Trump Challenge in PA, Says ""Claims have No Merit"" and ""Voters, Not Lawyers, Choose the President""; Appeals Court Rejects Trump Challenge in PA: ""Charges Require Specific Allegations and then Proof. We have Neither""; U.S. Reports 190,000+ New Coronavirus Cases Today; Second Highest Day Since Start of Pandemic; Woman Says Her Father Died of COVID Just Days Before Thanksgiving; Trump Tells Supporters Not to Boycott Georgia Runoffs. Aired 7-8p ET",/TRANSCRIPTS/2011/27/ebo.01.html,17505,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Federal Appeals Court Rejects Trump Election Challenge in Pennsylvania; U.S. Tops 13 Million Coronavirus Cases; Hospitalizations In The Midwest Have Doubled In A Month; U.S. Tops 13 Million Coronavirus Cases; Iran Warns Of ""Severe Revenge"" After Assassination Of Scientist Considered A Mastermind Of Nuke Program; Iran Vows Revenge After Top Nuclear Scientist Assassinated; ""Dark Money"" Helped Prop Up Phantom Candidates In Florida. Aired 8-9p ET",/TRANSCRIPTS/2011/27/ebo.02.html,17506,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Biden: We're At War With Virus, Not With One Another; Trump Calls Into PA GOP Event To Rant About Overturning Election Results; U.S. Tops 2,000 COVID Deaths Today; Denver Mayor Issues Apology After Traveling For Thanksgiving; Trump Pardons Ex-National Security Adviser Flynn Who Pleaded Guilty To Lying To FBI; GOP Outspending Dems In Critical Senate Runoff. Aired 7-8p ET",/TRANSCRIPTS/2011/25/ebo.01.html,17507,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Biden: This Is Not A Third Obama Term Because U.S. Faces A Totally Different World; Biden Says Trump's ""America First"" Meant America Alone; Trump Brags About Stock Market In Tone-Deaf Public Event; Biden: The Hope Is The Trump Administration Will Be Able To Start Distributing The Vaccine Before I Take Office; Biden Doesn't Rule Out Ex-Rivals Sanders, Warren For Admin; Recount Underway In Georgia As Trump Attacks Officials Over Loss And Pushes Baseless Voter Fraud Claims. Aired 7-8p ET",/TRANSCRIPTS/2011/24/ebo.01.html,17508,ebo,erin_burnett_out_front
Erin Burnett OutFront,"GSA Tells Biden Transition Can Formally Begin, First Step Trump Admin has Taken to Acknowledge Defeat; GSA Tells Biden that Transition Can Formally Begin as Michigan, Multiple PA Counties Certify Election Results; GSA Tells Biden He Can Finally Begin Formal Transition as Biden Makes Picks for National Security Team & Treasury. Aired 7-8p ET",/TRANSCRIPTS/2011/23/ebo.01.html,17509,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Trump Tries to Reverse Election, Meets with MI Lawmakers; Sources: Talks Underway About Inviting PA Lawmakers to WH; After Meeting with Trump, MI Lawmakers Warn Certification should be a ""Process Free from Threats & Intimidation""; Donald Trump Jr. Tests Positive for Coronavirus; Georgia Governor Certifies State's Biden's Win. Aired 7-8p ET",/TRANSCRIPTS/2011/20/ebo.01.html,17510,ebo,erin_burnett_out_front
Erin Burnett OutFront,"As Trump Intensifies Effort to Subvert Election, Source Says President is Delaying Transition to Get Revenge on Dems; Source: Allies Urged Trump to let Transition Begin Even Without a Concession, Trump Tells them they're ""Absolutely Wrong""; Trump Invites Michigan GOP Leaders to WH as He Intensifies Efforts to Overturn Election; Awaiting Results of GA Statewide Hand Recount; Trump Urges State's GOP Governor to ""Get Tough"". Aired 7-8p ET",/TRANSCRIPTS/2011/19/ebo.01.html,17511,ebo,erin_burnett_out_front
Erin Burnett OutFront,U.S. Surpasses A Quarter Of A Million Coronavirus Deaths; HHS Told Not To Communicate With Biden Team; Wisconsin Elections Commission Meeting Now About Trump Recount Requests; Sen. Amy Klobuchar (D-MN) Is Interviewed About The Election And Trump's Firing Of Top Election Security Official. Aired 7-8p ET,/TRANSCRIPTS/2011/18/ebo.01.html,17512,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Trump In ""Bunker Mentality"" In WH, Cancels Thanksgiving Plans As Biden Forges Ahead; Sen. Chris Coons (D-DE) Discusses His Take On Sen. Graham's Position On Validity Of The Election For Trump; Trump Fires Homeland Security Official Who Contradicted The President's Voter Fraud Claims; Republicans Temporarily Block Certification Of Wayne County, Michigan Election Results. Aired 7-8p ET",/TRANSCRIPTS/2011/17/ebo.01.html,17513,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Biden: ""More People May Die"" If Trump Refuses To Start Cooperating With Transition Process; Moderna Says Its Coronavirus Vaccine Is 94.5 Percent Effective; GA's Republican Secretary Of State Says GOP, Including Sen. Graham, Pressuring Him To Toss Legal Ballots; Trump Sows Doubt On Georgia Recount As He Refuses To Concede; Biden: Small Businesses ""Teetering On The Edge"" In Pandemic, Texas Food Bank Sees Largest Distribution Ever This Weekend. Aired 7-8p ET",/TRANSCRIPTS/2011/16/ebo.01.html,17514,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Trump Speaks Publicly for First Time Since Defeat, Doesn't Acknowledge Loss, But Says ""I Guess Time Will Tell""; Biden Wins 306 Electoral Votes, Trump Still Refuses to Concede; Trump in 2016 on His 306 Electoral Votes: ""Massive Landslide""; U.S. Reports Record 160,000+ New Coronavirus Cases; Rep. Jim Himes (D-CT) is Interviewed About the Pro-Trump Protest and CIA Chief Shut Out of White House Intel Meeting. Aired 7-8p ET",/TRANSCRIPTS/2011/13/ebo.01.html,17515,ebo,erin_burnett_out_front
Erin Burnett OutFront,"DHS Says 2020 Election was ""Most Secure in American History"" as GOP Cracks Grow; Trump Still Refuses to Concede; DHS on 2020: ""No Evidence that Any Voting System Deleted or Lost Votes, Changed Votes, or was in Any Way Compromised""; Source: CIA Director on ""This Ice"" as Trump Purges Govt Officials; Sen. Ron Wyden (D-OR) Discusses About His Take on President Trump's Firing of Top Officials. Aired 7-8p ET",/TRANSCRIPTS/2011/12/ebo.01.html,17516,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Biden Poised to Name WH Chief of Staff as Early as Tomorrow as Trump Meets With Advisers, Shows No Signs of Conceding; Sen. Bob Casey (D-PA) Discusses About President Trump's Continuous Claim of Voter Fraud; Biden Widens Lead in PA, Maintains Sizable Margins in GA & AZ; Republican Senator on Transition: If Biden Doesn't Get Intel Briefing by Week's End, ""I Will Step In"". Aired 7-8p ET",/TRANSCRIPTS/2011/11/ebo.01.html,17517,ebo,erin_burnett_out_front
Erin Burnett OutFront,"Pompeo Ignores Biden Win: ""Smooth Transition"" To Second Trump Term; Sen. Sen. Amy Klobuchar (D-MN) Is Interviewed About The Election; House Committee: Pennsylvania Postal Worker Recants Claim Of Voter Fraud Cited By Trump Campaign And Top Republicans; Biden's Lead Widens In Pennsylvania And Georgia, Race Narrows In Arizona. Aired 7- 8p ET",/TRANSCRIPTS/2011/10/ebo.01.html,17518,ebo,erin_burnett_out_front
Erin Burnett OutFront,Sources: Biden Allies Realizing They Will Have To Fight More As Trump Admin Blocks Transition; Interview With Gov. Michelle Lujan Grisham (D-NM); Sources Say Trump & His Allies Frustrated With CIA Chief Gina Haspel; Interview With Sen. Tammy Duckworth (D-IL); Attorney General Barr Authorizes Prosecutors To Pursue Allegations Of Voter Fraud Despite No Evidence; Republican Senators Call For Georgia's Republican Secretary Of State To Resign As All Eyes Are On Two Senate Runoffs; Pfizer: Vaccine May Be More Than 90 Percent Effective. Aired 7-8p ET,/TRANSCRIPTS/2011/09/ebo.01.html,17519,ebo,erin_burnett_out_front
