show,title,href,id,show_abbrev,show_c
Fareed Zakaria GPS,"Biden Wins, Trump Refuses to Concede; The Future of the Republican Party. Aired 10-11a ET",/TRANSCRIPTS/2011/29/fzgps.01.html,54524,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,"Interview With Bill Gates About Coronavirus, Vaccine And Politics; White House's Foreign Policy Mess Around The World. Aired 10-11a ET",/TRANSCRIPTS/2011/22/fzgps.01.html,54525,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,"Interview With Retired Lieutenant General H.R. McMaster; Interview With John Bolton, Former National Security Adviser; Trump's Legal Challenges To Election Have Been Encountering Major Problems, What Is President's Refusal To Accept Truth Doing To Already Deeply Divided America? Aired 10-11a ET",/TRANSCRIPTS/2011/15/fzgps.01.html,54526,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,How The World Is Reacting To Joe Biden's Election As 46th President Of The United States; A Divided Nation. Aired 10-11a ET,/TRANSCRIPTS/2011/08/fzgps.01.html,54527,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,Biden Holds Strong Lead Over Trump In The Final Stretch; The Future Of American Politics; The Road To 270 Votes. Aired 10-11a ET,/TRANSCRIPTS/2010/25/fzgps.01.html,54528,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,Interview with Tony Blinken about Joe Biden's Foreign Policy; Interview with KT McFarland about Donald Trump's Foreign Policy. Aired 10-11a ET,/TRANSCRIPTS/2010/18/fzgps.04.html,54529,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,Interview With Former Vice President Al Gore; Coronavirus Pandemic; More Than Half Of America's States Reporting Increases In Cases. Aired 10-11a ET,/TRANSCRIPTS/2010/11/fzgps.01.html,54530,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,President Trump Hospitalized With COVID-19; All The Presidents' Ailments; How World Leaders Navigate COVID-19 In Their Own Lives. Aired 10-11a ET,/TRANSCRIPTS/2010/04/fzgps.01.html,54531,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,Trump Lays Groundwork To Challenge Election Results; Trump Nominates Amy Coney Barrett To The Supreme Court; Interview With Iran's Foreign Minister Javad Zarif. Aired 10-11a ET,/TRANSCRIPTS/2009/27/fzgps.01.html,54532,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,Interview With Bob Woodward About Ruth Bader Ginsburg And His Book About Trump; UAE And Bahrain Sign Peace Deals With Israel; The Coming Climate Reckoning In America; Lustgarten: The Financial Sector Sees There Are Real Costs To Climate Change; Lustgarten: Half Of Americans Might Need To Relocate Due To Climate Change; Highlights From 2019 U.N. Biodiversity Report. Aired 10-11a ET,/TRANSCRIPTS/2009/20/fzgps.01.html,54533,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,"The State Of The Pandemic; How The West And East Handled COVID- 19; The Future Of The Middle East; Chen: Contact Tracing & Selective Quarantines Are Best Method To Contain Spread; Rubenstein: With A Parent In The Forbes 400, You May Lack Drive; Rubenstein: Luck Is Everything, But You Make Your Own Luck; Leadership In The Age Of COVID; The Street To Success. Aired 10-11a ET",/TRANSCRIPTS/2009/13/fzgps.01.html,54534,fzgps,fareed_zakaria_gps
Fareed Zakaria GPS,"How They See Us, a Global View of Trump's America. Aired 10-11a ET",/TRANSCRIPTS/2008/30/fzgps.01.html,54535,fzgps,fareed_zakaria_gps
