show,title,href,id,show_abbrev,show_c
First Move with Julia Chatterley,"The U.S. Jobs Recovery Stalls, the Need for Financial Aid Accelerates; Joe Biden Promotes Mask Wearing during his First 100 Days as President; Warner Brothers Unleashes a Massive Hollywood Shakeup. Aired 9- 10a ET",/TRANSCRIPTS/2012/04/fmjc.01.html,55181,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Congress Debates More Aid as Thousands More Americans Request First Time Help; U.K. Prepares for Vaccine Delivery as Russia Boost Production; U.S. Prepares Laws that could Eject Chinese Firms from the U.S. Stock Markets. Aired 9-10a ET,/TRANSCRIPTS/2012/03/fmjc.01.html,55182,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,The U.K. Becomes First Western Nation To Clear A COVID Vaccine; BioNTech's Breakthrough; An Exclusive Look At How China Intends To Ship their Vaccine Around The World. Aired 9-10a ET,/TRANSCRIPTS/2012/02/fmjc.01.html,55183,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Jerome Powell Says Outlook For U.S. Remains Extraordinarily Uncertain; China's COVID Response, An Exclusive Report On Leaked Documents Revealing Early Mishandling Of COVID-19; Pfizer Files For Vaccine Approval In Europe. Aired 9-10a ET",/TRANSCRIPTS/2012/01/fmjc.01.html,55184,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Moderna, The Coronavirus Vaccine Maker Applies For Emergency Use Authorization Today; Warning Of Higher COVID Spikes As The U.S. Tops 100,000 Cases For 27 Days In A Row; S&P Global Buys A Rival For $44 Billion, The Biggest Deal Of The Year So Far. Aired 9-10a ET",/TRANSCRIPTS/2011/30/fmjc.01.html,55185,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"The U.S., Asia and Europe All Set Grim New Coronavirus Milestones; President Trump Admits he is Heading for the Exit, but Still Refuses to Formally Concede; Black Friday Without the Crowds, Retailers Urge Shoppers to Stay at Home. Aired 9-10a ET",/TRANSCRIPTS/2011/27/fmjc.01.html,55186,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Americans are Giving Thanks as the Pandemic Rages in the United States; COVID Cases are Rising to their Highest Levels Since March in South Korea; Disney has Announced more Coronavirus Layoffs. Aired 9-10a ET,/TRANSCRIPTS/2011/26/fmjc.01.html,55187,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,U.S. Weekly Jobless Claims Rise For Second Week In A Row; Sources Say Trump To Attend Republican Voter Fraud Event; E.U. Commission Chief Warns Of Risk Of Third Coronavirus Wave. Aired 9-10a ET,/TRANSCRIPTS/2011/25/fmjc.01.html,55188,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,President-Elect Biden Formally Getting To Work; Janet Yellen Could Be Among Biden's Cabinet Picks; Qantas Might Require COVID-19 Vaccine For International Flights. Aired 9-10a ET,/TRANSCRIPTS/2011/24/fmjc.01.html,55189,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,AstraZeneca Releases Promising Data On COVID-19 Shot; Millions Travel For Thanksgiving Despite COVID-19 Surge; Quarantine Free Travel Between Hong Kong And Singapore Suffers A Delay. Aired 9-10a ET,/TRANSCRIPTS/2011/23/fmjc.01.html,55190,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Global Stocks Mixed, Vaccine News Lending Support; The U.S. Treasury is Cutting Funding to the Fed Emergency Program; Trump Campaign Drops Federal Lawsuit in Michigan. Aired 9-10a ET",/TRANSCRIPTS/2011/20/fmjc.01.html,55191,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,U.S. Weekly Jobless Claims Rise for First Time in a Month; Biden Team says Transition Delay Could Hamper COVID-19 Response; Alan Greenspan gives a warning. Aired 9-10a ET,/TRANSCRIPTS/2011/19/fmjc.01.html,55192,fmjc,first_move_with_julia_chatterley
