show,title,href,id,show_abbrev,show_c
Hala Gorani Tonight,Coronavirus Epicenter Moves to Europe; Interview with Spanish Foreign Minister Arancha Gonzalez Laya; Justin Trudeau Under Quarantine After Wife Tests Positive; Chinese Medical Team Sent To Help In Hard-Hit Italy; Satellite Images Show Iranian Mass Graves; The Global Impact Of The Virus; U.S. Coalition Strikes Iran-Backed Militia Facilities In Iraq; Russian Election-Meddling Operation Found In Ghana. Aired 1-2p ET,/TRANSCRIPTS/2003/13/wrn.01.html,56577,wrn,hala_gorani_tonight
Hala Gorani Tonight,Biden Addresses Coronavirus Crisis After Trump Speech; Trump Causes Confusion With European Travel Ban; Sports Team Grapple With Impact Of Outbreak. Aired 1-2p ET,/TRANSCRIPTS/2003/12/wrn.01.html,56578,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Live Coverage Of Bernie Sanders' Press Conference; Number of Coronavirus Cases in Italy Surpasses 12,000; United States Moves to Boost Economy; Critics: Late Start In U.S. Testing Has Hampered Response; Virus Concerns Lead To School Closings, Changes; The Social Impact Of Coronavirus In A Complex World; Turkey Threatens Retaliation If Russia Breaks Ceasefire; Join The Fight Against Modern-Day Slavery. Aired 1-2p ET",/TRANSCRIPTS/2003/11/wrn.01.html,56579,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Events, Concerts, Filming Cut Back Due To Virus; More Than 113,800 Global Cases, 4,200 Deaths; Six U.S. States Voting On Super Tuesday Two; Kenyan Women Fights For Girls' Education. Aired 1-2p ET",/TRANSCRIPTS/2003/10/wrn.01.html,56580,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Nearly 16 Million People On Lockdown Across Northern Italy; U.S. Markets Plunge Amid Oil Prices Drop, Coronavirus Fears; Refugees Forced Back From Greece, Left In Limbo; Virus Fears Drive Panic Purchase Frenzy; Prince Harry, Meghan Markle's Last Day As Working Royals. Aired 1-2p ET",/TRANSCRIPTS/2003/09/wrn.01.html,56581,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Friday Prayers Canceled and Governments Increase Funding to Fight Coronavirus; Interview with USAID Former Director of Emerging Threats; Ship Docked Near San Francisco Awaiting Coronavirus Test Results; Spread of Virus Leads to Medical Supply Crisis; E.U. Health Ministers Emergency Meeting on Coronavirus; Gunmen Kill 32, Wound 58 in Attack During Kabul Ceremony; South Korea has More Than 6,500 Cases and 40 Plus Deaths. Aired 2-3p ET",/TRANSCRIPTS/2003/06/wrn.01.html,56582,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Coronavirus Response Increasingly Impacting World Travel, Commerce; Elizabeth Warren Ends Campaign Without Endorsement; New Cruise Ship near San Francisco Identifies Coronavirus Case; Iran Launches Mobilization Plan as Infections Soar; Ceasefire Due to Take Effect in Syria's Idlib Within Hours; Violence Erupts at Turkish-Greek Border; Experts: Vaccine Will Take At Least A Year to Make. Aired 2-3p ET",/TRANSCRIPTS/2003/05/wrn.01.html,56583,wrn,hala_gorani_tonight
Hala Gorani Tonight,Joe Biden Builds Momentum Following Super Tuesday; Italy Second In Coronavirus Deaths With 107; Live Coverage Of Bernie Sanders Statement; WHO: COVID-19 Appears To Be Deadlier Than The Flu; Global Travel And Tourism Hit Hard By Virus Fears; Migrant Crisis Deepens; Japan: 2020 Olympics Could Be Delayed Until Later This Year. Aired 2-3p ET,/TRANSCRIPTS/2003/04/wrn.01.html,56584,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Italian Coronavirus Cases Climbed More Slowly In Past 24 Hours; South Korea Instituting Drive-Through Coronavirus Testing; Benjamin Netanyahu May Narrowly Win Third Israel Election; U.S. Surgeon General To Public: Don't Panic; Amy Klobuchar To End Campaign, Endorse Joe Biden; Thousands Of Refugees Stranded At Turkish-Greek Border; Ghani Rejects Prisoner Release In U.S.-Taliban Agreement. Aired 2-3p ET",/TRANSCRIPTS/2003/02/wrn.01.html,56585,wrn,hala_gorani_tonight
Hala Gorani Tonight,"Japan, Saudi Arabia and Switzerland Cancelling Some Public Gatherings; Characteristics of Coronavirus Make Wide Spread Likely; First Sub-Saharan African Coronavirus Diagnosis; WHO Urges Countries To Aggressively Contain Virus Threat; Iran Suspends Parliament Until Further Notice; U.S. Faces First Possible ""Community Spread"" Case; Escalating Crisis In Syria. Aired 2-3p ET",/TRANSCRIPTS/2002/28/wrn.01.html,56586,wrn,hala_gorani_tonight
