show,title,href,id,show_abbrev,show_c
Inside Politics,"A Week Of Contrasts Between Incoming And Outgoing Presidents; Health Officials Fear Thanksgiving Will Trigger Surge In Cases; Biden's First Cabinet Picks Include Longtime Aides, Obama Vets; Economy Recovering Much Faster For Those At The Top; Frontline Doctors On The Pandemic Surge. Aired 8-9a ET",/TRANSCRIPTS/2011/29/ip.01.html,46499,ip,inside_politics
Inside Politics,Trump Ratchets Up Efforts To Overturn Election; U.S. Surpasses 12 Million COVID Cases As Thanksgiving Holiday Nears; Key Pandemic Relief Programs To Expire At The End Of The Year; Interview With Rep. Hakeem Jeffries (D-NY); Allies Say Trump Knows He Lost But Still Won't Concede; Interview With Rep. Fred Upton (R-MI); President-Elect Biden Prepares Takeover. Aired 8-9a ET,/TRANSCRIPTS/2011/22/ip.01.html,46500,ip,inside_politics
Inside Politics,"Biden Moves Forward With Transition As Trump Refuses To Concede; Trump Tweet: Biden ""Won Because The Election Was Rigged""; Total U.S. COVID-19 Cases Nears 11 Million With 245,000 Deaths; Top U.S. Allies Congratulate Biden; Dems And GOP Regroup For Next Round. Aired 8-9a ET",/TRANSCRIPTS/2011/15/ip.01.html,46501,ip,inside_politics
Inside Politics,"Biden Wins Election, Trump Refuses To Concede; Interview With Rep. Ilhan Omar (D-MN); Trump's Grip On The Republican Party; Record Daily COVID-19 Infections In U.S. Aired 8-9a ET",/TRANSCRIPTS/2011/08/ip.01.html,46502,ip,inside_politics
Inside Politics,"The Final Sprint To Election Day; Polls Show Large Gender Gap, Majority Of Women Back Biden; Biden: Trump Wants To Take Away Your Health Care; Lt. Gov. Garlin Gilchrist (D-MI) & Lt. Gov. John Fetterman (D-PA) Discuss Their Thoughts On Voter Turnout In Their States Between Trump & Biden; Most Battleground States Saw Record Case Counts Last Week. Aired 8-9a ET",/TRANSCRIPTS/2011/01/ip.01.html,46503,ip,inside_politics
Inside Politics,"With Nine Days Left, Three Pence Aides Test Positive For COVID- 19; Trump, Biden Campaign In Key States Over The Weekend; COVID-19 Cases Soaring In U.S. With No End In Sight; Trump, Biden Begin Making Their Final Pitch To Voters; COVID-19 Cases Rising Again In The Northeast; Interview With Filmmaker Ken Burns. Aired 8-9a ET",/TRANSCRIPTS/2010/25/ip.01.html,46504,ip,inside_politics
Inside Politics,"Trump Holding Multiple Rallies A Day In Battleground States; COVID-19 Infectious, Hospitalizations Surge Across U.S.; Biden Holds Advantage In Most Battleground State Polls; Global COVID-19 Leadership Test: Surges In Europe And U.S.; Turnout In this Year's Election Expected To Exceed 2016. Aired 8-9a ET",/TRANSCRIPTS/2010/18/ip.01.html,46505,ip,inside_politics
Inside Politics,Dr. Conley: Trump No Longer A Transmission Risk To Others; Trump Poised To Hold In-Person Rally In Florida Monday; Thirty States See COVID-19 Cases Trending Higher; Biden Crosses 270 For First Time In CNN's Electoral College Outlook; Bipartisan Opposition To Trump's Stimulus Offer; Early Vote Shattering Records. Aired 8-9a ET,/TRANSCRIPTS/2010/11/ip.01.html,46506,ip,inside_politics
Inside Politics,President Trump Spending Third Day In Hospital Due To Coronavirus; GOP Leaders Vow To Press Ahead With SCOTUS Confirmation; White House Sows Confusion About Trump's Condition; Wisconsin's COVID Crisis; Interview With Lt. Gov. Mandela Barnes (D-WI); Biden Resumes Campaigning In Key States After Negative Test. Aired 8-9a ET,/TRANSCRIPTS/2010/04/ip.01.html,46507,ip,inside_politics
Inside Politics,"Trump Nominates Amy Coney Barrett, Kicks Off Confirmation Fight; U.S. Reported 55,000-Plus New Coronavirus Cases Friday, Highest In Six Weeks; Trump Won't Commit To Peaceful Transition Of Power If He Loses; Fears Of Chaos On Election Night; Two Days Until First Presidential Debate. Aired 8-9a ET",/TRANSCRIPTS/2009/27/ip.01.html,46508,ip,inside_politics
Inside Politics,Justice Ruth Bader Ginsburg Dies Of Cancer At 87; McConnell Vows Vote On Trump's Pick; Supreme Court Vacancy Transforms Final Weeks Of Campaign; Interview With Sen. Dick Durbin (D-IL); Ominous Trends In Latest COVID Case Data; Legacy Of Justice Ruth Bader Ginsburg. Aired 8-9a ET,/TRANSCRIPTS/2009/20/ip.01.html,46509,ip,inside_politics
Inside Politics,"Trump On The Pandemic: ""We Are Rounding The Turn""; Trump Repeatedly Downplayed Coronavirus Threat Publicly; As Millions Struggle, Stimulus Deal In Congress Seems Unlikely; Interview With Rep. Chrissy Houlahan (D-PA); New Polling Shows Biden Leading In Wisconsin, Minnesota; New Coronavirus Hot Spots: College Towns. Aired 8-9a ET",/TRANSCRIPTS/2009/13/ip.01.html,46510,ip,inside_politics
Inside Politics,"Fauci Warns Seven Midwest States To Be On Alert On Labor Day Weekend; Trump Denies Calling Fallen U.S. Troops ""Losers"" And ""Suckers;"" Labor Day Marks Eight Weeks Until Election Day; Some Voting Has Already Begun; One-On-One With Investigator On Vaccine Trial. Aired 8-9a ET",/TRANSCRIPTS/2009/06/ip.01.html,46511,ip,inside_politics
Inside Politics,"One Dead After Shooting During Protests In Portland; Trump Attacks ""Democrat-Run Cities"" In Convention Speech; Health Groups Criticize CDC For New Testing Guidelines; Interview With Lt. Governor Mandela Barnes (D-WI); Back with a Message; College Towns Close Bars, Restaurants amid Coronavirus. Aired 8-9a ET",/TRANSCRIPTS/2008/30/ip.01.html,46512,ip,inside_politics
Inside Politics,"GOP Convention Begins Tomorrow, After Dems Make Case For Biden; WaPo: President Trump's Sister Says He Is ""Cruel,"" Has ""No Principles"" And ""You Can't Trust Him""; White House Announces Trump News Conference To Discuss ""A Major Therapeutic Breakthrough;"" Ten-Week Sprint To Election Day; Interview With Michigan Secretary Of State Jocelyn Benson; Can Colleges Open Safely this Fall? Aired 8-9a ET",/TRANSCRIPTS/2008/23/ip.01.html,46513,ip,inside_politics
Inside Politics,Bernie Sanders Makes Case For Biden As A Progressive; Illinois School Redesigns For COVID-19 With Sneeze Guards & Digital Thermometers; Senate Intel Releases Final Report Russia's 2016 Election Meddling. Aired 12:30-1p ET,/TRANSCRIPTS/2008/18/ip.02.html,46514,ip,inside_politics
Inside Politics,"Senate Intel Releases Final Report On Russia's 2016 Election Meddling; Michelle Obama Delivers Scathing Attack On Trump; Joe Biden's Former Primary Rivals Make The Case For His Candidacy; Admiral Brett Giroir: We've Got Lots Of Testing Capacity Right Now; John Kasich: I Don't Believe Biden Will ""Turn Sharp Left"". Aired 12-12:30p ET",/TRANSCRIPTS/2008/18/ip.01.html,46515,ip,inside_politics
Inside Politics,Secretary John Merrill (R-AL) Is Interviewed About Mail-In Voting Amid The Coronavirus Pandemic; FDA Grants Emergency Authorization For COVID-19 Saliva Test; Harris Addresses Skeptical Voters In The Black Community. Aired 12:30-1p ET,/TRANSCRIPTS/2008/17/ip.02.html,46516,ip,inside_politics
Inside Politics,"Joe Biden: Trump ""Promoting Hatred, Prejudice, Racism""; Michelle Obama A Headliner On Tonight's Convention; Four Republicans Speaking At Democratic National Convention; U.S. Death Toll Surpasses 170,000 Ahead Of Flu Season; Democrat Leaders Say They Expect The House To Return Saturday. Aired 12-12:30p ET",/TRANSCRIPTS/2008/17/ip.01.html,46517,ip,inside_politics
Inside Politics,"U.S. Has Averaged 1,000-Plus Deaths For 20 Straight Days; Virtual Democratic Convention Kicks Off Tomorrow; Poll: 45 Percent Of Voters Plan To Cast Mail-In Ballot This Year; How Doctors Decide Whether To Send Their Kids To School; Harris Former Job As Prosecutor Again Comes Under Scrutiny. Aired 8-9a ET",/TRANSCRIPTS/2008/16/ip.01.html,46518,ip,inside_politics
Inside Politics,Trump Signs Executive Orders After Stimulus Talks Fail; Teachers Worry About Safety As Schools Reopen; Biden Faces Backlash For Remark About Black And Latino Communities; U.S. Approaching Five Million Coronavirus Cases; Cori Bush Defeats A Missouri Political Dynasty. Aired 8-9a ET,/TRANSCRIPTS/2008/09/ip.01.html,46519,ip,inside_politics
Inside Politics,"Trump Floats Delaying The Election, Attacks Mail-In Voting; New Cases Declining In Hard-Hit Florida And Texas; Biden Narrows VP List As Final Decision Looms; Coronavirus Crisis Spotlights The Inequalities In American Education; Doubts Hang Over MLB's Shortened 60-Game Season. Aired 8-9a ET",/TRANSCRIPTS/2008/02/ip.01.html,46520,ip,inside_politics
Inside Politics,Battleground Polls Give Biden An Electoral College Advantage; U.S. Experiences Summer Surge In COVID-19 Cases; One Hundred Days Until Election Day; Layoffs Begin Climbing As New Jobless Benefits Set To Run Out. Aired 8-9a ET,/TRANSCRIPTS/2007/26/ip.01.html,46521,ip,inside_politics
Inside Politics,Did Not air.,/TRANSCRIPTS/2007/22/ip.01.html,46522,ip,inside_politics
Inside Politics,"U.S. Sets Record Of 77,255 New Cases In One Day On Thursday; Trump Opposes Mask Mandate, Claims ""They Cause Problems, Too""; Fifteen Weeks Left Until Election Day; Civil Rights Icon Rep. John Lewis Passes Away At Age 80; MLB Set To Start Shortened 60-Day Game Baseball Season This Week. Aired 8-9a ET",/TRANSCRIPTS/2007/19/ip.01.html,46523,ip,inside_politics
Inside Politics,"As Pandemic Worsens, Trump Says ""We've Done A Great Job""; U.S. Sees Record Number Of New Coronavirus Cases; Interview With Michigan Lieutenant Governor Garlin Gilchrist (D); Biden's Economic Playbook; Supreme Court Wraps Up A Term Like No Other. Aired 8-9a ET",/TRANSCRIPTS/2007/12/ip.01.html,46524,ip,inside_politics
Inside Politics,"U.S. Setting Records As Coronavirus Cases Soar; Trump Appeals To His Base In Speech At Mount Rushmore; Trump Tries To Shift Conversation From Coronavirus To Economy; Interview With Sen. Jack Reed (D-RI); Trump Doubles Down On Racial Division, Culture War; Interview With Mondaire Jones (D), New York Congressional Candidate. Aired 8-9a ET",/TRANSCRIPTS/2007/05/ip.01.html,46525,ip,inside_politics
Inside Politics,"U.S. Death Toll Surpasses 125,000 As New Coronavirus Cases Surge; Pence Insists ""We Flattened The Curve"" Even As It Gets Steeper; Biden Widens Lead Over Trump In National Polls; Interview With Sen. Lamar Alexander (R-TN). Aired 8-9a ET",/TRANSCRIPTS/2006/28/ip.01.html,46526,ip,inside_politics
Inside Politics,"Trump Fires Top Federal Prosecutor In New York; Trump Says He Wants To ""Slow The Testing Down"" So There Are Fewer Reported Cases, White House Says He Was Joking; Trump Rally Returns For First Time Since March; America's Racial Reckoning; Interview With Wisconsin Lt. Gov. Mandela Barnes (D); Tulsa's Weekend At The Center Of The 2020 Race. Aired 8-9a ET",/TRANSCRIPTS/2006/21/ip.01.html,46527,ip,inside_politics
Inside Politics,New Video Of Arrest And Shooting Of Rayshard Brooks; Deadly Police Shooting Sparks Protests In Atlanta; Trump To Resume Campaign Rallies Despite Coronavirus Risk; Trump Reschedules Tulsa Rally After Widespread Criticism; Is There A Bipartisan Path On Policing Reform Bills? Aired 8-9a ET,/TRANSCRIPTS/2006/14/ip.01.html,46528,ip,inside_politics
Inside Politics,"Twelve Days Of Protests Across America After Floyd Killing; Trump Stokes Disunity As Protests Grip The Nation; Biden Holds Big Lead In Polls; White House Trumpets Jobs Report; A Personal Conversation With Saint Paul, Minnesota Mayor Melvin Carter III; Interview With Rep. Hakeem Jeffries (D-NY). Aired 8-9a ET",/TRANSCRIPTS/2006/07/ip.01.html,46529,ip,inside_politics
Inside Politics,"Protests Erupt Across U.S. After Death Of George Floyd; Dual Crises Present Test Of Leadership For Trump And Biden; U.S. COVID-19 Death Toll Crosses 103,000; A First For Space: Private Company Launches Astronauts From U.S. Soil. Aired 8-9a ET",/TRANSCRIPTS/2005/31/ip.01.html,46530,ip,inside_politics
Inside Politics,"Trump Claims He Can ""Override"" Governors To Open Churches; All 50 States Will Be Partially Reopened This Holiday Weekend; Trump Takes On Michigan Over Voting, Masks, Reopening; Interview With Lt. Gov. Garlin Gilchrist (D-MI); Trump Views Coronavirus Response Through 2020 Lens; The Global Race For A Vaccine. Aired 8-9a ET",/TRANSCRIPTS/2005/24/ip.01.html,46531,ip,inside_politics
Inside Politics,"Trump Targets Obama With Unfounded Claims As Deaths Near 90,000; States Accelerate Reopenings As U.S. Case Count Nears 1.5 Million; Trump Returns To Tried And True Tactic, Attack Obama; Tough Choices For Workers In Reopened States; CDC Warns About Illness In Children Possibly Linked To COVID-19. Aired 8-9a ET",/TRANSCRIPTS/2005/17/ip.01.html,46532,ip,inside_politics
Inside Politics,"Three Top Members Of Virus Task Force In Quarantine; Trump Tries To Shift Focus From Coronavirus To Reopening; Unemployment Jumps To 14.7 Percent Amid Coronavirus Shutdown; Interview With Rep. Debbie Dingell (D) Michigan; Despite Health Warnings, 47 States Are Partially Reopening; Global Response To The Coronavirus Pandemic. Aired 8-9a ET",/TRANSCRIPTS/2005/10/ip.01.html,46533,ip,inside_politics
Inside Politics,"A 50-State Experiment: How To Start Reopening; U.S. Surpasses 1.1 Million Confirmed Cases, With 66,000 Deaths; Interview With Rep. Joe Kennedy III (D) Massachusetts; Inside Trump's White House; Biden's Strong Denial. Aired 8-9a ET",/TRANSCRIPTS/2005/03/ip.01.html,46534,ip,inside_politics
Inside Politics,"Governors Divided On When To Reopen; New Study Shows Coronavirus Went Undetected In U.S.; White House Officials Discussing Plans To Replace HHS Secretary Azar; Republicans Divided Over Soaring Cost Of Coronavirus Aid; Louisiana Has Fourth Highest Coronavirus Death Rate In U.S.; Interview With Sen. Bill Cassidy (R-LA); Trump Repeatedly Predicted Virus Would Be Gone By April; Inside Wuhan, China After Lockdown. Aired 8-9a ET",/TRANSCRIPTS/2004/26/ip.01.html,46535,ip,inside_politics
Inside Politics,"Trump Lashes Out At Governors For Complaining About Supplies; Harvard Study: U.S. Must Triple Testing To Safely Reopen; Governors Weigh Push To Reopen Against Public Health Concerns Interview With Gov. Gina Raimondo (D-RI); Trump Calls For Unity As He Attacks Democratic Governors; Democrats Close Ranks Behind Biden, Shift Focus To November. Aired 8-9a ET",/TRANSCRIPTS/2004/19/ip.01.html,46536,ip,inside_politics
Inside Politics,"U.S. Coronavirus Cases Eclipse Half A Million, With 20,000-Plus Deaths; Trump Predicts A Quick Economic Rebound; African-Americans Dying Of COVID-19 At Higher Rate; Interview With D.C. Mayor Muriel Bowser; Trump Resisted Push For Aggressive Early Action On Virus; Biden Now Presumptive Nominee After Sanders Bows Out. Aired 8-9a ET",/TRANSCRIPTS/2004/12/ip.01.html,46537,ip,inside_politics
Inside Politics,"U.S. Coronavirus Cases Top 312,000, Death Toll Passes 8,500; White House Offers Grim Outlook On Coming Days; Economists Say Unemployment Rate Likely Already Above 10 percent; Trump's Changing Tone On Coronavirus; The Role Of Faith In A Pandemic. Aired 8-9a ET",/TRANSCRIPTS/2004/05/ip.01.html,46538,ip,inside_politics
Inside Politics,"Hundreds of Millions on Lockdown As Coronavirus Keeps Spreading; Trump Floats Quarantine of NY, NJ & CT, Then Backs Off. Aired 8-9a ET",/TRANSCRIPTS/2003/29/ip.01.html,46539,ip,inside_politics
Inside Politics,Hundreds Of Millions Around The World Locked Down As Virus Spreads; Trump Vents About Media Coverage Of Coronavirus Response; NYT: Pandemic Highlights Trump's Struggle To Respond To Crisis; Senate Negotiating Details Of Massive Stimulus Plan; Coronavirus And 2020 Presidential Campaign. Aired 8-9a ET,/TRANSCRIPTS/2003/22/ip.01.html,46540,ip,inside_politics
Inside Politics,Trump: Not Currently Considering A Nationwide Lockdown. Aired 12:30-1p ET,/TRANSCRIPTS/2003/20/ip.02.html,46541,ip,inside_politics
Inside Politics,Federal Tax Deadline Delayed Until July 15; President Donald Trump Working With Mexico To Suspend Non-Essential Travel; United States & Mexico Agree To Limit Non-Essential Travel Across Borders; President Donald Trump Puts Defense Production Act Into Effect; President Donald Trump Not Considering A Nationwide Lockdown. Aired 12-12:30p ET,/TRANSCRIPTS/2003/20/ip.01.html,46542,ip,inside_politics
Inside Politics,FDA Chief: Vaccine Trial Expected To Take 12 Months. Aired 12:30-1p ET,/TRANSCRIPTS/2003/19/ip.02.html,46543,ip,inside_politics
Inside Politics,"FDA To Conduct Clinical Trial of Anti-Malaria Drug to Fight COVID-19; President Donald Trump Speaks as United States Coronavirus Cases Top 10,000; President Donald Trump: Invoking Defense Production Act to Ramp Up Supplies; FDA to Fast-Track Antiviral Treatments for Coronavirus Patients. Aired 12-12:30p ET",/TRANSCRIPTS/2003/19/ip.01.html,46544,ip,inside_politics
Inside Politics,Trump: Will Invoke Defense Production Act; Trump: Coronavirus Testing Capacity Being Expanded; U.S.-Canadian Border Closed Amid Coronavirus Crisis; Task Force Concerned By Reports of More Young People Becoming Ill. Aired 12:30-1p ET,/TRANSCRIPTS/2003/18/ip.02.html,46545,ip,inside_politics
Inside Politics,New York Governor Andrew Cuomo: Mandating That No Non-Essential Business Can Have More Than 50 Percent Of Workforce Reporting For Duty Outside Home; White House Updates Public On United States Coronavirus Response; President Donald Trump: We Will Invoke Defense Protection Act Against Coronavirus; Donald Trump Promises News Conference Later Today Or Tomorrow With Important Coronavirus News From The FDA; President Donald Trump: Coronavirus Testing Capacity Being Expanded. Aired 12-12:30p ET,/TRANSCRIPTS/2003/18/ip.01.html,46546,ip,inside_politics
Inside Politics,"Trump Admin. Urges All States to Follow Coronavirus Guidelines; Trump Predicts Economy Will ""Pop"" After Crisis Ends; Trump: Travel, Tourism Industries Need Help. Aired 12:30-1p ET",/TRANSCRIPTS/2003/17/ip.02.html,46547,ip,inside_politics
Inside Politics,White House Updates Public On U.S. Coronavirus Response; President Donald Trump: We Don't Foresee Prescription Drug Shortages; President Trump & Vice President Mike Pence Comment On Need For Medical Supplies And New Hospitals; Trump Administration Announces New Telehealth Initiatives Amid Crisis; President Trump Announces New Coronavirus Testing Authority For States. Aired 12-12:30p ET,/TRANSCRIPTS/2003/17/ip.01.html,46548,ip,inside_politics
Inside Politics,Biden and Sanders Debate Ahead of Tomorrow's Contests; Germany Restricts Borders to Stem Virus Spread; Businesses Weigh Whether to Stay Open Amid Pandemic. Aired 12:30-1p ET,/TRANSCRIPTS/2003/16/ip.02.html,46549,ip,inside_politics
Inside Politics,"Schools, Restaurants, Bars Ordered To Close By Governors; Governor Andrew Cuomo To President Trump: Get The Army To Build Us Hospital Beds; New York Governor: Federal Government Response To Coronavirus Lacking; Long Lines, Empty Shelves At Grocery Stores Across United States; Health Experts, Lawmakers Warn There Is Potential For Coronavirus Situation In United States To Resemble That In Italy. Aired 12-12:30p ET",/TRANSCRIPTS/2003/16/ip.01.html,46550,ip,inside_politics
Inside Politics,Coronavirus Spreads To Every Corner Of The World; Trump: We Have To Break The Habit Of Shaking Hands; World Takes Measures To Stem The Spread Of Coronavirus; 2020 Campaign Focus Turns To Coronavirus; America Shuts Down; Italians Adapt To Life Under Nationwide Coronavirus Lockdown. Aired 8-9a ET,/TRANSCRIPTS/2003/15/ip.01.html,46551,ip,inside_politics
Inside Politics,"CNN: Trump Likely To Make Emergency Declaration Amid Coronavirus Pandemic; 2020 Campaigns Confront Coronavirus; Trump: Fed Must ""Lower The Fed Rate"". Aired 12:30-1p ET",/TRANSCRIPTS/2003/13/ip.02.html,46552,ip,inside_politics
Inside Politics,"Coronavirus Interrupts American Life As We Know It; Mobile Coronavirus Testing Station Opens In New York Virus Hot Spot; Chinese Diplomat Promotes Conspiracy That U.S. Military Is Responsible For Coronavirus; At Least 1,710 Cases Of Coronavirus In U.S., 41 Deaths; Negotiation Race To Agree On Coronavirus Response Package. Aired 12- 12:30p ET",/TRANSCRIPTS/2003/13/ip.01.html,46553,ip,inside_politics
Inside Politics,"CNN Moving Sundays Democratic Debate From Phoenix To D.C.; Pelosi: We Need To Pass Coronavirus Relief ""Right Now""; U.S. Coronavirus Death Toll Rises To 39, Total Cases 1,292. Aired 12:30-1p ET",/TRANSCRIPTS/2003/12/ip.02.html,46554,ip,inside_politics
Inside Politics,Brazilian Official Tests Positive After Meeting With Trump Last Weekend; Donald Trump Cancels Travel This Weekend Campaign Events Next Week; Donald Trump: Haven't Discussed U.S. Travel Restrictions But It's Always Possible If There Are Hot Spots; Bipartisan Frustration Over Lack Of Coronavirus Testing In U.S.; Donald Trump Restricts Travel From Most Of Europe For 30 Days. Aired 12-12:30p ET,/TRANSCRIPTS/2003/12/ip.01.html,46555,ip,inside_politics
Inside Politics,WHO: Coronavirus Outbreak Is A Pandemic; Sanders to Deliver Campaign Update; Capitol Hill Prepares to Take Coronavirus Precautions. Aired 12:30-1p ET,/TRANSCRIPTS/2003/11/ip.02.html,46556,ip,inside_politics
Inside Politics,"States Put Precautionary Measures In Place To Slow Coronavirus Spread; Coronavirus Cases Number More Than 1,000 In U.S.; Governor Andrew Cuomo: Coronavirus Crisis Could Overtax U.S. Health System; Senator Bernie Sanders To Give Campaign Updates At The Top Of The Hour; Sanders Vows To Support Biden If He Wins The Nomination. Aired 12-12:30p ET",/TRANSCRIPTS/2003/11/ip.01.html,46557,ip,inside_politics
Inside Politics,Capitol Hill Reckoning With Coronavirus; NY Gov. To Deploy National Guard To A Coronavirus Containment Area In NYC Suburb Of New Rochelle; Voters In Six States Head To Polls In Biden-Sanders Showdown. Aired 12:30-1p ET,/TRANSCRIPTS/2003/10/ip.02.html,46558,ip,inside_politics
Inside Politics,"New York City Mayor: We're Not Shutting Down All Our Schools; Donald Trump To Attend Senate Republican Briefing; Outbreak Disrupting Schools, Offices, Travel, Major Events; Sanders Hits Biden For Supporting Disastrous Trade Arguments; Biden & Sanders Face Off In Six States Today. Aired 12-12:30p ET",/TRANSCRIPTS/2003/10/ip.01.html,46559,ip,inside_politics
Inside Politics,"Biden, Sanders Campaign Ahead Of Key Contests Tomorrow; Gov. Steve Bullock Announces Montana Senate Run; Misinformation Spreads Online Amid Coronavirus Fears. Aired 12:30-1p ET",/TRANSCRIPTS/2003/09/ip.02.html,46560,ip,inside_politics
Inside Politics,"Donald Trump Minimizes Threat Of Coronavirus, Blames Democrats For Market Panic; Markets Plunge On Coronavirus Fears, Crash Oil Prices; Ted Cruz, Gosar Self-Quarantined After Contact With Coronavirus Patient; Capitol Hill Debates Coronavirus Response; Surgeon General Dodges Questions About Coronavirus Testing. Aired 12- 12:30p ET",/TRANSCRIPTS/2003/09/ip.01.html,46561,ip,inside_politics
Inside Politics,Biden Pulls Off A Stunning Campaign Comeback; Kamala Harris Endorses Joe Biden For President; Trump And Pence Contradict Each Other On Coronavirus Testing; Elizabeth Warren Drops Out Of 2020 Presidential Race. Aired 8-9a ET,/TRANSCRIPTS/2003/08/ip.01.html,46562,ip,inside_politics
Inside Politics,Warren Mulls Endorsement Plans; Pelosi Laments Being Most Powerful Woman In U.S. Politics. Aired 12:30-1p ET,/TRANSCRIPTS/2003/06/ip.02.html,46563,ip,inside_politics
Inside Politics,Coronavirus Outbreak Threatens To Plunge U.S. Into Recession; Private Job Numbers Clash With Coronavirus Economic Worry; CNN: President Trump's Coronavirus Messaging Complicated By Outside Advisers; Senator Bernie Sanders & Former Vice President Joe Biden Gear Up For One-On-One Battle; Joe Biden Touts His Record & Auto Bailout Ahead Of Michigan Race. Aired 12-12:30p ET,/TRANSCRIPTS/2003/06/ip.01.html,46564,ip,inside_politics
Inside Politics,"Warren Ends Campaign, Cementing Biden vs. Sanders Showdown; Sen. Warren Speaks After Ending Presidential Bid. Aired 12:30-1p ET",/TRANSCRIPTS/2003/05/ip.02.html,46565,ip,inside_politics
Inside Politics,Michigan Governor Endorses Joe Biden In Post-Super Tuesday Show Of Force; Senator Elizabeth Warren Ends Campaign Cementing Joe Biden Versus Senator Bernie Sanders Showdown; Senator Kama Harris Says Challenges Remain For Women Running For President; Joe Biden And Senator Bernie Sanders Draw Contrast Over Establishment Corporate Support; Senate Minority Leader Chuck Schumer Under Fire For Threatening Words Against Justices. Aired 12-12.30p ET,/TRANSCRIPTS/2003/05/ip.01.html,46566,ip,inside_politics
Inside Politics,"130 Cases of Coronavirus in U.S., Including 9 Deaths; Lawmakers Reach $7.8B Deal to Fund Coronavirus Fight; Trump Administration Working to Calm Coronavirus Fears; Sessions Touts Loyalty to Trump Amid Repeated Attacks; 2020 Candidates Look Ahead to Next Major Contests. Aired 12:30-1p ET",/TRANSCRIPTS/2003/04/ip.02.html,46567,ip,inside_politics
Inside Politics,Vice President Joe Biden: We Are Very Much Alive; Michael Bloomberg Endorsement Caps Shocking Turnaround For Joe Biden; Senator Elizabeth Warren Team: Taking Time To Think Through The Right Way To Continue This Fight; Joe Biden Resurrects Campaign With Super Tuesday Surprise; Number Of Coronavirus Cases Rises. Aired 12-12:30p ET,/TRANSCRIPTS/2003/04/ip.01.html,46568,ip,inside_politics
Inside Politics,Warren And Bloomberg Look For Big Delegate Wins On Super Tuesday; 14 States Votes In Today's Critical Super Tuesday Contests. Aired 12:30-1p ET,/TRANSCRIPTS/2003/03/ip.02.html,46569,ip,inside_politics
Inside Politics,"Senator Bernie Sanders: My Campaign Is The Campaign To Beat Donald Trump; Fourteen States Vote In Today's Critical Super Tuesday Contest; Democrats Face Critical Test As Voters Hit Polls For Super Tuesday; Fed Cuts Interest Rates Amid Coronavirus Market Fears; Twenty-Two Dead, Dozens Hurt After Tornadoes Rip Through Tennessee. Aired 12-12:30p ET",/TRANSCRIPTS/2003/03/ip.01.html,46570,ip,inside_politics
Inside Politics,2020 Dems Campaign Ahead Of High-Stakes Super Tuesday Contests; Israeli's Voting In Unprecedented Third Election In A Year; Alabama Republicans Run On Trump Loyalty For Senate Primary. Aired 12:30-1p ET,/TRANSCRIPTS/2003/02/ip.02.html,46571,ip,inside_politics
Inside Politics,"Second Confirmed Death In United States From Coronavirus; Cases Of Coronavirus Jumps In United States And Around The World; United States Ramps Up Testing As Virus Spreads To More States; 2020 Democrats Campaign Ahead Of High-Stakes Super Tuesday States; Joe Biden Slams Senator Bernie Sanders, Says Sanders Damage Down-Ballot Races. Aired 12-12:30p ET",/TRANSCRIPTS/2003/02/ip.01.html,46572,ip,inside_politics
Inside Politics,"Blowout Win For Joe Biden In South Carolina Primary; More Than One-Third Of Delegates At Stake On Super Tuesday; 87,000 Coronavirus Cases Worldwide; Are Top Democrats Worried About Bernie Sanders?; America's Longest War Could Be Nearing Its End. Aired 8-9a ET",/TRANSCRIPTS/2003/01/ip.01.html,46573,ip,inside_politics
Inside Politics,"CNN Polls: Sanders Lead In Two Key Super Tuesday States; Pompeo Clashes With Dem Lawmakers On Iran, Coronavirus; Hillary Clinton Creating Podcast To Debut This Spring. Aired 12:30-1p ET",/TRANSCRIPTS/2002/28/ip.02.html,46574,ip,inside_politics
