show,title,href,id,show_abbrev,show_c
New Day,Key Model Projects Increased Deaths; Public School Enrollment Drops. Aired 6:30-7a ET,/TRANSCRIPTS/2012/04/nday.02.html,42351,nday,new_day
New Day,"Biden Says, I will Ask Americans to Wear Masks for First 100 Days; Biden Says, I Haven't Made a Single Decision Without Harris' Input. Aired 7-7:30a ET",/TRANSCRIPTS/2012/04/nday.03.html,42352,nday,new_day
New Day,"Key Model Projects U.S. Deaths Will Double To Nearly 540,000 By April; CNN Reality Check: President Trump Raising Millions While Refusing To Concede; Jewish Doctor's Dilemma Treating Patient With Nazi Tattoos. Aired 7:30-8a ET",/TRANSCRIPTS/2012/04/nday.04.html,42353,nday,new_day
New Day,First Interview with President-elect Biden and VP-elect Harris. Aired 6-6:30a ET,/TRANSCRIPTS/2012/04/nday.01.html,42354,nday,new_day
New Day,"Biden: We Have to Restore the Soul of this Country; U.S. Again Shatters Records for Deaths, Hospitalizations & New Cases. Aired 8- 8:30a ET",/TRANSCRIPTS/2012/04/nday.05.html,42355,nday,new_day
New Day,Answers to Coronavirus Questions; Unemployment Rate Edges Down; Exclusive Interview with Biden and Harris. Aired 8:30-9a ET,/TRANSCRIPTS/2012/04/nday.06.html,42356,nday,new_day
New Day,More Coronavirus Deaths Reported in U.S. Yesterday Than Ever Before; Pro-Trump Attorneys Encourage Georgians Not to Vote. Aired 7- 7:30a ET,/TRANSCRIPTS/2012/03/nday.03.html,42357,nday,new_day
New Day,"More People Died from COVID-19 in U.S. Yesterday Than Ever Before; Trump Ignores Pandemic, Releases Infomercial; Democratic Leaders Back Bipartisan $908 Billion Stimulus Plan. Aired 6-6:30a ET",/TRANSCRIPTS/2012/03/nday.01.html,42358,nday,new_day
New Day,Attorney's Encourage Georgians Not to Vote; Iran Boosts Nuclear Enrichment; Getting the Coronavirus Vaccine; Raffensperger Responds to Threats. Aired 6:30-7a ET,/TRANSCRIPTS/2012/03/nday.02.html,42359,nday,new_day
New Day,Sources: Trump Frustrated with Barr After Election Comments; California Governor Warns New Cases Could Overwhelm ICUs by Christmas. Aired 8-8:30a ET,/TRANSCRIPTS/2012/03/nday.05.html,42360,nday,new_day
New Day,Rep. Raul Ruiz (D-CA) is Interviewed about COVID Spikes; Jobless Claims Fall; Pandemic May Close Restaurant; Federal Judge Pushes for Law. Aired 8:30-9a ET,/TRANSCRIPTS/2012/03/nday.06.html,42361,nday,new_day
New Day,More Coronavirus Deaths Reported in the U.S. Yesterday Than Ever Before; Biden Faces Increasing Pressure to Diversify His Cabinet; Democratic Leaders Back Bipartisan $908 Billion Stimulus Plan. Aired 7:30-8a ET,/TRANSCRIPTS/2012/03/nday.04.html,42362,nday,new_day
