show,title,href,id,show_abbrev,show_c
New Day Saturday,"COVID Study: Virus Leading Cause Of Death In U.S. This Week; Trump Heads To Georgia To Rally In Crucial Senate Races, GOP Worried His Election Lies Will Discourage Voters; COVID-19: Separating The Fact From The Fiction; Nancy Pelosi: Rejecting Previous Republican Proposals Was ""Not A Mistake""; ""President Is Waiting"" Premiers Tonight At 9PM ET; Coronavirus Pandemic: Adjusting To Our New Reality. Aired 8-9a ET",/TRANSCRIPTS/2012/05/ndaysat.03.html,44814,ndaysat,new_day_saturday
New Day Saturday,"COVID-19 Is Leading Cause Of Death This Week In The U.S. With One Person Dying Every 30 Seconds; Task Force Official: COVID-19 Vaccines Available To At Least 20 Million Americans By Year's End; Trump Heads To Georgia To Rally In Crucial Runoff Senate Races, While Obama Holds Virtual Rally; Scotland And Wales To Begin COVID Vaccinations On Tuesday; Judge Orders Trump Administration To Accept New DACA Applications. Aired 6-7a ET",/TRANSCRIPTS/2012/05/ndaysat.01.html,44815,ndaysat,new_day_saturday
New Day Saturday,"Pentagon Blocks Biden Team From Meeting With Intelligence Agencies; Fauci Urges Caution Despite Vaccine Optimism; California Shatters Case, Hospitalizations And ICU Records; Obama: Georgia Outcome Will Determine Course Of Biden Presidency; Sources: Presidential Pardon Bribery Investigation Involves Kushner Lawyer And GOP Lobbyist; European Health Ministers Meet With WHO On COVID In Schools. Aired 7-8a ET",/TRANSCRIPTS/2012/05/ndaysat.02.html,44816,ndaysat,new_day_saturday
New Day Saturday,"U.S. Tops 13 Million Confirmed COVID-19 Cases and 264,000 Deaths; Former U.S. Cyber Chief Rejects Trump Campaign's Election Claims; Adviser to Iran's Supreme Leader Says Response to Killing of top Nuclear Scientist Will be ""Like Lightning""; Federal Appeals Court Denies Trump Campaign Effort to Revive PA Lawsuit, Says ""Claims Have no Merit""; James Clyburn Calls for More African Americans in Top Biden Administration Roles; CDC Advisors to Vote Next Week on which Groups They Recommend Get Vaccine First; Australia's COVID-19 Epicenter Goes 29 Days with No New Infections. Aired 6-7a ET",/TRANSCRIPTS/2011/28/ndaysat.01.html,44817,ndaysat,new_day_saturday
New Day Saturday,Los Angeles Issues Stay-Home Order As Cases Surge; Biden Extends Lead In Milwaukee After Trump Requests Recount; COVID-19 Surge Puts Strain On Rural Hospitals; U.S. Aircraft Carrier Moving Back Into Persian Gulf; Assassination Of Iranian Scientist Could Complicate Biden Administration's Foreign Policy Ambitions; Millions In U.S. Struggling With COVID And Economic Fallout As Hope For Federal Relief Dwindles. Aired 7-8a ET,/TRANSCRIPTS/2011/28/ndaysat.02.html,44818,ndaysat,new_day_saturday
New Day Saturday,Artist Leaves Positive Message In Parks Across St. Louis; Biden Extends Lead In Milwaukee After Trump Requests Recount; Iran Vows Revenge For Killing Of Top Nuclear Scientist; Holiday Shopping Season Could Help Small Business Owners; Female Kicker Poised To Make History; Japan Sees Sharp Increase In Suicide Among Women. Aired 8-9a ET,/TRANSCRIPTS/2011/28/ndaysat.03.html,44819,ndaysat,new_day_saturday
New Day Saturday,"U.S. Breaks new Case and Hospitalization Records Amid Wait for Vaccine; Donald Trump Jr. and Andrew Giuliani Test Positive for COVID- 19; Michigan Lawmakers Stand by State's Results Following Trump Meeting; Biden's Margin of Victory Over Trump Surpasses 6 Million Votes; CDC Warns Americans not to Travel for Thanksgiving; AAA Predicts 95 Percent of American Holiday Travelers will Hit the Road; CDC Recommends Against Traveling for Thanksgiving; Moderna, Pfizer Vaccine Doses to Be Produced by End of 2020. Aired 6-7a ET",/TRANSCRIPTS/2011/21/ndaysat.01.html,44820,ndaysat,new_day_saturday
New Day Saturday,"U.S. Reported 195,542 Cases For Highest One-Day Total; Donald Trump Jr. tests positive for COVID-19; Hospital Leaders Warn The American Hospital Association They Are Experiencing Staffing Shortages; Pfizer And BioNTech Apply For FDA Emergency Use Authorization For COVID-19 Vaccine. Aired 8-9a ET",/TRANSCRIPTS/2011/21/ndaysat.03.html,44821,ndaysat,new_day_saturday
New Day Saturday,"U.S. Reported 195,542 Cases For Highest One-Day Total; V.P. Pence Campaigns In GA For GOP Senate Runoff Races; Get-Out-The-Vote Efforts Ramp Up Ahead Of January Runoffs; E.R. Doctor With COVID-19 Urges Others To Take Virus Seriously; CDC Tells Americans Not To Travel For Thanksgiving As Cases Explode. Aired 7-8a ET",/TRANSCRIPTS/2011/21/ndaysat.02.html,44822,ndaysat,new_day_saturday
New Day Saturday,"U.S. Shatters Daily Record With Over 184,000 New Cases Reported Friday; Trump In Denial Over Election Defeat While Former Chief Of Staff John Kelly Warns That Delaying The Transition Could Be Catastrophic; Biden Wins 305 Electoral Votes; Stocks Soar As Millions Of Americans Struggle; Pfizer And Moderna Set To Seek Emergency Use Authorization For COVID Vaccine Within Weeks. Aired 6-7a ET",/TRANSCRIPTS/2011/14/ndaysat.01.html,44823,ndaysat,new_day_saturday
