show,title,href,id,show_abbrev,show_c
New Day Sunday,U.S. Hospitalizations Hit Record Saturday; Colorado Governor And Spouse Test Positive; Biden And Harris To Get First Presidential Daily Brief Monday; Trump's Legal Losses Pile Up; Family Hit By COVID- 19 Raising Awareness; Progressives Oppose New Role For Biden's Chief Of Staff; College Students Forced To Return Home When Campuses Close; Mysterious Monolith Vanishes From Utah Desert; America's Hunger Crisis. Aired 5-6a ET,/TRANSCRIPTS/2011/29/ndaysun.03.html,45732,ndaysun,new_day_sunday
New Day Sunday,Estimated 50 Million Americans Will Go Hungry In 2020; Remote Learning Due To COVID-19 Taking An Emotional Toll On Kids; Fifteen Million Americans Under Severe Storm Threat Today. Aired 7-8a ET,/TRANSCRIPTS/2011/29/ndaysun.02.html,45733,ndaysun,new_day_sunday
New Day Sunday,"Record 91,000 Americans Are Now Hospitalized With COVID-19; U.S. Surpasses 13 Million Coronavirus Cases; Colorado Governor And His Spouse Test Positive For COVID-19; CDC Advisers To Vote Tuesday On Which Groups They Recommend Get Vaccine First; Trump's Legal Losses Stack Up; Biden Team Reveals New Members Of COVID-19 Task Force; Police Crack Down On Secret Parties Flouting COVID Restrictions. Aired 6-7a ET",/TRANSCRIPTS/2011/29/ndaysun.01.html,45734,ndaysun,new_day_sunday
New Day Sunday,"Record 91,000 Americans Are Now Hospitalized with COVID-19; Pennsylvania State Supreme Court Dismisses Another Election Case; Biden Team Reveals New Members of COVID-19 Task Force; Iran Accuses Israel of Killing Top Nuclear Scientist; Estimated 50 Million Americans Will Go Hungry In 2020; Remote Learning Due To COVID-19 Taking An Emotional Toll On Kids; Fifteen Million Americans Under Severe Storm Threat Today. Aired 7-8a ET",/TRANSCRIPTS/2011/29/ndaysun.02.html,45735,ndaysun,new_day_sunday
New Day Sunday,U.S. Surpasses 12 Million COVID Cases As Thanksgiving Nears; FDA Issues Emergency Use Authorization For Regeneron's Antibody Cocktail For COVID-19; Trump Campaign Requests Georgia Recount; Judge Dismisses Trump Campaign Lawsuit Attempting To Invalidate Millions Of Pennsylvania Mail-In Votes; Michigan GOP Requests Delay Of Certification While Wayne County Audits; Biden Poised To Make First Cabinet Picks This Week; Georgia Senator Kelly Loeffler Isolating After Mixed COVID-19 Test Results; CDC Recommends Testing Before And After International Flights. Aired 6-7a ET,/TRANSCRIPTS/2011/22/ndaysun.01.html,45736,ndaysun,new_day_sunday
New Day Sunday,U.S. Surpasses 12M COVID Cases As Thanksgiving Nears; FDA Authorizes Emergency Use Of Antibody Cocktail Given To Trump To Treat COVID-19; Trump Campaign Requests Georgia Recount; Biden Poised To Make First Cabinet Announcements This Week; Trump Slams Media Coverage Of Global Pandemic; COVID-19's Emotional Toll During The Holidays. Aired 7-8a ET,/TRANSCRIPTS/2011/22/ndaysun.02.html,45737,ndaysun,new_day_sunday
New Day Sunday,"Trump Puts Giuliani In Charge Of Post-Election Legal Fight; U.S. Tops 100,000 New COVID-19 Cases For 12th Consecutive Day; Trump Continues Pushing False Fraud Claims, Refuses To Concede; One Stabbed, 20 Arrested Amid Pro-Trump Election Protest; Very Few Republicans Have Acknowledged Biden's Victory; President-Elect Considers Candidates For Key Cabinet Positions. Aired 6-7a ET",/TRANSCRIPTS/2011/15/ndaysun.01.html,45738,ndaysun,new_day_sunday
New Day Sunday,"Biden To Name Coronavirus Task Force; Kushner Approaches Trump About Conceding; Kamala Harris Is First Black-South Asian Woman Elected U.S. Vice President; Celebrations Erupt Across The U.S. After Biden Clinches Race; President-Elect Joe Biden Pledges To Unify Nation, Trump Not Conceding; International Newspapers Weigh In On U.S. Election; Dave Chappelle Returns As Post-Election ""SNL"" Host. Aired 5- 6a ET",/TRANSCRIPTS/2011/08/ndaysun.01.html,45739,ndaysun,new_day_sunday
New Day Sunday,President-Elect Biden: It's Time To Heal In America; Trump Campaign Team Has Filed Lawsuits In Several States; Atlantic: The Polling Crisis Is A Catastrophe For American Democracy; International Leaders Congratulate Biden On Election Win. Aired 7-8a ET,/TRANSCRIPTS/2011/08/ndaysun.03.html,45740,ndaysun,new_day_sunday
New Day Sunday,"President-elect Joe Biden, It's Time To Heal In America; Biden Plans To Name Coronavirus Task Force Tomorrow; Biden Wins Election, Trump Refuses To Concede; Cities Erupt In Celebration After Joe Biden Wins Presidency; Harris Becomes First Woman Elected U.S. Vice President. Aired 6-7a ET",/TRANSCRIPTS/2011/08/ndaysun.02.html,45741,ndaysun,new_day_sunday
New Day Sunday,"Trump And Biden Battle In Key States In Final Stretch Of Campaign; Fauci Gives Blunt Feedback On Trump's COVID Response; Trump Cheers Supporters' Confrontation With Biden Campaign Bus On Interstate In Texas; Biden Campaign Cancels Texas Event After Trump Supporters Surround Campaign Bus On Interstate; Police Use Pepper Spray To Break Up North Carolina March To A Polling Location; U.S. Coronavirus Cases Surpass 9.1 Million, Death Toll Tops 230,000; More Than 91 Million Early Votes Cast. Aired 6-7a ET",/TRANSCRIPTS/2011/01/ndaysun.01.html,45742,ndaysun,new_day_sunday
New Day Sunday,Trump & Biden Battle In Key States In Final Stretch Of Campaign; White House Accuses Fauci Of Playing Politics After Criticizing Trump's COVID Response; Biden Campaign Cancels Texas Event After Trump Supporters Surround Campaign Bus On Interstate; Businesses In Several Cities Boarding Up Ahead Of Possible Unrest; Former NSA General Counsel: America's Elections Are More Secure Than You Think; New CNN Polls: Biden Leads In Michigan And Wisconsin; Europe Scrambles to Implement New Measures As Cases Soar. Aired 7-8a ET,/TRANSCRIPTS/2011/01/ndaysun.02.html,45743,ndaysun,new_day_sunday
New Day Sunday,"Three Pence Aides Test Positive For COVID-19; NYT: Mark Meadows Sought To Keep News Of VP Office Outbreak From Becoming Public; New Cases In U.S. Top 83,000 For Second Straight Day; Tropical Storm Zeta Forms In The Western Caribbean, Expected To Become A Hurricane By Early Tuesday; Pennsylvania Supreme Court Rules Mail-In Ballots Can't Be Thrown Out For Mismatched Signatures; Pennsylvania Voters Concerned About Future Of Fracking Industry. Aired 7-8a ET",/TRANSCRIPTS/2010/25/ndaysun.02.html,45744,ndaysun,new_day_sunday
New Day Sunday,"Saturday Was The Second Highest Day Of Coronavirus Cases Since The Pandemic Began; Two Senior Pence Aides Test Positive For COVID-19; Trump Denies COVID Surge Even As Virus Spreads Among Pence Advisers; Biden Heads To Georgia Tuesday In Bid To Flip State That Dems Haven't Won Since 1992; Pence To Continue On Campaign Trail Despite Outbreak In Inner Circle; Tropical Storm Zeta Forms In The Western Caribbean, Expected To Become Hurricane By Early Tuesday. Aired 6-7a ET",/TRANSCRIPTS/2010/25/ndaysun.01.html,45745,ndaysun,new_day_sunday
New Day Sunday,"Trump Trailing Biden In Battleground States, GOP Strongholds; Trump Tries To Win Over Voters In Nevada, A State He Lost In 2016; Trump Holds Rallies In Michigan And Wisconsin Even As Both States See Record Surges In COVID Cases; Whitmer Aide Slams Trump Over ""Violent Rhetoric""; Twitter Removes Tweet By Trump's COVID Adviser That Undermined Wearing Masks; Biden Campaigning In North Carolina Today, Harris In Florida Monday; Obama To Hit Campaign Trail For Biden Next Week; More Than 22 Million Ballots Have Been Cast So Far. Aired 6-7a ET",/TRANSCRIPTS/2010/18/ndaysun.01.html,45746,ndaysun,new_day_sunday
New Day Sunday,"Trump, Biden Campaigning In Key Battleground States Today; Michigan Governor Whitmer On Trump Rally Rhetoric: This Puts ""Lives In Danger""; Only Two States Trending Downwards As Coronavirus Surges; States See Spike In Turnout As Early In-Person Voting Begins; How A Former QAnon Believer Escaped The Virtual Cult. Aired 7-8a ET",/TRANSCRIPTS/2010/18/ndaysun.02.html,45747,ndaysun,new_day_sunday
New Day Sunday,"Trump's Doctor Clears Him to Leave Isolation, Few Details on True State of the President's Health; Biden Hosts Campaign Event in Battleground Pennsylvania; More Than 54,000 New Cases Reported Saturday, Fourth Day in a Row Cases in Excess of 50K. Aired 7-8a ET",/TRANSCRIPTS/2010/11/ndaysun.02.html,45748,ndaysun,new_day_sunday
New Day Sunday,"Trump's Doctor Clears Him To Leave Isolation; Trump Speaks To Supporters Packed Into White House Event Despite Rising Number Of Coronavirus Cases; Confirmation Hearings For Trump's SCOTUS Pick Amy Coney Barrett Start Tomorrow; Trump's Stimulus Proposal Faces Opposition From Pelosi And GOP; Biden Hosts Campaign Event In Battleground Pennsylvania; More Arrests In Wisconsin On Fourth Night Of Protests Over Alvin Cole's Death; Key Model Projects 395,000 U.S. COVID Deaths By February. Aired 6-7a ET",/TRANSCRIPTS/2010/11/ndaysun.01.html,45749,ndaysun,new_day_sunday
New Day Sunday,"White House Sows Confusion About Trump's Condition; Biden And Harris Move Forward With Campaign; U.S. COVID-19 Cases Climb; Georgia's Dekalb County Holds Food Drives For Struggling Families; ""First Ladies"" Premieres Tonight On CNN; How White House Rose Garden Gathering Likely Became A Superspreader Event; COVID-19 And The NFL; ""SNL"" Returns With Jim Carrey Playing Joe Biden. Aired 5-6a ET",/TRANSCRIPTS/2010/04/ndaysun.01.html,45750,ndaysun,new_day_sunday
New Day Sunday,"White House Sows Confusion On President's Condition As Source Tells CNN Next 48 Hours Are Critical; Mike Pence Tests Negative Ahead Of Debate And Rally; At Least 21 States Are Now Reporting More New Cases Than They Did A Week Ago; Researchers Predict As Many As 2,900 Deaths A Day By The End Of December; Biden And Harris Move Forward With In-Person Campaigning; Pence And Harris To Square Off In VP Debate On Wednesday; White House Sows Confusion On President's Condition; Patriots Quarterback Cam Newton Tests Positive For COVID- 19. Aired 6-7a ET",/TRANSCRIPTS/2010/04/ndaysun.02.html,45751,ndaysun,new_day_sunday
New Day Sunday,"Trump: I'm Doing Well, I Think I'll Be Back Soon, Next Few Days Will Be The Real Test; Trump's Personal Assistant Tests Positive For COVID-19; Biden And Harris Move Forward With In-Person Campaigning; White House Chief Of Staff: Trump's Blood Oxygen Level ""Dropped Rapidly"" Friday Morning; At Least 21 States Now Reporting More New Cases Than They Did A Week Ago. Aired 7-8a ET",/TRANSCRIPTS/2010/04/ndaysun.03.html,45752,ndaysun,new_day_sunday
New Day Sunday,"Trump, Democrats Fight Over SCOTUS Pick Ahead Of First Debate; More Than A Dozen Arrested In Portland During Competing Protests; Global Coronavirus Death Toll Nears One Million; Joe Biden To Address Trump's Supreme Court Nominee; Faggioli: Barrett's Nomination Spotlights Questions About Religion And Constitution; LeBron James Leads Lakers To First NBA Finals Since 2010. Aired 7-8a ET",/TRANSCRIPTS/2009/27/ndaysun.02.html,45753,ndaysun,new_day_sunday
New Day Sunday,"Biden And Trump To Face Off In First Presidential Debate Tuesday; Trump, Democrats Fight Over SCOTUS Pick Ahead Of First Debate; Senate Democrats Condemn Nomination Of Amy Coney Barrett; More Than A Dozen Arrested In Portland During Competing Protests; Rochester Names First Female Chief Following The Death Of Daniel Prude In Police Custody; Global Coronavirus Death Toll Nears One Million; Florida Governor Lifts Restrictions For Restaurants And Bars. Aired 6-7a ET",/TRANSCRIPTS/2009/27/ndaysun.01.html,45754,ndaysun,new_day_sunday
New Day Sunday,"Trump Wants To Fill Supreme Court Vacant Seat ""Without Delay""; Senate Democrats Warn Of Plan To Retaliate If McConnell Advances Trump's Court Pick; U.S. Approaching Grim Milestone Of 200,000 COVID- 19 Deaths, At Least 29 States Seeing Uptick In Cases; CDC Reverses Guidelines For Testing People Without Symptoms; Trump Says Every American Can Get A Vaccine By April, But Health Experts Say That's Not Likely; Memorials And Vigils For Justice Ginsburg Held Across The Country. Aired 6-7a ET",/TRANSCRIPTS/2009/20/ndaysun.01.html,45755,ndaysun,new_day_sunday
New Day Sunday,"Trump Wants To Fill Supreme Court Vacant Seat ""Without Delay"", McConnell Vows Senate Vote; Ginsburg: My Most Fervent Wish Is That I Will Not Be Replaced Until A New President Is Installed; U.S. Approaching Grim Milestone Of 200,000 COVID-19 Deaths; Trump On Supreme Court Nominee: It Will Be A Woman. Aired 7-8a ET",/TRANSCRIPTS/2009/20/ndaysun.02.html,45756,ndaysun,new_day_sunday
New Day Sunday,Trump To Nominate Woman To Supreme Court: Pandemic Forces Parents To Decide Between Work And Staying Home; Respects And Tributes Pour In For Ruth Bader Ginsburg; Performers Struggle Financially During Pandemic; Trump Says He Approved TikTok Purchase Deal. Aired 5- 6a ET,/TRANSCRIPTS/2009/20/ndaysun.03.html,45757,ndaysun,new_day_sunday
New Day Sunday,"At Least 33 Dead As Wildfires Rage On West Coast; Tropical Storm Sally Gaining Strength As It Approaches Gulf Coast; Trump To Visit California Monday Amid Historic Wildfires; AstraZeneca COVID-19 Vaccine Trials Set To Resume In U.K.; Des Moines Schools Defy Judge & Governor, Begin School Year With Remote Learning; Senators Demand Company Stop Sale Of Faulty AmazonBasics Products; NFL Season Opens With Focus On Social Justice, COVID And Crowds. Aired 7-8a ET",/TRANSCRIPTS/2009/13/ndaysun.02.html,45758,ndaysun,new_day_sunday
New Day Sunday,"Two Los Angeles County Deputies ""Fighting For Their Lives"" After Ambush; At Least 33 Dead As Wildfires Rage On West Coast; Tropical Storm Sally Gaining Strength As It Approaches Gulf Coast; Trump To Visit California Monday Amid Historic Wildfires; Trump Criticizes Nevada's Governor Over COVID-19 Restrictions And Mail-In Ballots; Bernie Sanders Pushes Biden Campaign To Appeal More To Liberal Voters; AstraZeneca COVID-19 Vaccine Clinical Trials Set To Resume In U.K. Aired 6-7a ET",/TRANSCRIPTS/2009/13/ndaysun.01.html,45759,ndaysun,new_day_sunday
New Day Sunday,"Campers Airlifted To Safety In California As Wildfire Blocks The Sole Road To Safety; Trump Tell-All Season In Full Force As Cohen, Strzok And Woodward Books Hit Shelves; Experts Fear Labor Day Gatherings Could Fuel Rise In Infections; More Than 50 Arrested In Portland On 100th Night Of Protests; Former Senior Administration Official Says Trump Referred To Fallen U.S. Service Members In Crude And Derogatory Terms. Aired 7-8a ET",/TRANSCRIPTS/2009/06/ndaysun.02.html,45760,ndaysun,new_day_sunday
New Day Sunday,Michael Cohen Tell-All Unleashes On President Trump; Campers Airlifted To Safety In California As Wildfire Blocks The Sole Road To Safety; Majority Of Young Adults In The U.S. Now Living With Their Parents; Expert Fear Labor Day Gatherings Could Fuel Rise In Coronavirus Infections; Grand Jury To Investigate Death Of Daniel Prude; Protesters March Near Kentucky Derby For Breonna Taylor; Former Senior Administration Official Says Trump Referred to Fallen U.S Service Members In Crude And Derogatory Terms. Aired 6-7a ET,/TRANSCRIPTS/2009/06/ndaysun.01.html,45761,ndaysun,new_day_sunday
New Day Sunday,"One Person Shot And Killed Near Protests In Portland, Oregon; Director Of National Intelligence To Congress: No More In-Person Election Security Briefings; Trump To Travel To Kenosha, Wisconsin On Tuesday; NJ District Transforms Schools For In-Person Learning; Russian Aircraft Intercept U.S. Air Force Bomber Over Black Sea; CNN Celebrates Modern Activists. Aired 7-8a ET",/TRANSCRIPTS/2008/30/ndaysun.02.html,45762,ndaysun,new_day_sunday
New Day Sunday,"One Person Shot And Killed Near Protests In Portland, Oregon; Director Of National Intelligence To Congress: No More In-Person Election Security Briefings; Trump To Travel To Kenosha, Wisconsin On Tuesday; Jacob Blake Sr. To CNN: Officer Who Shot My Son ""Should Be Charged With Attempted Murder""; NBA Playoffs Return With Renewed Focus On Social Justice; Seahawks Coach Calls For Leadership From Fellow Coaches; Russian Aircraft Intercept U.S. Air Force Bomber Over Black Sea; Moderna Says 24 Percent Of Its Phase Three COVID-19 Vaccine Trial Participants Are From Communities Of Color. Aired 6-7a ET",/TRANSCRIPTS/2008/30/ndaysun.01.html,45763,ndaysun,new_day_sunday
New Day Sunday,"President Trump's Sister Says He Is ""Cruel,"" Has ""No Principles"" And ""You Can't Trust Him""; Trump Makes Baseless Claim That ""Deep State"" At FDA Is Deliberately Slowing Vaccine Trials; Rep. Brenda Lawrence (D-MI) Is Interviewed About The House Approving $25 Billion Boost To U.S. Postal Service; Deadly California Wildfires Burn More Than One Million Acres; Two Tropical Systems Headed For Gulf Coast Could Make Landfall As Hurricanes With 48 Hours Of Each Other; Anti-Trump Republicans Ramp Up Criticism Of Party Ahead Of RNC. Aired 7-8a ET",/TRANSCRIPTS/2008/23/ndaysun.02.html,45764,ndaysun,new_day_sunday
New Day Sunday,"Two Tropical Systems Headed For Gulf Coast Could Make Landfall As Hurricanes Within 48 Hours Of Each Other; President Trump's Sister Says He Is Cruel, Has No Principles And You Can't Trust Him; Trump To Hold News Conference To Discuss ""A Major Therapeutic Breakthrough""; QAnon Spreading Beyond Dark Fringes Of The Internet, Infecting Mainstream American Life And Politics; House Approves $25 Billion Boost To U.S. Postal Service; RNC Kicks Off Monday To Formally Confirm Trump-Pence Ticket. Aired 6-7a ET",/TRANSCRIPTS/2008/23/ndaysun.01.html,45765,ndaysun,new_day_sunday
New Day Sunday,"Robert Trump, The President's Younger Brother, Dies At 71; Trump To Speak Near Biden's Hometown On The Night Biden Is Expected To Accept The Democratic Nomination; FDA Grants Emergency Use Authorization To Quick, Inexpensive Saliva-Based COVID-19 Diagnostic Test; Georgia State Patrol Charged With Murder After Killing A Black Man; Face To Face With Sharks, The Ocean's Greatest Predators. Aired 7-8a ET",/TRANSCRIPTS/2008/16/ndaysun.02.html,45766,ndaysun,new_day_sunday
New Day Sunday,"Robert Trump, The President's Younger Brother, Dies At 71; Trump Campaign Plans To Upstage The Democratic National Convention; Biden-Harris Campaign Preps For Democratic National Convention; White House Withdrawing Nominee To Head Bureau Of Land Management; Faster, Cheaper COVID-19 Testing; Democrats Consider Bringing House Back Into Session Next Week Over Postal Service Issues; Mass Protest In Belarus Following Allegations Of Election-Rigging. Aired 6-7a ET",/TRANSCRIPTS/2008/16/ndaysun.01.html,45767,ndaysun,new_day_sunday
