show,title,href,id,show_abbrev,show_c
Quest Means Business,Biden to Speak as U.S. Jobs Recovery Falters; Brexit Talks have just been Put on Hold; Warner Brothers to Release 2021 Films in Theaters and on HBO Max; Biden Urges Action On Stimulus Package; Biden's Cabinet Diversity Will Be On His Own Terms; 100-Day Mask Wearing From January 20 Will Not Be Mandatory; Biden Team Plans Equitable Distribution Of Vaccine. Aired 3-4p ET,/TRANSCRIPTS/2012/04/qmb.01.html,55533,qmb,quest_means_business
Quest Means Business,Vaccine Optimism Clashes with Grim Health and Economic Reality; U.K. Set to Receive First Shipments of Pfizer-BioNTech Vaccine; England Drops Quarantine Requirement for High Value Visitors; Warner Media's 2021 Movies: On Stream And On Screen Simultaneously; The Power Of The Market Can Power Climate Change; OPEC Plus Agrees To Boost Oil Production; Tokyo 2021:  The Games May Be The World's First Major Outing. Aired 3-4p ET,/TRANSCRIPTS/2012/03/qmb.01.html,55534,qmb,quest_means_business
Quest Means Business,U.K. Approves Pfizer-BioNTech Vaccine for Emergency Use; England Lifts Four-Week National Lockdown; CDC Revises Quarantine Guidelines; Major Transporters Gear For Cold Chain Delivery Of Vaccines; OECD Secretary General Elect Shares Views; Salesforce Plunges After Deal To Buy Slack. Aired 3-4p ET,/TRANSCRIPTS/2012/02/qmb.01.html,55535,qmb,quest_means_business
Quest Means Business,O.E.C.D. Sees Economic Hope as Fed Chiefs Urge Action; Yellen Mourns American Tragedy over Coronavirus; Germany Constructs First Mass Vaccination Center; Barr's DOJ:  No Finding Of Fraud In U.S. Election; Economic Downturn Needs More Than Monetary Policy; China's Early Knowledge And Denial Of COVID - New Documents,/TRANSCRIPTS/2012/01/qmb.01.html,55536,qmb,quest_means_business
Quest Means Business,"Moderna Shares Soar As New Vaccine Offers Hope; Dow Set For Best Monthly Rise Since 1987; Biden Unveils Diverse Economic Team To Lead U.S. Recovery; Biden Receives First Daily Presidential Briefing; Expanding Its Data Empire: S&P To Buy IHS Markit; Medical Breakthroughs At Breathtaking Speed; Jobs Of The Future, People Are Investing In Themselves",/TRANSCRIPTS/2011/30/qmb.01.html,55537,qmb,quest_means_business
Quest Means Business,"Thanksgiving Travel Rush Comes As U.S. COVID Deaths Spike; Trump & Biden Offer Conflicting Messages on Thanksgiving; Mourners, Police Clash Day after Maradona Death; CNN Speaks with Seychelles President About New Political Era. Aired 4-5p ET",/TRANSCRIPTS/2011/26/qmb.02.html,55538,qmb,quest_means_business
Quest Means Business,"Biden and Trump Offer Conflicting Messages on Thanksgiving; U.S. Records Consecutive Days of 2,000 Plus Deaths; Concerns over Missing, Incomplete Data in AstraZeneca Trial. Aired 3-4p ET",/TRANSCRIPTS/2011/26/qmb.01.html,55539,qmb,quest_means_business
Quest Means Business,"IATA Travel Pass Will Bring Back International Travel; ""Are You OK?"":  Simple Question From Meghan Markle; Football Legend Maradona Dies In Argentina",/TRANSCRIPTS/2011/25/qmb.01.html,55540,qmb,quest_means_business
Quest Means Business,"Dow Crosses 30,000 For The First Time, Welcoming Biden Transition; Europe Eases Coronavirus Restrictions; Quiet Holiday Season Deals Major Blow To U.S. Hotels; Africa Transported By Better Technology Logistics; Janet Yellen For Treasury Secretary, A Choice Applauded; Biden Introduces New Face Of Government In Foreign Policy And National Security. Aired 3-4p ET",/TRANSCRIPTS/2011/24/qmb.01.html,55541,qmb,quest_means_business
Quest Means Business,Did Netanyahu Meet With MBS?; U.S. Heads Into Its Busiest Travel Week; White Sharks Reveal Their MO; Airlines Shares Up After AstraZeneca Announcement,/TRANSCRIPTS/2011/23/qmb.01.html,55542,qmb,quest_means_business
Quest Means Business,"Fed Feuds with Treasury over Emergency Aid; Crisis Leaves Lasting Impact on Young Workers; Pfizer and BioNTech File for Emergency Vaccine Use in U.S.; Stay Home For The Holidays; President Appears To Talk About The Price Of Prescription Drugs; White House Trade Advisor Lauds Trump; Call To Earth: Kelp, The Wonder Underwater; Travel Industry Confident Travel Will Rebound. Aired 3-4p ET",/TRANSCRIPTS/2011/20/qmb.01.html,55543,qmb,quest_means_business
Quest Means Business,"Trump Holds up Transition as U.S. Virus Deaths Pass 250,000; U.S. Weekly Jobless Claim Rise for First Time in a Month; United and Virgin Atlantic Sees Bookings Slow as Cases Surge; Royal Opera House Ballet Goes Online; Greenspan Urges Nimble, Solid Thinking; QUEST MEANS BUSINESS Daily Round Up; Germany's Stringent Covid Measures Paying Off; South Africa's Efforts To Protect Her Oceans. Aired 3-4p ET",/TRANSCRIPTS/2011/19/qmb.01.html,55544,qmb,quest_means_business
Quest Means Business,737 Max Cleared To Fly;  United Airlines:  Guaranteeing A COVID Free Flight; Quest's Headlines Of The Day; Conserving The Arapaima For Sustainable Living In The Amazon; Airport COVID Testing: New Passport To Travel. Aired 3-4p ET.,/TRANSCRIPTS/2011/18/qmb.01.html,55545,qmb,quest_means_business
Quest Means Business,U.S. Markets Soar on Pfizer Vaccine News and Biden Victory; Biden Builds COVID-19 Task Force as U.S. Cases Pass 10 Million; Focus Moves to Georgia in Fight for Senate Control. Aired 3-4p ET,/TRANSCRIPTS/2011/09/qmb.02.html,55546,qmb,quest_means_business
Quest Means Business,"European Stocks Bounce Back to End Week on Strong Note; Man Found Decapitated in Parisian Suburb, Police Kill Attacker; Viewer Whiplash Between Trump and Biden Town Halls; French Anti-Terror Officials Investigating Decapitation; Cases In Europe Surging Much Faster Than In U.S.; Europe Introducing New Measures to Curb Second Wave. Aired 3-4p ET",/TRANSCRIPTS/2010/16/qmb.01.html,55547,qmb,quest_means_business
Quest Means Business,"U.S., European Markets Fall as COVID Crisis Deepens; U.S. Unemployment Claims Show Weakening Job Market; Thailand Bans Public Gatherings As Protests Swell; Harris Suspends Travel After Two Linked To Campaign Test Positive; Queen Makes First Public Appearance Since Pandemic; Networks And Candidates Compete In Dueling Town Halls. Aired 3-4p ET",/TRANSCRIPTS/2010/15/qmb.01.html,55548,qmb,quest_means_business
Quest Means Business,"President Macron Announces Curfew for Paris, Other French Cities; J&J CFO Says Trial to Restart When Independent Panel Says it Can; Economic Lockdowns Only a Temporary Solution According to World Health Organization; Trump and Biden To Hold Competing Town Halls Thursday Night; Portuguese P.M. Declares State Of Calamity Over COVID-19; Cineworld Temporarily Shuts 600+ Theaters In U.S., U.K.; New Reports Show Virus Immunity Can Last For Months. Aired 3-4p ET",/TRANSCRIPTS/2010/14/qmb.01.html,55549,qmb,quest_means_business
Quest Means Business,"Judge Amy Coney Barrett To Face Senate Questioning Tuesday; Facebook Removed Trump Post Last Week About COVID-19; CNN Speaks To YouTube CEO About The Challenge Of Monitoring Content; U.S. Averaging Around 50,000 New COVID Cases Per Day; Nigeria Dissolves Controversial Anti-Robbery Police Unit; Indian Celebrity Feeds Millions During Pandemic; Volunteers In U.K. Take Part In COVID-19 Vaccine Trials. Aired 3-4p ET",/TRANSCRIPTS/2010/12/qmb.01.html,55550,qmb,quest_means_business
Quest Means Business,"Europe Reporting More COVID-19 Cases than U.S., Brazil, or India; Trump Shifts Again on Stimulus at End to Chaotic Week. Aired 3-4p ET",/TRANSCRIPTS/2010/09/qmb.01.html,55551,qmb,quest_means_business
Quest Means Business,"Vaccine Makers To Likely Get Phase Three Day In Coming Months; Cigna Study: American Resilience Is At Risk; U.S. Vice Presidential Debate Reflects Workplace Challenges For Women; Michigan Governor Comments on Alleged Plot to Kidnap Her; Chaos as Trump Rejects Virtual Debate, Biden Rejects Delay; VP Candidates Spar over Trump Economic Record, Biden Tax Plan. Aired 3-4p ET",/TRANSCRIPTS/2010/08/qmb.01.html,55552,qmb,quest_means_business
Quest Means Business,"Stocks Up after Trump Halts Stimulus, then Backtracks; Trump Doctor Says He is Feeling Great and Symptom-Free; VP Candidates to Debate Behind Plexiglas Barriers. Aired 3-4p ET",/TRANSCRIPTS/2010/07/qmb.01.html,55553,qmb,quest_means_business
Quest Means Business,"After the two U.S. presidential candidates squared off in a tense debate, Lithuanian President Gitanas Nauseda said his country will continue to have good relations with whoever is elected. He spoke about his own election and leading a country during the pandemic. When National Audubon Society Vice President Steve Kress first began his quest to restore the historic puffin population on a small island off the coast of Maine, he had no idea it would become his life's work. Kress describes the long and difficult and discusses how some of the lessons he learned could help conservationists trying to protect other bird species; Lithuanian President On Leading Country In Time Of COVID-19; Aviation Workers Brace for Historic Job Cuts; Countries Easing Global Travel Restrictions; E.U. Launches Legal Action against U.K. Aired 3-4p ET",/TRANSCRIPTS/2010/01/qmb.01.html,55554,qmb,quest_means_business
Quest Means Business,Trump & Biden Give Differing Visions of Economic Recovery Coping With Emotional Toll Of Chaotic First Debate. Aired 3-4p ET,/TRANSCRIPTS/2009/30/qmb.01.html,55555,qmb,quest_means_business
Quest Means Business,"Trump And Biden Face Off In First President Debate; LVMH Accuses Tiffany Of Mismanagement Of Business; Trump Suggests Further Tax Cuts And Credits For Second Term; Merkel Announces New Measures To Counter COVID-19 In Winter; Jamie Carragher Fears ""Armageddon"" For Football; Biden Vows To Raise Taxes For High-Income Individuals, Corporation. Aired 3-4p ET",/TRANSCRIPTS/2009/29/qmb.01.html,55556,qmb,quest_means_business
Quest Means Business,Outrage Grows over Donald Trump's Tax Arrangements; Dow Sharply Up for Biggest Gains since Mid-July; United Airlines Agree Not to Furlough Pilots until Next June. Aired 3-4p ET,/TRANSCRIPTS/2009/28/qmb.01.html,55557,qmb,quest_means_business
Quest Means Business,"As Trump Undermines Election, Wall Street Plans for Biden Win; Dow Rises Friday, Still Headed for Fourth Straight Down Week; U.K. Introduces New Restrictions as Cases Soar; How Social Media Misinformation Affects Donald Trump Voters; Facebook Oversight Board To Launch Ahead Of U.S. Election; Mining On Heritage Sites Under Scrutiny In Australia; Microsoft Unveils New Xbox Consoles. Aired 3-4p ET",/TRANSCRIPTS/2009/25/qmb.01.html,55558,qmb,quest_means_business
Quest Means Business,Trump Speaks After Refusing To Commit To Peaceful Transfer Of Power; Rewilding Brings British Farm Back To Life; GoFundMe: $625M Raised For COVID-19 Relief Over 6 Months; Trump Refuses to Commit to Peaceful Transfer of Power; Dow Makes Modest Gains on Back of Goldman Sachs and Tech Shares; Facebook Links to Face Accounts to Russian Military Intelligence Aired 3-4p ET,/TRANSCRIPTS/2009/24/qmb.01.html,55559,qmb,quest_means_business
Quest Means Business,"U.S. Hotel Industry Warns Of More Layoffs Without Further Aid; Dow Sinks As U.S. Executives Call For More Stimulus; Restoring The Seychelles' Vanishing Coral Reefs; Volkswagen Unveils ID.4, Its First Electric SUV. Aired 3:30-4p ET",/TRANSCRIPTS/2009/23/qmb.03.html,55560,qmb,quest_means_business
Quest Means Business,"British Prime Minister Makes Statement On New Virus Restrictions; IATA Calls For Pre-Departure Testing To Revive Air Travel; Production Of Nissan 2021 Rogue Underway In Tennessee; New Tech May Be Unveiled At ""Battery Day"" Event; Replanting Forests To Restore Biodiversity; New United Kingdom Rules Take Effect Thursday, Could Last Months. Aired 3-4p ET",/TRANSCRIPTS/2009/22/qmb.01.html,55561,qmb,quest_means_business
Quest Means Business,Selloff Continues As COVID-19 Cases Rise And Stimulus Chances Fade; Banks Across The Globe Are Hit By Claims Of Widespread Money Laundering; McConnell On GOP Effort To Fill RBG's Supreme Court Seat. Aired 3-3:30p ET,/TRANSCRIPTS/2009/21/qmb.01.html,55562,qmb,quest_means_business
Quest Means Business,"U.S. Government to Ban WeChat and TikTok Downloads on Sunday; Donald Trump Speaks as U.S. Nears 200,000 COVID-19 Deaths; Aired 3-3:17p ET",/TRANSCRIPTS/2009/18/qmb.01.html,55563,qmb,quest_means_business
Quest Means Business,Central Bank Uncertainty Rattles Global Market; W.H.O. Says Spike in Cases Should be Wakeup Call for Europe; Trump Contradicts C.D.C. Director on Vaccine Timeline; Raab: Good Friday Agreement Not In Jeopardy; Wyndham CEO: U.S. Franchisees. Aired 3-4p ET,/TRANSCRIPTS/2009/17/qmb.01.html,55564,qmb,quest_means_business
Quest Means Business,Dow Surges as Fed Signals Low Rates Through 2023; U.S. House Report Blasts Boeing and F.A.A. for Handling of 737 MAX; France Struggles with New Surge in COVID-19 Infections. Aired 3-3:30p ET,/TRANSCRIPTS/2009/16/qmb.01.html,55565,qmb,quest_means_business
Quest Means Business,"Israeli Lockdown Imminent, Prime Minister In White House For Deal With UAE And Bahrain; German Hotel And Food Service Turnover Up 22 Percent From June; Apple Unveils New Watch, iPad Air, And Subscription Bundle; Kim Kardashian West To Join Instagram Boycott; WTO Rules U.S. Tariffs On China Violate Trade Regulations. Aired 3-4p ET",/TRANSCRIPTS/2009/15/qmb.01.html,55566,qmb,quest_means_business
Quest Means Business,"Trump Blames Wildfires On Forest Management Alone; OPEC Chief: Economic Recovery Not Pacing As Projected; Boston Mayor To Address Livability At ""Future Cities"" Summit. Aired 3-4p ET",/TRANSCRIPTS/2009/14/qmb.01.html,55567,qmb,quest_means_business
Quest Means Business,"The Mental Toll of Coronavirus; Trump Says Israel and Bahrain to Establish Full Diplomatic Relations; Rio Tinto CEO Resigns After Destruction of Ancient Site; Biden, Pence Cross Paths At 9/11 Memorial School; Closing Linked To Depression, Suicide; Founding the Good In An Upside-Down World. Aired 3-4p ET",/TRANSCRIPTS/2009/11/qmb.01.html,55568,qmb,quest_means_business
Quest Means Business,"Biden on Trump Downplaying COVID-19 Virus, He Was Protecting Stocks; China Claims Persecution as U.S. Revokes Chinese Student Visas; Jane Fraser is New Head of Citigroup; Iconic Actress Diana Rigg Dies At 82; Oregon Gov. Warns of Unprecedented Loss From Wildfires; Fighting Plastic Waste With Mealworms; Trump Takes Questions Amid Outcry Over New Book Revelations. Aired 3-4p ET",/TRANSCRIPTS/2009/10/qmb.01.html,55569,qmb,quest_means_business
Quest Means Business,"Wood ward Book Quotes Ex-White House Officials Calling Trump ""Dangerous""; U.S. Announces Troop Drawdown In Iraq; Fire Devastates Europe's Largest Migrant Camp. Aired 3-4p ET",/TRANSCRIPTS/2009/09/qmb.01.html,55570,qmb,quest_means_business
Quest Means Business,"U.S. Markets Down, Tech Stocks Under Pressure; Major Vaccine Makers Sign Joint Safety; Carnival Implementing Safety Protocols. Aired 3-4p ET",/TRANSCRIPTS/2009/08/qmb.01.html,55571,qmb,quest_means_business
Quest Means Business,Trump Bets on Economic Recovery as Winning Message; FT Reveals U.K. Would Undermine E.U. Withdrawal Agreement; Softbank's Checkered History with Big Tech Gambling. Aired 3-4p ET,/TRANSCRIPTS/2009/07/qmb.01.html,55572,qmb,quest_means_business
