show,title,href,id,show_abbrev,show_c
Smerconish,"Trump's New U.S. Citizenship Test Is More Difficult; Will Trump's Vote Fraud Claims Cost The GOP The Senate?; First U.S. Doses Of COVID-19 Vaccine Arriving, But Not Enough; Trump Hints At A 2024 Run. Aired 9-10a ET",/TRANSCRIPTS/2012/05/smer.01.html,50648,smer,smerconish
Smerconish,Amazon Was Primed For A Pandemic; Has The Pandemic Accelerated Societal Trends?; SCOTUS Rejects COVID Limits On NY Houses Of Worship; Interview With Former Congressman John Delaney (D-MD); Interview With Atlanta Journal-Constitution's Political Reporter Patricia Murphy. Aired 9-10a ET,/TRANSCRIPTS/2011/28/smer.01.html,50649,smer,smerconish
Smerconish,Who Will Get The First COVID-19 Vaccine Doses?; Kaepernick Calls For Convicted Cop Killer's Release; Will President Trump Ever Concede?; When Will The Presidential Vote Be Finalized?; Fact-Checking Trump Legal Team's Voter Fraud Claims. Aired 9-10a ET,/TRANSCRIPTS/2011/21/smer.01.html,50650,smer,smerconish
Smerconish,"What Are The Impacts Of Trump's Election Fight?; Oregon Decriminalizes Small Amounts Of Hard Drugs; ""Squad"" Member, Ilhan Omar On The Lessons Of 2020; Could Vaccine Distribution Be A Logistical Nightmare? Aired 9-10a ET",/TRANSCRIPTS/2011/14/smer.01.html,50651,smer,smerconish
Smerconish,Will The Polls Be Right In This Election Cycle?; It Really Is All Coming Down To Pennsylvania; Protests Erupt After African-American Man With Mental Health Issues Shot By Police In Philadelphia; Coincidence Philly Police Body Cam Footage To Be Released After The Election?; What Does Early Voting Data Indicate?; Brownstein: Dem Victory May Not Neutralize GOP. Aired 9-10a ET,/TRANSCRIPTS/2010/31/smer.01.html,50652,smer,smerconish
Smerconish,U.S. Hits Highest Daily Number Of Virus Cases Since Pandemic Began; Soon: President Trump Votes In Person; Could Mail-in Ballot Problems Affect Election Outcome?; Could DOJ Lawsuit Break Up Google?; Is Your Ballot Selfie Legal?; President Trump Votes Today In Florida. Aired 9-10a ET,/TRANSCRIPTS/2010/24/smer.01.html,50653,smer,smerconish
Smerconish,Social Media's Influence On The Election; Should There Be Age Limits For Elected Leaders?; Do Political Lawn Signs Impact The Election Outcome?; How Did Quarantine Affect Teens? Aired 9-10a ET,/TRANSCRIPTS/2010/17/smer.01.html,50654,smer,smerconish
Smerconish,Can Joe Biden's Big Polling Lead Be Trusted After 2016 Polling?; Why Donald Trump Did Two-Hour Virtual Rally But Bailed On Virtual Debate; Is The Economic Crisis Snowballing?; Book: Did Hallucinogens Play Role In The Origin Of Religion? Aired 9-10a ET,/TRANSCRIPTS/2010/10/smer.01.html,50655,smer,smerconish
Smerconish,"President Trump In Hospital With Coronavirus One Month Before Election, Expected To Stay Hospitalized For ""Next Few Days;"" More COVID Cases Emerge In White House As Trump Hospitalized With Virus; GOP Senator Ron Johnson Tests Positive For COVID-19; Trump's Infection Throws Election Into Chaos, Threatens Crisis. Aired 9-10a ET",/TRANSCRIPTS/2010/03/smer.01.html,50656,smer,smerconish
Smerconish,Is This What Law And Order Looks Like?; Does Prejudice Against The Less-Educated Impact The Election?; Did Grand Jury Make The Right Call In Breonna Taylor Case?; Interview With Sen. Dick Durbin (D-IL); Debate Strategies For Trump And Biden. Aired 9-10a ET,/TRANSCRIPTS/2009/26/smer.01.html,50657,smer,smerconish
Smerconish,Supreme Court Justice Ruth Bader Ginsburg Dies At The Age Of 87; Mitch McConnell: Trump's Nominee Will Receive A Vote On The Senate Floor; The Political Implications Of The Death Of Ruth Bader Ginsburg; President Donald Trump: Coronavirus Vaccine For Every American Available By April; The Fight Has Already Begun To Replace Justice Ginsburg. Aired 8-9a ET,/TRANSCRIPTS/2009/19/smer.01.html,50658,smer,smerconish
Smerconish,Supreme Court Justice Ruth Bader Ginsburg Dies At 87; Can GOP Replace Ginsburg So Close to Election?; McConnell: Trump's Nominee Will Receive A Vote On The Senate Floor; Replacing Ruth Bader Ginsburg Could Reshape Court For A Generation. Aired 9-10a ET,/TRANSCRIPTS/2009/19/smer.02.html,50659,smer,smerconish
Smerconish,Has The NFL Become Too Involved In Social Activism?; Are Some In The Media Taking It Easy On Joe Biden?; Can Firefighting Alone Stop Western Wildfires?; Should A Movie Be Required To Meet Diversity Standards? Aired 9-10a ET,/TRANSCRIPTS/2009/12/smer.01.html,50660,smer,smerconish
Smerconish,"Donald Trump's New COVID Adviser On Pandemic Response; Will Vaccine Nationalism Slow Pandemic's End?; Should The U.S. Take An America-First Approach To The Vaccine?; The Most Scurrilous Thing That Can Be Said About A President; How Were This Year's Debate Moderators Chosen?; Will Debates Occur Too Late To Affect Election?; Essay Calling New York City ""Completely Dead"" Spurs Fight With Seinfeld. Aired 9-10a ET",/TRANSCRIPTS/2009/05/smer.01.html,50661,smer,smerconish
Smerconish,Can Civil Unrest Re-elect Donald Trump?; Is The Brazen Lack Of Social Distancing A Trump Strategy?; Tracking The Suspect In The Fatal Kenosha Shootings; The Most Important Election Of Our Lifetime Again? Aired 9-10p ET,/TRANSCRIPTS/2008/29/smer.01.html,50662,smer,smerconish
