show,title,href,id,show_abbrev,show_c
Special Events,"Biden: His Team Has Seen ""No Detailed Plan"" On COVID-19 Vaccine Distribution; Dr. Fauci On Whether the Public Will Have A Choice Of Which COVID-19 Vaccine They Receive; Dr. Leana Wen On COVID-19 Vaccines For Breastfeeding Mothers. Aired 9-10p ET",/TRANSCRIPTS/2012/04/se.01.html,30837,se,special_events
Special Events,Interview with President-Elect Joe Biden and Vice President- Elect Kamala Harris. Aired 9-10p ET,/TRANSCRIPTS/2012/03/se.01.html,30838,se,special_events
Special Events,President-Elect Joe Biden Pledges To Unify Nation; Kamala Harris Makes History As First Woman Vice President In The U.S. Aired 1-2a ET,/TRANSCRIPTS/2011/08/se.01.html,30839,se,special_events
Special Events,"Biden Close to Victory as Counts Continue in Arizona, Georgia, Nevada and Pennsylvania; Biden Calls for Unity as He Inches Closer to Victory; Trump Has Told People He Has No Plans to Concede; Biden Expands His Lead in Georgia. Aired 2-3a ET",/TRANSCRIPTS/2011/07/se.03.html,30840,se,special_events
Special Events,"Biden Close to Victory as Counts Continue in Arizona, Georgia, Nevada and Pennsylvania; Biden Expands His Lead in Georgia. Aired 3-4a ET",/TRANSCRIPTS/2011/07/se.04.html,30841,se,special_events
Special Events,Biden Expands His Lead in Georgia; Trump Unhappy with Legal Team's Lack of Impact on Election Count. Aired 4-5a ET,/TRANSCRIPTS/2011/07/se.05.html,30842,se,special_events
Special Events,"Biden Close To Victory As Counts Continue In Arizona, Georgia, Nevada And Pennsylvania. Aired 5-6a ET",/TRANSCRIPTS/2011/07/se.06.html,30843,se,special_events
Special Events,Biden On Verge Of Victory As Counts Continue In Key States; Biden Makes Appeal For Unity With Victory On The Horizon; U.S. COVID Cases Hit Disturbing New Record With Election In Flux; Soon: P.A. Ballots That May Put Biden Over Top In U.S. Election; G.A. Election Worker In Hiding After False Claims He Threw Out A Ballot. Aired 7-8a ET,/TRANSCRIPTS/2011/07/se.08.html,30844,se,special_events
Special Events,"Biden On Brink Of Presidency As Trump's Chances Fade; U.S. COVID Cases Hit Disturbing New Record With Election In Flux; WH Chief Of Staff Meadows Infected With COVID, Attended Election Party; Why The Election Still Hasn't Been Called For Biden. Aired 8-9a ET",/TRANSCRIPTS/2011/07/se.09.html,30845,se,special_events
Special Events,"Votes Continue To Be Counted In Pennsylvania, Arizona, And Nevada; Democratic Presidential Candidate Joe Biden Leading President Trump In Vote Count In Remaining Battleground States; Remaining Outstanding Ballots From Cities And Mail-In Likely Favor Joe Biden; Pennsylvania Win Will Clinch Electoral College For Joe Biden. Aired 10-11a ET",/TRANSCRIPTS/2011/07/se.11.html,30846,se,special_events
Special Events,Joe Biden Elected 46th President Of The United States. Aired 11a-12p ET,/TRANSCRIPTS/2011/07/se.12.html,30847,se,special_events
