show,title,href,id,show_abbrev,show_c
State of the Union,Interview With Operation Warp Speed Chief Adviser Dr. Moncef Slaoui; Interview With Lt. Gov. Geoff Duncan (R-GA); Interview With Rep. Karen Bass (D-CA); Interview With Sen. Mark Warner (D-VA). Aired 9-10a ET,/TRANSCRIPTS/2012/06/sotu.01.html,51025,sotu,state_of_the_union
State of the Union,Interview With Georgia Senatorial Candidate Jon Ossoff; Interview With U.S. Assistant Secretary for Health and Human Services Admiral Brett Giroir; Interview With Sen. Roy Blunt (R-MO); Interview With New York Congresswoman-Elect Nicole Malliotakis; Interview With South Carolina Congresswoman-Elect Nancy Mace. Aired 9-10a ET,/TRANSCRIPTS/2011/29/sotu.01.html,51026,sotu,state_of_the_union
State of the Union,Interview With Biden Transition Adviser Jen Psaki; Interview With Operation Warp Speed Chief Adviser Dr. Moncef Slaoui; Interview With Former U.S. National Security Adviser John Bolton; Interview With Gov. Larry Hogan (R-MD). Aired 9-10a ET,/TRANSCRIPTS/2011/22/sotu.01.html,51027,sotu,state_of_the_union
State of the Union,Interview With Georgia Senatorial Candidate Raphael Warnock; Interview With Sen. Bernie Sanders (I-VT); Interview With Gov. Mike DeWine (R-OH); Interview With National Institute of Allergy and Infectious Diseases Director Dr. Anthony Fauci. Aired 9-10a ET,/TRANSCRIPTS/2011/15/sotu.01.html,51028,sotu,state_of_the_union
State of the Union,Interview With Rep. Alexandria Ocasio-Cortez (D-NY); Interview With Biden Campaign Senior Adviser Symone Sanders; Interview With Rep. James Clyburn (D-SC); Interview With Sen. Mitt Romney (R-UT); Interview With Gov. Larry Hogan (R-MD); Interview With Stacey Abrams. Aired 9-9:30a ET,/TRANSCRIPTS/2011/08/sotu.01.html,51029,sotu,state_of_the_union
State of the Union,Interview With Gov. Tom Wolf (D-PA); Interview With Biden Campaign Senior Adviser Anita Dunn; Interview With Sen. Rick Scott (R- FL); Interview With Gov. Gretchen Whitmer (D-MI); Interview With Gov. Tom Wolf (D-PA); Interview With Gov. Tony Evers (D-WI). Aired 9-10a ET,/TRANSCRIPTS/2011/01/sotu.01.html,51030,sotu,state_of_the_union
State of the Union,"Interview With Gov. Mike DeWine (R-OH); Interview With Former South Bend, Indiana, Mayor Pete Buttigieg; State of the Presidential Race. Aired 10-11a ET",/TRANSCRIPTS/2011/01/sotu.02.html,51031,sotu,state_of_the_union
State of the Union,COVID-19 Outbreak Hits Vice President Pence's Staff; Interview With Rep. Alexandria Ocasio-Cortez (D-NY); Interview With Rep. Nancy Pelosi (D-CA); Interview With White House Chief of Staff Mark Meadows. Aired 9-10a ET,/TRANSCRIPTS/2010/25/sotu.01.html,51032,sotu,state_of_the_union
State of the Union,Interview With Gov. J.B. Pritzker (D-IL); Interview With Sen. Chris Coons (D-DE); Interview With Lara Trump. Aired 9-10a ET,/TRANSCRIPTS/2010/18/sotu.01.html,51033,sotu,state_of_the_union
State of the Union,Interview With Gov. Asa Hutchinson (R-AR); Interview With Biden Deputy Campaign Manager Kate Bedingfield; Interview With National Economic Council Director Larry Kudlow; Interview With Sen. Mazie Hirono (D-HI). Aired 9-10 ET,/TRANSCRIPTS/2010/11/sotu.01.html,51034,sotu,state_of_the_union
State of the Union,Trump Hospitalized With COVID-19; Interview With Biden Campaign Senior Adviser Symone Sanders; Interview With Gov. Mike DeWine (R-OH); Interview With Former Trump Deputy Campaign Manager Rick Gates; Interview With Gov. Gretchen Whitmer (D-MI). Aired 9-10a ET,/TRANSCRIPTS/2010/04/sotu.01.html,51035,sotu,state_of_the_union
State of the Union,"Trump's Doctor: President's Condition ""Has Continued To Improve""; Trump Family Removed Masks At Presidential Debate In Ohio; Biden Test Negative For Coronavirus After Debating Trump. Aired 12-1p ET",/TRANSCRIPTS/2010/04/sotu.02.html,51036,sotu,state_of_the_union
State of the Union,Interview With Interview With Sen. Kirsten Gillibrand (D-NY) and Jon Stewart; Interview With Rep. Nancy Pelosi (D-CA); Interview With Sen. Tom Cotton (R-AR); Interview With Sen. Joe Manchin (D-WV); Interview With Jill Biden. Aired 9-10a ET,/TRANSCRIPTS/2009/27/sotu.01.html,51037,sotu,state_of_the_union
State of the Union,Interview with Representative Nancy Pelosi (D-CA) on Trump's Supreme Court Nominee; Joe Biden Responds to Trump's Supreme Court Pick; Interview with Senator Tom Cotton (R-AR) about Trump's Supreme Court Nominee; One-on-One with Former Second Lady Jill Biden. Aired 12-1p ET,/TRANSCRIPTS/2009/27/sotu.02.html,51038,sotu,state_of_the_union
State of the Union,Remembering Ruth Bader Ginsburg; Interview With Former President Bill Clinton; Interview With Sen. Amy Klobuchar (D-MN); Interview With Vice Presidential Chief of Staff Marc Short; Interview With U.S. Assistant Secretary for Health and Human Services Admiral Brett Giroir. Aired 9-10a ET,/TRANSCRIPTS/2009/20/sotu.01.html,51039,sotu,state_of_the_union
