show,title,href,id,show_abbrev,show_c
The Brief with Bianca Nobilo,The Coronavirus Pandemic Has Caused A Global Stock Market Crash; South Korea Developed A Coronavirus Test In Just A Few Weeks; Coronavirus Pandemic. Aired 5-5:30p ET,/TRANSCRIPTS/2003/12/bbn.01.html,57709,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"World Health Organization: Global Cases Top 118,000 More Than 4,200 Deaths; Markets Shrink After Coronavirus Declared As Pandemic; Join The Fight Against Modern-Day Slavery; U.S. Cases Top 1,000 As World Health Organization Declares Pandemic; Two Rare White Giraffes Found Dead In Kenya. Aired 5-5:30p ET",/TRANSCRIPTS/2003/11/bbn.01.html,57710,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,Four Congressman Self-Quarantine After Contact With Coronavirus Patient; One Rode On Air Force One; How To Protect Yourself As The Pandemic Spreads; Any Moment: Donald Trump Expected To Join Coronavirus Briefing; Donald Trump Expected To Join Coronavirus Task Force Briefing Aired 5-6p ET,/TRANSCRIPTS/2003/09/bbn.01.html,57711,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"Coronavirus Outbreak: Virus Infects More Than 100,000, Turns Life Upside Down; Officials Cancel SXSW Festival Over Coronavirus Fears; Trump Visits CDC As Number Of U.S. Cases Grows; Grand Princess Cruise Ship Stuck Off Coast Of California; Female Parliament Member Dies In Iran; Italy Reports Sharp Spike In Deaths Friday; Fighting Online Myths And Rumors About The Virus; Public Health Expert On ""Social Distancing"" During Outbreak; Trump Visits CDC As Confirmed U.S. Coronavirus Cases Rise. Aired 5-5:30p ET",/TRANSCRIPTS/2003/06/bbn.01.html,57712,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"Iran Activates 300,000 Health Workers To Stop Virus; Senator Elizabeth Warren Ends U.S. Presidential Campaign; UK High Court: Dubai Ruler Conducted Sustained Harassment Campaign Against Estranged Wife; London Mayoral Candidate on Coronavirus Preparations; Democratic Republic of Congo Discharges Last Ebola Patient. Aired 5-5:30p ET",/TRANSCRIPTS/2003/05/bbn.01.html,57713,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"World Health Organization: Virus Spreads Less Than Flu, Can Be Contained; Medical Teams Test People Going In And Out Of QOM; Joe Biden's Stunning Victories On Super Tuesday; Tensions Flare As Migrants Build Up At Turkish-Greek Border; Richard Dawkins On The U.S. Politics And Religion; Town Near Fukushima Power Plant Reopens. Aired 5-5:30p ET",/TRANSCRIPTS/2003/04/bbn.01.html,57714,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"South Korea, Japan, Italy And Iran Facing Large Outbreaks; U.S. Stocks Gain Ground After Dismal Week; Italy Struggles To Contain Largest Outbreak In Europe; E.U. Raises Coronavirus Risk Alert To High; Australia Reports First Human-To-Human Transmission; Indonesia Confirms First Two Cases; Iran: Highest Death Toll Outside Of China; Israeli Exit Polls Project Netanyahu's Bloc In The Lead; U.S. Assesses North Korea Launched Two Short-Range Missiles; Thousands Amass On Greek Border After Turkey Won't Stop Them; Greek Coast Guard Forcibly Confronts Refugees In Dinghy; Klobuchar And Buttigieg Drop Out, Expected To Endorse Biden; Pope Pius XII Archives Opened. Aired 5-5:30p ET",/TRANSCRIPTS/2003/02/bbn.01.html,57715,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"WHO: Global Threat Level ""Very High""; 820+ Infections In Italy, Entire Towns Under Quarantine; Iran Takes Drastic Measures To Prevent Spread; Coronavirus Outbreak: Concerns Grow Over Possible Flare-Up In Africa; First Case Of ""Community Spread"" In United States; Coronavirus Outbreak: Stocks Post Worst Week Since 2008 Financial Crisis; Volunteers Helping Workers Affected By Wuhan Lockdown; Turkey Reports New Attack On Its Troops In Syria; Police: Paris Train Station Fire Brought Under Control; Democrats Make Final Pitch Ahead Of South Carolina Vote; Prince Harry Rocks With Bon Jovi at Abbey Road. Aired 5-5:30p ET",/TRANSCRIPTS/2002/28/bbn.01.html,57716,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,World Health Organization Virus Has Pandemic Potential But Don't Panic; Tens Of Thousands Living In Quarantine In Northern Italy; Iran Cancels Friday Prayers As Coronavirus Spreads; Heathrow Plans To Appeal Ruling On Third Runway; Canada To Stop Providing Security To Harry & Meghan. Aired 5-5:30p ET,/TRANSCRIPTS/2002/27/bbn.01.html,57717,bbn,the_brief_with_bianca_nobilo
The Brief with Bianca Nobilo,"How Italy Is Trying To Contain The Coronavirus; Iran Has The Highest Mortality Rate From Outbreak; United States Democrats Request $8.5 Billion In Emergency Funds; Democratic Rivals Attack Senator Bernie Sanders Over Cuba Comments; Actor Explains Why He Will Stop Voicing ""Simpsons"" Character. Aired 5-5:30p ET",/TRANSCRIPTS/2002/26/bbn.01.html,57718,bbn,the_brief_with_bianca_nobilo
