show,title,href,id,show_abbrev,show_c
The Lead with Jake Tapper,"One-on-One with Ousted DHS Official Who Rebuked Trump; New Key Model Predicts 539,000 U.S. COVID Deaths by April; Tomorrow Trump to Rally in Georgia Ahead of Senate Runoffs. Aired 4:30-5p ET",/TRANSCRIPTS/2012/04/cg.02.html,19124,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview With Former Cybersecurity and Infrastructure Security Agency Director Christopher Krebs; Biden Delivers Address on Economic Crisis; COVID-19 Pandemic Raging. Aired 4-4:30p ET,/TRANSCRIPTS/2012/04/cg.01.html,19125,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Trump Erupts at Attorney General in Meeting?; White House Holding Meetings on Presidential Pardons; COVID-19 Crisis. Aired 4- 4:30p ET,/TRANSCRIPTS/2012/03/cg.01.html,19126,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Dems Now Back Bipartisan $900 Billion Deal, But Negotiations Ongoing with GOP Senate; Obama, Bush, Clinton Volunteer to Get Vaccinated on TV; Groups Pressure Biden to Fulfill Promise to Build Diverse Team. Aired 4:30-5p ET",/TRANSCRIPTS/2012/03/cg.02.html,19127,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Will President Trump Pardon His Family?; U.K. Approves Coronavirus Vaccine. Aired 4-4:30p ET,/TRANSCRIPTS/2012/02/cg.01.html,19128,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Mark Kelly Sworn in as U.S. Senator; Will President Trump Pardon His Family?; Biden Facing Pressure As He Vows to Build Diverse Team; Sen. Tammy Duckworth (D-IL) is Interviewed About Biden Facing Pressure to Add Diversity to Top Admin Picks. Aired 4:30-5p ET,/TRANSCRIPTS/2012/02/cg.02.html,19129,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview With Joe Scarborough; Biden Introduces Economic Team; Attorney General Bill Barr Finds No Evidence of Widespread Voter Fraud. Aired 4-4:30p ET,/TRANSCRIPTS/2012/01/cg.01.html,19130,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Who Will Get Vaccine First?; Interview With Joe Scarborough. Aired 4:30-5p ET,/TRANSCRIPTS/2012/01/cg.02.html,19131,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Vaccine Approved By Christmas? Trump Refuses to Concede Election; Biden Names Economic Team. Aired 4-4:30p ET,/TRANSCRIPTS/2011/30/cg.01.html,19132,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Chinese Documents Show Early Mishandling of COVID-19; COVID-19 Pandemic Surging; Iran: Remote-Controlled Machine Gun, Self-Detonating Car Used in Assassination. Aired 4:30-5p ET",/TRANSCRIPTS/2011/30/cg.02.html,19133,cg,the_lead_with_jake_tapper
