show,title,href,id,show_abbrev,show_c
The Situation Room,"COVID-19 Is Leading Cause Of Death In U.S. This Week; Trump Pushed Georgia Governor To Overturn Election; President-Elect Biden To Ask Americans To Wear Masks For 100 Days; Source: Expect ""Flurry"" Of Pardons Before Trump Leaves Office; Pentagon Denies Blocking Biden Team From Meeting With Officials; U.S. Tops One Million Cases In First Five Days Of December. Aired 6-7p ET",/TRANSCRIPTS/2012/05/sitroom.01.html,22181,sitroom,the_situation_room
The Situation Room,"Trump Pushed Georgia's Governor To Overturn Biden Win; Some New York City Public Schools To Resume In-Person Learning; U.S. Tops One Million Cases In First Five Days Of December; Fauci: We Haven't Hit The Post-Thanksgiving Surge Yet; Congressional Leaders Optimistic On Stimulus Deal; President-Elect Biden: Bipartisan Proposal ""A Good Start"". Aired 7-8p ET",/TRANSCRIPTS/2012/05/sitroom.02.html,22182,sitroom,the_situation_room
The Situation Room,"Pandemic Cases, Deaths Surging Sharply Across U.S.; Biden Prepares For A Changed Iran; Bitter Georgia Senate Battle Smashes Election Spending Records; Trump Pushed Georgia's Governor To Overturn Biden Win; Controversy Over Israel's Pick To Lead Holocaust Memorial. Aired 8-9p ET",/TRANSCRIPTS/2012/05/sitroom.03.html,22183,sitroom,the_situation_room
The Situation Room,"White House Staffers Planning Departure?; Biden Delivers Address on Economic Crisis; Pandemic Raging; COVID Leading Cause of Death This Week, Almost 3,000 Dead In 1 Day; Daily Life Transformed: The Impact Of COVID-19 Across US; Americans Desperate For Relief; Presidential Pardon Bribery Investigation. Aired 6-7p ET",/TRANSCRIPTS/2012/04/sitroom.02.html,22184,sitroom,the_situation_room
The Situation Room,"U.S. Coronavirus Death Toll Tops 277,000 with 14.2 Million Cases; Biden: Future ""Very Bleak"" without Another COVID Relief Package; Sources: Trump Blasted Georgia Governor as ""Moron"" and ""Nut Job"" in Recent Phone Call; Rep. Ro Khanna (D-CA) Is Interviewed About Pelosi Defiant Over Handling Of Stimulus; NJ Gov On Virus Surge: It's Bad And It's Going To Get Worse. Aired 5-6p ET",/TRANSCRIPTS/2012/04/sitroom.01.html,22185,sitroom,the_situation_room
The Situation Room,"Sen. Mitt Romney (R-UT) is Interviewed about Coronavirus, Vaccines, Relief Bill, Donald Trump, Hospitalization Hit Record 100,000 Plus as U.S. Sees Deadliest Day of Pandemic; Romney: Russia and China are Laughing at U.S. Over Trump's False Claims; Biden: I Will Ask All Americans To Wear A Mask For First 100 Days; Source: ""Diplomatic But Tense"" Meeting Between Biden Team, Hispanic Caucus Over Cabinet Spots; High-Ranking Officials Ignoring Their Own COVID Advice. Aired 5-6p ET",/TRANSCRIPTS/2012/03/sitroom.01.html,22186,sitroom,the_situation_room
The Situation Room,"Interview with Former BARDA Director Dr. Rick Bright; Biden and Harris Speak Out; White House Holding Meetings on Presidential Pardons; Biden Says, You're Not Going to See That Kind of Approach to Pardons in our Administration; Trump Questions Barr's Ability to Do Job As Source Reveals They Had ""Contentious"" White House Meeting This Week. Aired 6-7p ET",/TRANSCRIPTS/2012/03/sitroom.02.html,22187,sitroom,the_situation_room
The Situation Room,"Source: Expect A ""Flurry"" Of Pardons As White House Dodges Questions About Pardons For Giuliani, Members Of First Family; NAACP Seeks Meeting With Biden & Harris On Ensuring Minority And Civil Rights Representation In New Admin; Interview With Rep. Hakeem Jeffries (D-NY); Pelosi & Schumer: Bipartisan Senate COVID Relief Bill Should Serve As ""Framework"" For Compromise Talks; Forty Million Vaccine Doses To Be Available By The End Of December; CDC Director: U.S. Could Be Close To 450,000 COVID-19 Deaths Before February. Aired 5-6p ET",/TRANSCRIPTS/2012/02/sitroom.01.html,22188,sitroom,the_situation_room
The Situation Room,"Will Trump Pardon Family?; Interview With Rep. Adam Schiff (D- CA); CDC Director Warns Of Most Difficult Time In U.S. Public Health History As Hospitalizations Set New Record, Almost 100,000; Moderna Starts Testing Vaccine In Teens, Children As Young As 12; Ivanka Trump Deposed In Lawsuit Over Alleged Misuse Of Inaugural Funds. Aired 6-7p ET",/TRANSCRIPTS/2012/02/sitroom.02.html,22189,sitroom,the_situation_room
The Situation Room,"Trump Legal Team Criticizes Justice Dept. After Barr Says No Evidence Of Widespread Fraud In Presidential Election; Sen. Dick Durbin (D-IL) Is Interviewed About A.G. Bill Barr, COVID Economic Relief; Congress Returns Under Pressure To Pass Economic Relief Bill; CDC Panel Votes To Recommend Health Care Staff, Long-Term Care Facility Residents Get COVID-19 Vaccine First. Aired 5-6p ET",/TRANSCRIPTS/2012/01/sitroom.01.html,22190,sitroom,the_situation_room
The Situation Room,"Interview With Sen. Chris Murphy (D-CT); Biden Introduces Economic Team; Attorney General Bill Barr Finds No Evidence Of Widespread Voter Fraud; CDC Panel Votes To Recommend Health Care Staff, Long-Term Care Facility Residents Get COVID-19 Vaccine First; Georgia Election Official To Trump: Condemn Violence Or You Will Be ""Complicit"". Aired 6-7p ET",/TRANSCRIPTS/2012/01/sitroom.02.html,22191,sitroom,the_situation_room
The Situation Room,"President-Elect Joe Biden Gets Access To Daily Intelligence Briefings; Biden Announces Economic Team; Confirmed, Biden Wins Over Trump In Arizona; Sen. Chris Coons (D-DE) Is Interviewed About Joe Biden's Daily Intel Briefing; Moderna Applying For FDA Authorization For Its Vaccine Today; U.S. Tops 267,000 COVID Deaths And 13.5 Million Cases As Hospitalizations Hit A Record Of 93,000 Plus; Iran Vows Vengeance At Slain Nuclear Science Chief's Funeral; Fifty Million Americans Could Face Food Insecurity By Year's End. Aired 5-6p ET",/TRANSCRIPTS/2011/30/sitroom.01.html,22192,sitroom,the_situation_room
The Situation Room,Interview With Rep. Elissa Slotkin (D-MI); Biden Receiving Classified Presidential Briefings; Moderna Says It Has Filed For FDA Authorization For Its COVID-19 Vaccine; Iran Vows Revenge For Assassinated Top Nuclear Scientists; Biden Taps Former Fed Chair Janet Yellen For Treasury Secretary. Aired 6-7p ET,/TRANSCRIPTS/2011/30/sitroom.02.html,22193,sitroom,the_situation_room
The Situation Room,"Pandemic Growing; Interview with Rep. Jim Himes (D-CT); Another Legal Loss For Trump in Pennsylvania; Biden Transition Moving Ahead; U.S. Tops 13 Million Confirmed Coronavirus Cases; Iran's Revolutionary Guards Corps Calls Killing of Top Nuclear Scientist a Terrorist Operation, Vows Revenge; Los Angeles County Stay-at-Home Order Amid COVID Surge. Aired 6-7p ET",/TRANSCRIPTS/2011/27/sitroom.02.html,22194,sitroom,the_situation_room
The Situation Room,"U.S. Tops 13 Million Confirmed Coronavirus Cases; Federal Appeals Court Denies Trump Campaign Effort to Revive Pennsylvania Lawsuit, says ""Claims have No Merit""; Biden Expected to Name Economic Team Next Week and will get First Presidential Daily Brief Monday; Iran State Media Says Country's Top Nuclear Scientist Assassinated; COVID Hammering U.S. Economy On One Of The Year's Busiest Shopping Days. Aired 5-6p ET",/TRANSCRIPTS/2011/27/sitroom.01.html,22195,sitroom,the_situation_room
The Situation Room,"Biden Delivers Thanksgiving Address; Interview With Rep. Adam Schiff (D-CA); Trump Pardons Michael Flynn; U.S. Coronavirus Death Toll Tops 261,000 With 12.7 Million Cases; Americans Turn To Food Banks For Thanksgiving As Pandemic Deepens Economic Hardship For Millions; U.S. Daily Death Toll Passes 2,000 For Second Time Since May; Interview With Connecticut Governor Ned Lamont (D). Aired 6-7p ET",/TRANSCRIPTS/2011/25/sitroom.02.html,22196,sitroom,the_situation_room
The Situation Room,"Trump Pardons Former National Security Adviser Michael Flynn; Interview With Sen. Mark Warner (D-VA); U.S. Coronavirus Death Toll Tops 261,000 With 12.7 Million Cases; Doctor Warns Thanksgiving ""Potentially Mother Of All Superspreader Events""; Fauci: Keep Holiday Gatherings As Small As Possible; Houston Positivity Rate Climbs To 8.8 Percent; Houston Mayor: Don't ""Invite COVID To Thanksgiving"". Aired 5- 6p ET",/TRANSCRIPTS/2011/25/sitroom.01.html,22197,sitroom,the_situation_room
The Situation Room,"Biden Says ""America Is Back"" As He Introduces Key Cabinet Picks; Trump Takes Credit For Dow Hitting 30,000 After Saying Market Would Crash If Biden Won Election; Hospitalizations Set Record Nationwide For 14th Day In A Row; Trump Administration Considering Shortening Recommended Quarantine For COVID-19; WH Testing Czar's Advice For Celebrating Thanksgiving During Pandemic; Trump Planning To Withdraw U.S. Troops From Iraq & Afghanistan Five Days Before Biden Takes Office. Aired 5-6p ET",/TRANSCRIPTS/2011/24/sitroom.01.html,22198,sitroom,the_situation_room
The Situation Room,"Interview With Former U.S. National Security Adviser John Bolton; Biden Introduces Cabinet Picks; Pandemic Surging; White House Coronavirus Task Force Calls For Significant Behavior Change Of All Americans; U.S. Coronavirus Death Toll Tops 259,000, 12.5 Million Cases As Hospitalizations Hit Highest Level Since Pandemic Began; Biden Taps Longtime Adviser Tony Blinken For Secretary Of State. Aired 6-7p ET",/TRANSCRIPTS/2011/24/sitroom.02.html,22199,sitroom,the_situation_room
The Situation Room,"GSA Administrator Finally Allows Biden Transition To Begin; Biden Begins Naming Cabinet Picks; GSA Says Biden Transition Can Formally Begin; Michigan Board Votes To Certify Results Despite Pressure From Trump; U.S. Coronavirus Death Toll Tops 257,000 With 12.3 Million Cases. Aired 6-7p ET",/TRANSCRIPTS/2011/23/sitroom.02.html,22200,sitroom,the_situation_room
The Situation Room,President-Elect Joe Biden Announces Cabinet Picks; Michigan Certifies Election Results; More Top Republicans Speaking Out Against Trump's Legal Absurdities; Sen. Chris Coons (D-DE) Is Interviewed About Biden's Cabinet Choices; Millions Traveling For Holiday Despite Urgent CDC Warning; Biden Holds Virtual Meeting With U.S. Mayors; How A Bloody Night Of Bullets & Brutality Quashed A Young Protest Movement. Aired 5-6p ET,/TRANSCRIPTS/2011/23/sitroom.01.html,22201,sitroom,the_situation_room
The Situation Room,Trump's Lawyers Try To Distance Themselves From Attorney Sidney Powell; Los Angeles County To Shut Down In-Person Dining As Cases Surge; Trump Legal Losses Pile Up As Baseless Election Attacks Continue; Interview With Gov. Asa Hutchinson (R-AR) About Trump's GOP Wall Of Support; Georgia To Conduct Another Recount After Trump Request; Coalition Of Florida Mayors Ask Gov. DeSantis For Mask Mandate; Senior Biden Adviser Says Trump Roadblocks Are Slowing Transition. Aired 7-8p ET,/TRANSCRIPTS/2011/22/sitroom.01.html,22202,sitroom,the_situation_room
The Situation Room,"Rudy Giuliani and Jenna Ellis Announced Attorney Sidney Powell Not Part of Trump's Legal Team; Interview with Lieutenant Governor John Fetterman (D-PA) about Trump's Election Lawsuit; U.S. Sees Three Million Cases, 25,000 Deaths in November Alone; Biden Set to Announce First Cabinet Picks Tuesday; Interview with Governor Jared Polis (D- CO) about COVID-19 Surge; Trump Could be a Liability to Georgia's Senate Runoffs. Aired 8-9p ET",/TRANSCRIPTS/2011/22/sitroom.02.html,22203,sitroom,the_situation_room
