network,week,n,t,pct,rm,date
CNN,2015.712,34,201,0.1691542288557214,0.1699146076340984,2015-09-10
Fox News,2015.712,1,2,0.5,0.3416666666666667,2015-09-10
CNN,2015.731,41,204,0.20098039215686275,0.14332331785185384,2015-09-17
CNN,2015.75,19,133,0.14285714285714285,0.12236177485593298,2015-09-24
CNN,2015.769,12,199,0.06030150753768844,0.11709022179026227,2015-10-01
Fox News,2015.769,1,6,0.16666666666666666,0.26666666666666666,2015-10-01
CNN,2015.788,18,211,0.08530805687203792,0.1005146920568378,2015-10-08
CNN,2015.808,34,189,0.17989417989417988,0.1051022365207303,2015-10-15
CNN,2015.827,16,209,0.07655502392344497,0.09839510534365649,2015-10-22
CNN,2015.846,14,178,0.07865168539325842,0.06258386403503298,2015-10-29
CNN,2015.865,10,171,0.05847953216374269,0.05887720681960383,2015-11-05
CNN,2015.885,7,191,0.03664921465968586,0.059348513659208686,2015-11-12
Fox News,2015.885,1,5,0.2,0.19166666666666668,2015-11-12
CNN,2015.904,10,162,0.06172839506172839,0.08728182210763472,2015-11-19
CNN,2015.923,12,149,0.08053691275167785,0.11448315480634962,2015-11-26
CNN,2015.942,24,141,0.1702127659574468,0.13885997323836974,2015-12-03
Fox News,2015.942,1,5,0.2,0.275,2015-12-03
CNN,2015.962,24,165,0.14545454545454545,0.15526420658891182,2015-12-10
CNN,2015.981,25,157,0.1592356687898089,0.15185242924096426,2015-12-17
CNN,2016,19,130,0.14615384615384616,0.13712340826194327,2015-12-24
CNN,2016.019,31,198,0.15656565656565657,0.13617459469143406,2015-12-31
Fox News,2016.019,1,5,0.2,0.41250000000000003,2015-12-31
CNN,2016.038,18,208,0.08653846153846154,0.14762720458154396,2016-01-08
CNN,2016.058,30,193,0.15544041450777202,0.154441672793071,2016-01-15
Fox News,2016.058,3,6,0.5,0.48750000000000004,2016-01-15
CNN,2016.077,43,224,0.19196428571428573,0.17352675437815257,2016-01-22
Fox News,2016.077,3,4,0.75,0.5,2016-01-22
